B_thermophilus_symbiont	R.fausta	R.magnifica	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	SUP05	V.diagonalis	V.extenta	V.gigas1	V.gigas2	V.marissinica	V.okutanii	V.soyoae1	V.soyoae2
MS2017_1019	HUE58_RS02555	Rmag_0549	Rpac_peg_1330	Rpha_peg_163	Rple_peg_1166	Rrec_peg_1239	Rsou_peg_900	SP60_07920	Vdia_peg_473	Vext_peg_460	Vgig1_peg_424	Vgig2_peg_309	Vmar_0510	COSY_0504	Vsoy1_peg_534	Vsoy2_peg_733
MS2017_0506	HUE58_RS00210	Rmag_0783	Rpac_peg_282	Rpha_peg_2056	Rple_peg_366	Rrec_peg_299	Rsou_peg_1126	SP60_06220	Vdia_peg_243	Vext_peg_238	Vgig1_peg_203	Vgig2_peg_93	Vmar_0727	COSY_0712	Vsoy1_peg_753	Vsoy2_peg_954
MS2017_1020	HUE58_RS02550	Rmag_0548	Rpac_peg_1331	Rpha_peg_164	Rple_peg_1167	Rrec_peg_1238	Rsou_peg_899	SP60_07925	Vdia_peg_474	Vext_peg_461	Vgig1_peg_425	Vgig2_peg_310	Vmar_0509	COSY_0503	Vsoy1_peg_533	Vsoy2_peg_732
MS2017_1021	HUE58_RS02545	Rmag_0547	Rpac_peg_1332	Rpha_peg_165	Rple_peg_1168	Rrec_peg_1237	Rsou_peg_898	SP60_07930	Vdia_peg_475	Vext_peg_462	Vgig1_peg_426	Vgig2_peg_311	Vmar_0508	COSY_0502	Vsoy1_peg_532	Vsoy2_peg_731
MS2017_1022	HUE58_RS02540	Rmag_0546	Rpac_peg_1333	Rpha_peg_166	Rple_peg_1169	Rrec_peg_1236	Rsou_peg_897	SP60_07935	Vdia_peg_476	Vext_peg_463	Vgig1_peg_427	Vgig2_peg_312	Vmar_0507	COSY_0501	Vsoy1_peg_531	Vsoy2_peg_730
MS2017_0351	HUE58_RS00565	Rmag_0235	Rpac_peg_360	Rpha_peg_1113	Rple_peg_105	Rrec_peg_220	Rsou_peg_1047	SP60_05605	Vdia_peg_758	Vext_peg_747	Vgig1_peg_702	Vgig2_peg_590	Vmar_0225	COSY_0227	Vsoy1_peg_250	Vsoy2_peg_455
MS2017_0468	HUE58_RS00090	Rmag_0803	Rpac_peg_254	Rpha_peg_2012	Rple_peg_403	Rrec_peg_328	Rsou_peg_1169	SP60_06070	Vdia_peg_223	Vext_peg_218	Vgig1_peg_186	Vgig2_peg_76	Vmar_0742	COSY_0728	Vsoy1_peg_769	Vsoy2_peg_970
MS2017_0511	HUE58_RS00230	Rmag_0781	Rpac_peg_288	Rpha_peg_2064	Rple_peg_362	Rrec_peg_293	Rsou_peg_1118	SP60_06255	Vdia_peg_245	Vext_peg_240	Vgig1_peg_204	Vgig2_peg_94	Vmar_0726	COSY_0711	Vsoy1_peg_751	Vsoy2_peg_952
MS2017_0694	HUE58_RS03350	Rmag_0677	Rpac_peg_1166	Rpha_peg_703	Rple_peg_428	Rrec_peg_1423	Rsou_peg_163	SP60_06970	Vdia_peg_341	Vext_peg_333	Vgig1_peg_294	Vgig2_peg_182	Vmar_0637	COSY_0629	Vsoy1_peg_664	Vsoy2_peg_864
MS2017_1768	HUE58_RS04505	Rmag_0883	Rpac_peg_663	Rpha_peg_1445	Rple_peg_863	Rrec_peg_459	Rsou_peg_1988	SP60_01980	Vdia_peg_146	Vext_peg_141	Vgig1_peg_830	Vgig2_peg_718	Vmar_0819	COSY_0809	Vsoy1_peg_848	Vsoy2_peg_65
MS2017_1772	HUE58_RS04510	Rmag_0884	Rpac_peg_664	Rpha_peg_1444	Rple_peg_864	Rrec_peg_460	Rsou_peg_1989	SP60_01990	Vdia_peg_145	Vext_peg_140	Vgig1_peg_831	Vgig2_peg_719	Vmar_0820	COSY_0810	Vsoy1_peg_849	Vsoy2_peg_66
MS2017_0702	HUE58_RS03315	Rmag_0676	Rpac_peg_1169	Rpha_peg_725	Rple_peg_451	Rrec_peg_1415	Rsou_peg_132	SP60_06990	Vdia_peg_349	Vext_peg_340	Vgig1_peg_303	Vgig2_peg_190	Vmar_0630	COSY_0622	Vsoy1_peg_657	Vsoy2_peg_857
MS2017_0703	HUE58_RS03310	Rmag_0674	Rpac_peg_1170	Rpha_peg_735	Rple_peg_452	Rrec_peg_1414	Rsou_peg_131	SP60_06995	Vdia_peg_350	Vext_peg_341	Vgig1_peg_304	Vgig2_peg_191	Vmar_0629	COSY_0621	Vsoy1_peg_656	Vsoy2_peg_856
MS2017_0870	HUE58_RS01800	Rmag_0444	Rpac_peg_986	Rpha_peg_398	Rple_peg_1309	Rrec_peg_1070	Rsou_peg_1406	SP60_00520	Vdia_peg_565	Vext_peg_553	Vgig1_peg_522	Vgig2_peg_409	Vmar_0413	COSY_0410	Vsoy1_peg_437	Vsoy2_peg_636
MS2017_1097	HUE58_RS02300	Rmag_0514	Rpac_peg_1393	Rpha_peg_248	Rple_peg_1209	Rrec_peg_1184	Rsou_peg_1831	SP60_00030	Vdia_peg_502	Vext_peg_489	Vgig1_peg_456	Vgig2_peg_341	Vmar_0476	COSY_0472	Vsoy1_peg_502	Vsoy2_peg_701
MS2017_0425	HUE58_RS00840	Rmag_0281	Rpac_peg_417	Rpha_peg_1787	Rple_peg_163	Rrec_peg_162	Rsou_peg_278	SP60_05830	Vdia_peg_718	Vext_peg_707	Vgig1_peg_663	Vgig2_peg_550	Vmar_0267	COSY_0267	Vsoy1_peg_291	Vsoy2_peg_496
MS2017_1652	HUE58_RS00980	Rmag_0305	Rpac_peg_461	Rpha_peg_1727	Rple_peg_203	Rrec_peg_132	Rsou_peg_1700	SP60_01520	Vdia_peg_697	Vext_peg_686	Vgig1_peg_642	Vgig2_peg_529	Vmar_0287	COSY_0287	Vsoy1_peg_313	Vsoy2_peg_517
MS2017_1098	HUE58_RS02295	Rmag_0513	Rpac_peg_1394	Rpha_peg_249	Rple_peg_1210	Rrec_peg_1183	Rsou_peg_1830	SP60_00035	Vdia_peg_503	Vext_peg_490	Vgig1_peg_457	Vgig2_peg_342	Vmar_0475	COSY_0471	Vsoy1_peg_501	Vsoy2_peg_700
MS2017_1653	HUE58_RS00975	Rmag_0304	Rpac_peg_460	Rpha_peg_1728	Rple_peg_202	Rrec_peg_133	Rsou_peg_1699	SP60_01525	Vdia_peg_698	Vext_peg_687	Vgig1_peg_643	Vgig2_peg_530	Vmar_0286	COSY_0286	Vsoy1_peg_312	Vsoy2_peg_516
MS2017_1099	HUE58_RS02290	Rmag_0512	Rpac_peg_1395	Rpha_peg_250	Rple_peg_1211	Rrec_peg_1182	Rsou_peg_1829	SP60_00040	Vdia_peg_504	Vext_peg_491	Vgig1_peg_458	Vgig2_peg_343	Vmar_0474	COSY_0470	Vsoy1_peg_500	Vsoy2_peg_699
MS2017_0388	HUE58_RS00725	Rmag_0261	Rpac_peg_392	Rpha_peg_1881	Rple_peg_133	Rrec_peg_187	Rsou_peg_1897	SP60_05715	Vdia_peg_739	Vext_peg_728	Vgig1_peg_683	Vgig2_peg_571	Vmar_0245	COSY_0246	Vsoy1_peg_269	Vsoy2_peg_474
MS2017_0427	HUE58_RS00860	Rmag_0284	Rpac_peg_425	Rpha_peg_1780	Rple_peg_168	Rrec_peg_158	Rsou_peg_284	SP60_05845	Vdia_peg_713	Vext_peg_702	Vgig1_peg_660	Vgig2_peg_547	Vmar_0270	COSY_0270	Vsoy1_peg_294	Vsoy2_peg_499
MS2017_1100	HUE58_RS02285	Rmag_0511	Rpac_peg_1396	Rpha_peg_251	Rple_peg_1212	Rrec_peg_1181	Rsou_peg_1828	SP60_00045	Vdia_peg_505	Vext_peg_492	Vgig1_peg_459	Vgig2_peg_344	Vmar_0473	COSY_0469	Vsoy1_peg_499	Vsoy2_peg_698
MS2017_0389	HUE58_RS00730	Rmag_0262	Rpac_peg_393	Rpha_peg_1880	Rple_peg_134	Rrec_peg_186	Rsou_peg_1896	SP60_05720	Vdia_peg_738	Vext_peg_727	Vgig1_peg_682	Vgig2_peg_570	Vmar_0246	COSY_0247	Vsoy1_peg_270	Vsoy2_peg_475
MS2017_0428	HUE58_RS00865	Rmag_0285	Rpac_peg_426	Rpha_peg_1779	Rple_peg_169	Rrec_peg_157	Rsou_peg_285	SP60_05850	Vdia_peg_712	Vext_peg_701	Vgig1_peg_659	Vgig2_peg_546	Vmar_0271	COSY_0271	Vsoy1_peg_295	Vsoy2_peg_500
MS2017_0429	HUE58_RS00870	Rmag_0286	Rpac_peg_427	Rpha_peg_1778	Rple_peg_170	Rrec_peg_156	Rsou_peg_286	SP60_05855	Vdia_peg_711	Vext_peg_700	Vgig1_peg_658	Vgig2_peg_545	Vmar_0272	COSY_0272	Vsoy1_peg_296	Vsoy2_peg_501
MS2017_0018	HUE58_RS05695	Rmag_0012	Rpac_peg_218	Rpha_peg_1039	Rple_peg_1579	Rrec_peg_714	Rsou_peg_1788	SP60_04080	Vdia_peg_971	Vext_peg_959	Vgig1_peg_22	Vgig2_peg_946	Vmar_0013	COSY_0013	Vsoy1_peg_38	Vsoy2_peg_242
MS2017_0157	HUE58_RS05165	Rmag_1008	Rpac_peg_790	Rpha_peg_839	Rple_peg_1031	Rrec_peg_599	Rsou_peg_433	SP60_03465	Vdia_peg_50	Vext_peg_47	Vgig1_peg_924	Vgig2_peg_811	Vmar_0913	COSY_0904	Vsoy1_peg_944	Vsoy2_peg_160
MS2017_0014	HUE58_RS05675	Rmag_0008	Rpac_peg_222	Rpha_peg_1035	Rple_peg_1583	Rrec_peg_710	Rsou_peg_1792	SP60_04060	Vdia_peg_975	Vext_peg_963	Vgig1_peg_18	Vgig2_peg_950	Vmar_0009	COSY_0009	Vsoy1_peg_34	Vsoy2_peg_238
MS2017_0158	HUE58_RS05160	Rmag_1007	Rpac_peg_789	Rpha_peg_838	Rple_peg_1030	Rrec_peg_598	Rsou_peg_434	SP60_03460	Vdia_peg_51	Vext_peg_48	Vgig1_peg_923	Vgig2_peg_810	Vmar_0912	COSY_0903	Vsoy1_peg_943	Vsoy2_peg_159
MS2017_0392	HUE58_RS00745	Rmag_0265	Rpac_peg_396	Rpha_peg_1877	Rple_peg_138	Rrec_peg_183	Rsou_peg_1893	SP60_05735	Vdia_peg_736	Vext_peg_725	Vgig1_peg_680	Vgig2_peg_568	Vmar_0248	COSY_0249	Vsoy1_peg_272	Vsoy2_peg_477
MS2017_0431	HUE58_RS00880	Rmag_0288	Rpac_peg_429	Rpha_peg_1776	Rple_peg_172	Rrec_peg_154	Rsou_peg_288	SP60_05865	Vdia_peg_709	Vext_peg_698	Vgig1_peg_656	Vgig2_peg_543	Vmar_0274	COSY_0274	Vsoy1_peg_298	Vsoy2_peg_503
MS2017_0015	HUE58_RS05680	Rmag_0009	Rpac_peg_221	Rpha_peg_1036	Rple_peg_1582	Rrec_peg_711	Rsou_peg_1791	SP60_04065	Vdia_peg_974	Vext_peg_962	Vgig1_peg_19	Vgig2_peg_949	Vmar_0010	COSY_0010	Vsoy1_peg_35	Vsoy2_peg_239
MS2017_1658	HUE58_RS00965	Rmag_0302	Rpac_peg_458	Rpha_peg_1730	Rple_peg_200	Rrec_peg_135	Rsou_peg_1697	SP60_01535	Vdia_peg_700	Vext_peg_689	Vgig1_peg_645	Vgig2_peg_532	Vmar_0284	COSY_0284	Vsoy1_peg_310	Vsoy2_peg_514
MS2017_0159	HUE58_RS05155	Rmag_1006	Rpac_peg_788	Rpha_peg_837	Rple_peg_1029	Rrec_peg_597	Rsou_peg_435	SP60_03455	Vdia_peg_52	Vext_peg_49	Vgig1_peg_922	Vgig2_peg_809	Vmar_0911	COSY_0902	Vsoy1_peg_942	Vsoy2_peg_158
MS2017_0393	HUE58_RS00750	Rmag_0266	Rpac_peg_397	Rpha_peg_1876	Rple_peg_139	Rrec_peg_182	Rsou_peg_1892	SP60_05740	Vdia_peg_735	Vext_peg_724	Vgig1_peg_679	Vgig2_peg_567	Vmar_0249	COSY_0250	Vsoy1_peg_273	Vsoy2_peg_478
MS2017_0432	HUE58_RS00885	Rmag_0289	Rpac_peg_430	Rpha_peg_1775	Rple_peg_173	Rrec_peg_153	Rsou_peg_289	SP60_05870	Vdia_peg_708	Vext_peg_697	Vgig1_peg_655	Vgig2_peg_542	Vmar_0275	COSY_0275	Vsoy1_peg_299	Vsoy2_peg_504
MS2017_0160	HUE58_RS05150	Rmag_1005	Rpac_peg_787	Rpha_peg_836	Rple_peg_1028	Rrec_peg_596	Rsou_peg_436	SP60_03450	Vdia_peg_53	Vext_peg_50	Vgig1_peg_921	Vgig2_peg_808	Vmar_0910	COSY_0901	Vsoy1_peg_941	Vsoy2_peg_157
MS2017_0394	HUE58_RS00755	Rmag_0267	Rpac_peg_398	Rpha_peg_1875	Rple_peg_140	Rrec_peg_181	Rsou_peg_1891	SP60_05745	Vdia_peg_734	Vext_peg_723	Vgig1_peg_678	Vgig2_peg_566	Vmar_0250	COSY_0251	Vsoy1_peg_274	Vsoy2_peg_479
MS2017_0433	HUE58_RS00900	Rmag_0290	Rpac_peg_437	Rpha_peg_1760	Rple_peg_179	Rrec_peg_150	Rsou_peg_299	SP60_05880	Vdia_peg_707	Vext_peg_696	Vgig1_peg_654	Vgig2_peg_541	Vmar_0276	COSY_0276	Vsoy1_peg_300	Vsoy2_peg_505
MS2017_0016	HUE58_RS05685	Rmag_0010	Rpac_peg_220	Rpha_peg_1037	Rple_peg_1581	Rrec_peg_712	Rsou_peg_1790	SP60_04070	Vdia_peg_973	Vext_peg_961	Vgig1_peg_20	Vgig2_peg_948	Vmar_0011	COSY_0011	Vsoy1_peg_36	Vsoy2_peg_240
MS2017_0017	HUE58_RS05690	Rmag_0011	Rpac_peg_219	Rpha_peg_1038	Rple_peg_1580	Rrec_peg_713	Rsou_peg_1789	SP60_04075	Vdia_peg_972	Vext_peg_960	Vgig1_peg_21	Vgig2_peg_947	Vmar_0012	COSY_0012	Vsoy1_peg_37	Vsoy2_peg_241
MS2017_1806	HUE58_RS03760	Rmag_0206	Rpac_peg_1071	Rpha_peg_11	Rple_peg_16	Rrec_peg_976	Rsou_peg_1205	SP60_05445	Vdia_peg_781	Vext_peg_770	Vgig1_peg_728	Vgig2_peg_615	Vmar_0200	COSY_0204	Vsoy1_peg_226	Vsoy2_peg_431
MS2017_1848	HUE58_RS03965	Rmag_0168	Rpac_peg_1028	Rpha_peg_1584	Rple_peg_62	Rrec_peg_929	Rsou_peg_1246	SP60_05255	Vdia_peg_813	Vext_peg_802	Vgig1_peg_760	Vgig2_peg_649	Vmar_0168	COSY_0172	Vsoy1_peg_193	Vsoy2_peg_398
MS2017_0235	HUE58_RS04825	Rmag_0962	Rpac_peg_735	Rpha_peg_1347	Rple_peg_965	Rrec_peg_528	Rsou_peg_1500	SP60_03100	Vdia_peg_92	Vext_peg_88	Vgig1_peg_870	Vgig2_peg_757	Vmar_0873	COSY_0863	Vsoy1_peg_903	Vsoy2_peg_119
MS2017_1219	HUE58_RS02145	Rmag_0490	Rpac_peg_906	Rpha_peg_287	Rple_peg_1236	Rrec_peg_1146	Rsou_peg_1340	SP60_00220	Vdia_peg_525	Vext_peg_512	Vgig1_peg_478	Vgig2_peg_363	Vmar_0455	COSY_0451	Vsoy1_peg_481	Vsoy2_peg_680
MS2017_2046	HUE58_RS06195	Rmag_0088	Rpac_peg_103	Rpha_peg_2137	Rple_peg_1457	Rrec_peg_818	Rsou_peg_1668	SP60_04590	Vdia_peg_892	Vext_peg_881	Vgig1_peg_99	Vgig2_peg_870	Vmar_0090	COSY_0092	Vsoy1_peg_115	Vsoy2_peg_319
MS2017_1258	HUE58_RS01710	Rmag_0430	Rpac_peg_1005	Rpha_peg_421	Rple_peg_1329	Rrec_peg_1053	Rsou_peg_1978	SP60_00650	Vdia_peg_576	Vext_peg_564	Vgig1_peg_533	Vgig2_peg_418	Vmar_0399	COSY_0399	Vsoy1_peg_427	Vsoy2_peg_626
MS2017_1807	HUE58_RS03765	Rmag_0205	Rpac_peg_1070	Rpha_peg_10	Rple_peg_17	Rrec_peg_975	Rsou_peg_1204	SP60_05440	Vdia_peg_782	Vext_peg_771	Vgig1_peg_729	Vgig2_peg_616	Vmar_0199	COSY_0203	Vsoy1_peg_225	Vsoy2_peg_430
MS2017_1849	HUE58_RS03970	Rmag_0167	Rpac_peg_1027	Rpha_peg_1583	Rple_peg_63	Rrec_peg_928	Rsou_peg_1247	SP60_05250	Vdia_peg_814	Vext_peg_803	Vgig1_peg_761	Vgig2_peg_650	Vmar_0167	COSY_0171	Vsoy1_peg_192	Vsoy2_peg_397
MS2017_0986	HUE58_RS02725	Rmag_0579	Rpac_peg_1295	Rpha_peg_129	Rple_peg_620	Rrec_peg_1276	Rsou_peg_799	SP60_07640	Vdia_peg_441	Vext_peg_428	Vgig1_peg_395	Vgig2_peg_280	Vmar_0540	COSY_0534	Vsoy1_peg_564	Vsoy2_peg_763
MS2017_2047	HUE58_RS06190	Rmag_0087	Rpac_peg_104	Rpha_peg_2136	Rple_peg_1458	Rrec_peg_817	Rsou_peg_1667	SP60_04585	Vdia_peg_893	Vext_peg_882	Vgig1_peg_98	Vgig2_peg_871	Vmar_0089	COSY_0091	Vsoy1_peg_114	Vsoy2_peg_318
MS2017_1808	HUE58_RS03770	Rmag_0204	Rpac_peg_1069	Rpha_peg_9	Rple_peg_18	Rrec_peg_974	Rsou_peg_1203	SP60_05435	Vdia_peg_783	Vext_peg_772	Vgig1_peg_730	Vgig2_peg_617	Vmar_0198	COSY_0202	Vsoy1_peg_224	Vsoy2_peg_429
MS2017_1850	HUE58_RS03975	Rmag_0166	Rpac_peg_1026	Rpha_peg_1582	Rple_peg_64	Rrec_peg_927	Rsou_peg_1248	SP60_05245	Vdia_peg_815	Vext_peg_804	Vgig1_peg_762	Vgig2_peg_651	Vmar_0166	COSY_0170	Vsoy1_peg_191	Vsoy2_peg_396
MS2017_0987	HUE58_RS02720	Rmag_0578	Rpac_peg_1296	Rpha_peg_130	Rple_peg_621	Rrec_peg_1275	Rsou_peg_800	SP60_07645	Vdia_peg_442	Vext_peg_429	Vgig1_peg_396	Vgig2_peg_281	Vmar_0539	COSY_0533	Vsoy1_peg_563	Vsoy2_peg_762
MS2017_2007	HUE58_RS06280	Rmag_0098	Rpac_peg_85	Rpha_peg_2161	Rple_peg_1436	Rrec_peg_836	Rsou_peg_1552	SP60_04650	Vdia_peg_883	Vext_peg_872	Vgig1_peg_109	Vgig2_peg_860	Vmar_0099	COSY_0101	Vsoy1_peg_125	Vsoy2_peg_329
MS2017_2048	HUE58_RS06185	Rmag_0086	Rpac_peg_105	Rpha_peg_2135	Rple_peg_1459	Rrec_peg_816	Rsou_peg_1666	SP60_04580	Vdia_peg_894	Vext_peg_883	Vgig1_peg_97	Vgig2_peg_872	Vmar_0088	COSY_0090	Vsoy1_peg_113	Vsoy2_peg_317
MS2017_1809	HUE58_RS03775	Rmag_0203	Rpac_peg_1068	Rpha_peg_8	Rple_peg_19	Rrec_peg_973	Rsou_peg_1202	SP60_05430	Vdia_peg_784	Vext_peg_773	Vgig1_peg_731	Vgig2_peg_618	Vmar_0197	COSY_0201	Vsoy1_peg_223	Vsoy2_peg_428
MS2017_1851	HUE58_RS03980	Rmag_0165	Rpac_peg_1025	Rpha_peg_1581	Rple_peg_65	Rrec_peg_926	Rsou_peg_1249	SP60_05240	Vdia_peg_816	Vext_peg_805	Vgig1_peg_763	Vgig2_peg_652	Vmar_0165	COSY_0169	Vsoy1_peg_190	Vsoy2_peg_395
MS2017_0988	HUE58_RS02715	Rmag_0577	Rpac_peg_1297	Rpha_peg_131	Rple_peg_622	Rrec_peg_1274	Rsou_peg_801	SP60_07650	Vdia_peg_443	Vext_peg_430	Vgig1_peg_397	Vgig2_peg_282	Vmar_0538	COSY_0532	Vsoy1_peg_562	Vsoy2_peg_761
MS2017_1222	HUE58_RS02130	Rmag_0487	Rpac_peg_909	Rpha_peg_290	Rple_peg_1240	Rrec_peg_1143	Rsou_peg_1343	SP60_00235	Vdia_peg_526	Vext_peg_514	Vgig1_peg_481	Vgig2_peg_367	Vmar_0454	COSY_0450	Vsoy1_peg_479	Vsoy2_peg_678
MS2017_2008	HUE58_RS06275	Rmag_0097	Rpac_peg_86	Rpha_peg_2160	Rple_peg_1437	Rrec_peg_835	Rsou_peg_1553	SP60_04645	Vdia_peg_884	Vext_peg_873	Vgig1_peg_108	Vgig2_peg_861	Vmar_0098	COSY_0100	Vsoy1_peg_124	Vsoy2_peg_328
MS2017_2049	HUE58_RS06180	Rmag_0085	Rpac_peg_106	Rpha_peg_2134	Rple_peg_1460	Rrec_peg_815	Rsou_peg_1665	SP60_04575	Vdia_peg_895	Vext_peg_884	Vgig1_peg_96	Vgig2_peg_873	Vmar_0087	COSY_0089	Vsoy1_peg_112	Vsoy2_peg_316
MS2017_1852	HUE58_RS03985	Rmag_0164	Rpac_peg_1024	Rpha_peg_1580	Rple_peg_66	Rrec_peg_925	Rsou_peg_1250	SP60_05235	Vdia_peg_817	Vext_peg_806	Vgig1_peg_764	Vgig2_peg_653	Vmar_0164	COSY_0168	Vsoy1_peg_189	Vsoy2_peg_394
MS2017_0239	HUE58_RS04800	Rmag_0957	Rpac_peg_729	Rpha_peg_1353	Rple_peg_957	Rrec_peg_521	Rsou_peg_1494	SP60_03080	Vdia_peg_98	Vext_peg_94	Vgig1_peg_876	Vgig2_peg_763	Vmar_0867	COSY_0857	Vsoy1_peg_897	Vsoy2_peg_113
MS2017_0989	HUE58_RS02710	Rmag_0576	Rpac_peg_1298	Rpha_peg_132	Rple_peg_623	Rrec_peg_1273	Rsou_peg_802	SP60_07655	Vdia_peg_444	Vext_peg_431	Vgig1_peg_398	Vgig2_peg_283	Vmar_0537	COSY_0531	Vsoy1_peg_561	Vsoy2_peg_760
MS2017_2051	HUE58_RS06170	Rmag_0083	Rpac_peg_108	Rpha_peg_2132	Rple_peg_1462	Rrec_peg_812	Rsou_peg_1663	SP60_04565	Vdia_peg_896	Vext_peg_885	Vgig1_peg_95	Vgig2_peg_874	Vmar_0086	COSY_0088	Vsoy1_peg_111	Vsoy2_peg_315
MS2017_0240	HUE58_RS04795	Rmag_0956	Rpac_peg_728	Rpha_peg_1354	Rple_peg_956	Rrec_peg_520	Rsou_peg_1493	SP60_03075	Vdia_peg_99	Vext_peg_95	Vgig1_peg_877	Vgig2_peg_764	Vmar_0866	COSY_0856	Vsoy1_peg_896	Vsoy2_peg_112
MS2017_0990	HUE58_RS02705	Rmag_0575	Rpac_peg_1299	Rpha_peg_133	Rple_peg_624	Rrec_peg_1272	Rsou_peg_803	SP60_07660	Vdia_peg_445	Vext_peg_432	Vgig1_peg_399	Vgig2_peg_284	Vmar_0536	COSY_0530	Vsoy1_peg_560	Vsoy2_peg_759
MS2017_1145	HUE58_RS01980	Rmag_0464	Rpac_peg_947	Rpha_peg_323	Rple_peg_1277	Rrec_peg_1112	Rsou_peg_1840	SP60_00400	Vdia_peg_546	Vext_peg_534	Vgig1_peg_502	Vgig2_peg_389	Vmar_0433	COSY_0429	Vsoy1_peg_457	Vsoy2_peg_656
MS2017_1811	HUE58_RS03785	Rmag_0200	Rpac_peg_1065	Rpha_peg_5	Rple_peg_22	Rrec_peg_970	Rsou_peg_1199	SP60_05420	Vdia_peg_786	Vext_peg_775	Vgig1_peg_733	Vgig2_peg_620	Vmar_0195	COSY_0199	Vsoy1_peg_221	Vsoy2_peg_426
MS2017_0241	HUE58_RS04790	Rmag_0955	Rpac_peg_727	Rpha_peg_1355	Rple_peg_955	Rrec_peg_519	Rsou_peg_1492	SP60_03070	Vdia_peg_100	Vext_peg_96	Vgig1_peg_878	Vgig2_peg_765	Vmar_0865	COSY_0855	Vsoy1_peg_895	Vsoy2_peg_111
MS2017_0991	HUE58_RS02700	Rmag_0574	Rpac_peg_1300	Rpha_peg_134	Rple_peg_625	Rrec_peg_1271	Rsou_peg_804	SP60_07665	Vdia_peg_446	Vext_peg_433	Vgig1_peg_400	Vgig2_peg_285	Vmar_0535	COSY_0529	Vsoy1_peg_559	Vsoy2_peg_758
