Bathy	SUP05	R.magnifica	R.pacifica	R.phaseoliformis	R.pleocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.okutanii	V.gigas2	V.soyoae2	V.gigas1	V.soyoae1	product	genome_count
MS2017_0017	SP60_04075	Rmag_0011	Rpac_peg_219	Rpha_peg_1038	Rple_peg_1580	Rrec_peg_713	Rsou_peg_1789	Vdia_peg_972	Vext_peg_960	COSY_0012	Vgig2_peg_947	Vsoy2_peg_241	Vgig1_peg_21	Vsoy1_peg_37	Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2)	15
MS2017_0018	SP60_04080	Rmag_0012	Rpac_peg_218	Rpha_peg_1039	Rple_peg_1579	Rrec_peg_714	Rsou_peg_1788	Vdia_peg_971	Vext_peg_959	COSY_0013	Vgig2_peg_946	Vsoy2_peg_242	Vgig1_peg_22	Vsoy1_peg_38	hypothetical protein	15
MS2017_0019	SP60_04085	Rmag_0013	Rpac_peg_217	Rpha_peg_1040	Rple_peg_1578	Rrec_peg_715	Rsou_peg_1787	Vdia_peg_970	Vext_peg_958	COSY_0014	Vgig2_peg_945	Vsoy2_peg_243	Vgig1_peg_23	Vsoy1_peg_39	Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	15
MS2017_0022	SP60_04095	Rmag_0015	Rpac_peg_215	Rpha_peg_1042	Rple_peg_1575	Rrec_peg_717	Rsou_peg_1785	Vdia_peg_969	Vext_peg_957	COSY_0015	Vgig2_peg_943	Vsoy2_peg_245	Vgig1_peg_25	Vsoy1_peg_41	Dihydroorotase (EC 3.5.2.3)	15
MS2017_0033	SP60_04110	Rmag_0018	Rpac_peg_211	Rpha_peg_1047	Rple_peg_1570	Rrec_peg_721	Rsou_peg_1778	Vdia_peg_967	Vext_peg_955	COSY_0017	Vgig2_peg_941	Vsoy2_peg_247	Vgig1_peg_27	Vsoy1_peg_43	Homoserine O-succinyltransferase (EC 2.3.1.46)	15
MS2017_0034	SP60_04115	Rmag_0019	Rpac_peg_210	Rpha_peg_1048	Rple_peg_1569	Rrec_peg_722	Rsou_peg_1777	Vdia_peg_966	Vext_peg_954	COSY_0018	Vgig2_peg_940	Vsoy2_peg_248	Vgig1_peg_28	Vsoy1_peg_44	ATPases of the AAA+ class	15
MS2017_0038	SP60_04130	Rmag_0022	Rpac_peg_207	Rpha_peg_1051	Rple_peg_1566	Rrec_peg_725	Rsou_peg_468	Vdia_peg_963	Vext_peg_951	COSY_0021	Vgig2_peg_937	Vsoy2_peg_251	Vgig1_peg_31	Vsoy1_peg_47	FIG01199523: hypothetical protein	15
MS2017_0062	SP60_04135	Rmag_0023	Rpac_peg_206	Rpha_peg_1052	Rple_peg_1565	Rrec_peg_726	Rsou_peg_469	Vdia_peg_962	Vext_peg_950	COSY_0022	Vgig2_peg_936	Vsoy2_peg_252	Vgig1_peg_32	Vsoy1_peg_48	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	15
MS2017_0067	SP60_04150	Rmag_0025	Rpac_peg_202	Rpha_peg_1056	Rple_peg_1562	Rrec_peg_729	Rsou_peg_472	Vdia_peg_959	Vext_peg_947	COSY_0025	Vgig2_peg_933	Vsoy2_peg_255	Vgig1_peg_35	Vsoy1_peg_51	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	15
MS2017_0068	SP60_04155	Rmag_0026	Rpac_peg_201	Rpha_peg_1057	Rple_peg_1561	Rrec_peg_730	Rsou_peg_473	Vdia_peg_958	Vext_peg_946	COSY_0026	Vgig2_peg_932	Vsoy2_peg_256	Vgig1_peg_36	Vsoy1_peg_52	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	15
MS2017_0069	SP60_04160	Rmag_0027	Rpac_peg_200	Rpha_peg_1058	Rple_peg_1560	Rrec_peg_731	Rsou_peg_474	Vdia_peg_957	Vext_peg_945	COSY_0027	Vgig2_peg_931	Vsoy2_peg_257	Vgig1_peg_37	Vsoy1_peg_53	Undecaprenyl diphosphate synthase (EC 2.5.1.31)	15
MS2017_0070	SP60_04165	Rmag_0028	Rpac_peg_199	Rpha_peg_1059	Rple_peg_1559	Rrec_peg_732	Rsou_peg_475	Vdia_peg_956	Vext_peg_944	COSY_0028	Vgig2_peg_930	Vsoy2_peg_258	Vgig1_peg_38	Vsoy1_peg_54	Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-)	15
MS2017_0086	SP60_04245	Rmag_0043	Rpac_peg_176	Rpha_peg_799	Rple_peg_1520	Rrec_peg_761	Rsou_peg_315	Vdia_peg_939	Vext_peg_927	COSY_0046	Vgig2_peg_913	Vsoy2_peg_275	Vgig1_peg_55	Vsoy1_peg_72	Cell division protein FtsK	15
MS2017_0087	SP60_04250	Rmag_0044	Rpac_peg_175	Rpha_peg_798	Rple_peg_1518	Rrec_peg_762	Rsou_peg_316	Vdia_peg_938	Vext_peg_926	COSY_0047	Vgig2_peg_912	Vsoy2_peg_276	Vgig1_peg_56	Vsoy1_peg_73	Thioredoxin reductase (EC 1.8.1.9)	15
MS2017_0089	SP60_04280	Rmag_0045	Rpac_peg_170	Rpha_peg_795	Rple_peg_1516	Rrec_peg_763	Rsou_peg_592	Vdia_peg_937	Vext_peg_925	COSY_0049	Vgig2_peg_911	Vsoy2_peg_277	Vgig1_peg_57	Vsoy1_peg_74	Aspartate carbamoyltransferase (EC 2.1.3.2)	15
MS2017_0090	SP60_04285	Rmag_0046	Rpac_peg_169	Rpha_peg_794	Rple_peg_1515	Rrec_peg_764	Rsou_peg_591	Vdia_peg_936	Vext_peg_924	COSY_0050	Vgig2_peg_910	Vsoy2_peg_278	Vgig1_peg_58	Vsoy1_peg_75	Putative Holliday junction resolvase YggF	15
MS2017_0096	SP60_03810	Rmag_1054	Rpac_peg_861	Rpha_peg_919	Rple_peg_1114	Rrec_peg_669	Rsou_peg_1605	Vdia_peg_1008	Vext_peg_995	COSY_0954	Vgig2_peg_982	Vsoy2_peg_207	Vgig1_peg_986	Vsoy1_peg_2	NAD kinase (EC 2.7.1.23)	15
MS2017_0097	SP60_03815	Rmag_1055	Rpac_peg_862	Rpha_peg_921	Rple_peg_1116	Rrec_peg_671	Rsou_peg_1606	Vdia_peg_1007	Vext_peg_994	COSY_0955	Vgig2_peg_981	Vsoy2_peg_208	Vgig1_peg_987	Vsoy1_peg_3	Heat shock protein GrpE	15
MS2017_0101	SP60_03840	Rmag_1057	Rpac_peg_864	Rpha_peg_959	Rple_peg_1122	Rrec_peg_673	Rsou_peg_536	Vdia_peg_1006	Vext_peg_993	COSY_0956	Vgig2_peg_980	Vsoy2_peg_209	Vgig1_peg_988	Vsoy1_peg_4	Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)	15
MS2017_0102	SP60_03845	Rmag_1058	Rpac_peg_865	Rpha_peg_960	Rple_peg_1123	Rrec_peg_674	Rsou_peg_535	Vdia_peg_1005	Vext_peg_992	COSY_0957	Vgig2_peg_979	Vsoy2_peg_210	Vgig1_peg_989	Vsoy1_peg_5	3-dehydroquinate dehydratase II (EC 4.2.1.10)	15
MS2017_0103	SP60_03850	Rmag_1059	Rpac_peg_866	Rpha_peg_961	Rple_peg_1124	Rrec_peg_675	Rsou_peg_534	Vdia_peg_1004	Vext_peg_991	COSY_0958	Vgig2_peg_978	Vsoy2_peg_211	Vgig1_peg_990	Vsoy1_peg_6	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	15
MS2017_0104	SP60_03855	Rmag_1060	Rpac_peg_867	Rpha_peg_962	Rple_peg_1125	Rrec_peg_676	Rsou_peg_533	Vdia_peg_1003	Vext_peg_990	COSY_0959	Vgig2_peg_977	Vsoy2_peg_212	Vgig1_peg_992	Vsoy1_peg_7	Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	15
MS2017_0107	SP60_03860	Rmag_1061	Rpac_peg_868	Rpha_peg_963	Rple_peg_1126	Rrec_peg_677	Rsou_peg_532	Vdia_peg_1002	Vext_peg_989	COSY_0960	Vgig2_peg_976	Vsoy2_peg_213	Vgig1_peg_993	Vsoy1_peg_8	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	15
MS2017_0108	SP60_03865	Rmag_1062	Rpac_peg_869	Rpha_peg_964	Rple_peg_1127	Rrec_peg_678	Rsou_peg_531	Vdia_peg_1001	Vext_peg_988	COSY_0961	Vgig2_peg_975	Vsoy2_peg_214	Vgig1_peg_994	Vsoy1_peg_9	probable iron binding protein from the HesB_IscA_SufA family	15
MS2017_0113	SP60_03870	Rmag_1063	Rpac_peg_872	Rpha_peg_965	Rple_peg_1128	Rrec_peg_681	Rsou_peg_525	Vdia_peg_1000	Vext_peg_987	COSY_0962	Vgig2_peg_974	Vsoy2_peg_215		Vsoy1_peg_10	Citrate synthase (si) (EC 2.3.3.1)	14
MS2017_0114	SP60_03875	Rmag_1064	Rpac_peg_873	Rpha_peg_966	Rple_peg_1129	Rrec_peg_682	Rsou_peg_524	Vdia_peg_999	Vext_peg_986	COSY_0963	Vgig2_peg_973	Vsoy2_peg_216		Vsoy1_peg_11	Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-) @ 2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG (EC 2.1.1.163)	14
MS2017_0116	SP60_03885	Rmag_1066	Rpac_peg_875	Rpha_peg_968	Rple_peg_1131	Rrec_peg_684	Rsou_peg_522	Vdia_peg_997	Vext_peg_984	COSY_0965	Vgig2_peg_971	Vsoy2_peg_217	Vgig1_peg_1001	Vsoy1_peg_13	Ubiquinone biosynthesis monooxygenase UbiB	15
MS2017_0117	SP60_03890	Rmag_1067	Rpac_peg_876	Rpha_peg_970	Rple_peg_1132	Rrec_peg_685	Rsou_peg_521	Vdia_peg_996	Vext_peg_983	COSY_0966	Vgig2_peg_970	Vsoy2_peg_218	Vgig1_peg_1002	Vsoy1_peg_14	LSU ribosomal protein L25p	15
MS2017_0118	SP60_03895	Rmag_1068	Rpac_peg_877	Rpha_peg_971	Rple_peg_1133	Rrec_peg_686	Rsou_peg_520	Vdia_peg_995	Vext_peg_982	COSY_0967	Vgig2_peg_969	Vsoy2_peg_219	Vgig1_peg_1003	Vsoy1_peg_15	Peptidyl-tRNA hydrolase (EC 3.1.1.29)	15
MS2017_0119	SP60_03900	Rmag_1069	Rpac_peg_878	Rpha_peg_972	Rple_peg_1134	Rrec_peg_687	Rsou_peg_519	Vdia_peg_994	Vext_peg_981	COSY_0968	Vgig2_peg_968	Vsoy2_peg_220	Vgig1_peg_1004	Vsoy1_peg_16	GTP-binding and nucleic acid-binding protein YchF	15
MS2017_0130	SP60_03905	Rmag_1070	Rpac_peg_879	Rpha_peg_973	Rple_peg_1135	Rrec_peg_688	Rsou_peg_518	Vdia_peg_993	Vext_peg_980	COSY_0969	Vgig2_peg_967	Vsoy2_peg_221		Vsoy1_peg_17	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	14
MS2017_0131	SP60_03910	Rmag_1071	Rpac_peg_880	Rpha_peg_974	Rple_peg_1136	Rrec_peg_689	Rsou_peg_517	Vdia_peg_992	Vext_peg_979	COSY_0970	Vgig2_peg_966	Vsoy2_peg_222		Vsoy1_peg_18	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	14
MS2017_0132	SP60_03915	Rmag_1072	Rpac_peg_883	Rpha_peg_984	Rple_peg_1137	Rrec_peg_690	Rsou_peg_516	Vdia_peg_991	Vext_peg_978	COSY_0971	Vgig2_peg_965	Vsoy2_peg_223	Vgig1_peg_2	Vsoy1_peg_19	SSU ribosomal protein S2p (SAe)	15
MS2017_0133	SP60_03920	Rmag_1073	Rpac_peg_884	Rpha_peg_985	Rple_peg_1138	Rrec_peg_691	Rsou_peg_515	Vdia_peg_990	Vext_peg_977	COSY_0972	Vgig2_peg_964	Vsoy2_peg_224	Vgig1_peg_3	Vsoy1_peg_20	Translation elongation factor Ts	15
MS2017_0134	SP60_03575	Rmag_1018	Rpac_peg_813	Rpha_peg_860	Rple_peg_1057	Rrec_peg_616	Rsou_peg_414	Vdia_peg_40	Vext_peg_37	COSY_0919	Vgig2_peg_821	Vsoy2_peg_170		Vsoy1_peg_955	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	14
MS2017_0141	SP60_03560	Rmag_1016	Rpac_peg_801	Rpha_peg_849	Rple_peg_1049	Rrec_peg_611	Rsou_peg_423	Vdia_peg_41	Vext_peg_38	COSY_0918	Vgig2_peg_820	Vsoy2_peg_169	Vgig1_peg_934	Vsoy1_peg_954	Mutator mutT protein (7,8-dihydro-8-oxoguanine-triphosphatase) (EC 3.6.1.-) / Thiamin-phosphate pyrophosphorylase-like protein	15
MS2017_0142	SP60_03555	Rmag_1015	Rpac_peg_800	Rpha_peg_848	Rple_peg_1048	Rrec_peg_610	Rsou_peg_424	Vdia_peg_42	Vext_peg_39	COSY_0917	Vgig2_peg_819	Vsoy2_peg_168	Vgig1_peg_932	Vsoy1_peg_952	Glutamate--cysteine ligase (EC 6.3.2.2)	15
MS2017_0145	SP60_03550	Rmag_1014	Rpac_peg_799	Rpha_peg_847	Rple_peg_1047	Rrec_peg_608	Rsou_peg_425	Vdia_peg_43	Vext_peg_40	COSY_0916	Vgig2_peg_818	Vsoy2_peg_167	Vgig1_peg_931	Vsoy1_peg_951	GTPase and tRNA-U34 5-formylation enzyme TrmE	15
MS2017_0146	SP60_03545	Rmag_1013	Rpac_peg_798	Rpha_peg_846	Rple_peg_1046	Rrec_peg_607	Rsou_peg_426	Vdia_peg_44	Vext_peg_41	COSY_0915	Vgig2_peg_817	Vsoy2_peg_166	Vgig1_peg_930	Vsoy1_peg_950	Nitrate/nitrite sensor protein (EC 2.7.3.-)	15
MS2017_0147	SP60_03540	Rmag_1012	Rpac_peg_797	Rpha_peg_845	Rple_peg_1045	Rrec_peg_606	Rsou_peg_427	Vdia_peg_45	Vext_peg_42	COSY_0914	Vgig2_peg_816	Vsoy2_peg_165	Vgig1_peg_929	Vsoy1_peg_949	Nitrate/nitrite response regulator protein	15
MS2017_0148	SP60_03535	Rmag_1011	Rpac_peg_795	Rpha_peg_844	Rple_peg_1042	Rrec_peg_604	Rsou_peg_428	Vdia_peg_46	Vext_peg_43	COSY_0913	Vgig2_peg_815	Vsoy2_peg_164	Vgig1_peg_928	Vsoy1_peg_948	Rhodanese-related sulfurtransferase	15
MS2017_0156	SP60_03470	Rmag_1009	Rpac_peg_791	Rpha_peg_840	Rple_peg_1032	Rrec_peg_600	Rsou_peg_432	Vdia_peg_49	Vext_peg_46	COSY_0905	Vgig2_peg_812	Vsoy2_peg_161	Vgig1_peg_925	Vsoy1_peg_945	Phage shock protein E	15
MS2017_0157	SP60_03465	Rmag_1008	Rpac_peg_790	Rpha_peg_839	Rple_peg_1031	Rrec_peg_599	Rsou_peg_433	Vdia_peg_50	Vext_peg_47	COSY_0904	Vgig2_peg_811	Vsoy2_peg_160	Vgig1_peg_924	Vsoy1_peg_944	Seryl-tRNA synthetase (EC 6.1.1.11)	15
MS2017_0158	SP60_03460	Rmag_1007	Rpac_peg_789	Rpha_peg_838	Rple_peg_1030	Rrec_peg_598	Rsou_peg_434	Vdia_peg_51	Vext_peg_48	COSY_0903	Vgig2_peg_810	Vsoy2_peg_159	Vgig1_peg_923	Vsoy1_peg_943	Preprotein translocase subunit YajC (TC 3.A.5.1.1)	15
MS2017_0159	SP60_03455	Rmag_1006	Rpac_peg_788	Rpha_peg_837	Rple_peg_1029	Rrec_peg_597	Rsou_peg_435	Vdia_peg_52	Vext_peg_49	COSY_0902	Vgig2_peg_809	Vsoy2_peg_158	Vgig1_peg_922	Vsoy1_peg_942	Protein-export membrane protein SecD (TC 3.A.5.1.1)	15
MS2017_0160	SP60_03450	Rmag_1005	Rpac_peg_787	Rpha_peg_836	Rple_peg_1028	Rrec_peg_596	Rsou_peg_436	Vdia_peg_53	Vext_peg_50	COSY_0901	Vgig2_peg_808	Vsoy2_peg_157	Vgig1_peg_921	Vsoy1_peg_941	Protein-export membrane protein SecF (TC 3.A.5.1.1)	15
MS2017_0161	SP60_03445	Rmag_1004	Rpac_peg_786	Rpha_peg_835	Rple_peg_1027	Rrec_peg_595	Rsou_peg_437	Vdia_peg_54	Vext_peg_51	COSY_0900	Vgig2_peg_807	Vsoy2_peg_156	Vgig1_peg_920	Vsoy1_peg_940	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)	15
MS2017_0162	SP60_03440	Rmag_1003	Rpac_peg_785	Rpha_peg_834	Rple_peg_1026	Rrec_peg_594	Rsou_peg_438	Vdia_peg_55	Vext_peg_52	COSY_0899	Vgig2_peg_806	Vsoy2_peg_155	Vgig1_peg_919	Vsoy1_peg_939	3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabA form (EC 4.2.1.59)	15
MS2017_0163	SP60_03435	Rmag_1002	Rpac_peg_784	Rpha_peg_833	Rple_peg_1025	Rrec_peg_593	Rsou_peg_439	Vdia_peg_56	Vext_peg_53	COSY_0898	Vgig2_peg_805	Vsoy2_peg_154	Vgig1_peg_918	Vsoy1_peg_938	O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)	15
MS2017_0164	SP60_03430	Rmag_1001	Rpac_peg_783	Rpha_peg_832	Rple_peg_1024	Rrec_peg_592	Rsou_peg_440	Vdia_peg_57	Vext_peg_54	COSY_0897	Vgig2_peg_804	Vsoy2_peg_153	Vgig1_peg_917	Vsoy1_peg_937	Amidophosphoribosyltransferase (EC 2.4.2.14)	15
MS2017_0165	SP60_03425	Rmag_1000	Rpac_peg_782	Rpha_peg_831	Rple_peg_1023	Rrec_peg_591	Rsou_peg_441	Vdia_peg_58	Vext_peg_55	COSY_0896	Vgig2_peg_803	Vsoy2_peg_152	Vgig1_peg_916	Vsoy1_peg_936	hypothetical protein	15
MS2017_0166	SP60_03420	Rmag_0999	Rpac_peg_781	Rpha_peg_830	Rple_peg_1022	Rrec_peg_590	Rsou_peg_442	Vdia_peg_59	Vext_peg_56	COSY_0895	Vgig2_peg_802	Vsoy2_peg_151	Vgig1_peg_915	Vsoy1_peg_935	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)	15
MS2017_0167	SP60_03415	Rmag_0998	Rpac_peg_780	Rpha_peg_829	Rple_peg_1021	Rrec_peg_589	Rsou_peg_443	Vdia_peg_60	Vext_peg_57	COSY_0894	Vgig2_peg_801	Vsoy2_peg_150	Vgig1_peg_914	Vsoy1_peg_934	Cytoplasmic membrane protein FsxA	15
MS2017_0168	SP60_03410	Rmag_0997	Rpac_peg_779	Rpha_peg_828	Rple_peg_1020	Rrec_peg_588	Rsou_peg_444	Vdia_peg_61	Vext_peg_58	COSY_0893	Vgig2_peg_800	Vsoy2_peg_149	Vgig1_peg_913	Vsoy1_peg_933	tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)	15
MS2017_0174	SP60_03405	Rmag_0996	Rpac_peg_778	Rpha_peg_827	Rple_peg_1019	Rrec_peg_586	Rsou_peg_446	Vdia_peg_64	Vext_peg_60	COSY_0892	Vgig2_peg_799	Vsoy2_peg_148	Vgig1_peg_912	Vsoy1_peg_932	Exodeoxyribonuclease III (EC 3.1.11.2)	15
MS2017_0177	SP60_03400	Rmag_0995	Rpac_peg_777	Rpha_peg_826	Rple_peg_1018	Rrec_peg_585	Rsou_peg_447	Vdia_peg_65	Vext_peg_61	COSY_0891	Vgig2_peg_798	Vsoy2_peg_147	Vgig1_peg_911	Vsoy1_peg_931	Orotate phosphoribosyltransferase (EC 2.4.2.10)	15
MS2017_0178	SP60_03280	Rmag_0994	Rpac_peg_776	Rpha_peg_1629	Rple_peg_1012	Rrec_peg_579	Rsou_peg_1736	Vdia_peg_66	Vext_peg_62	COSY_0889	Vgig2_peg_797	Vsoy2_peg_146	Vgig1_peg_910	Vsoy1_peg_930	LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent	15
MS2017_0179	SP60_03275	Rmag_0993	Rpac_peg_775	Rpha_peg_1630	Rple_peg_1011	Rrec_peg_578	Rsou_peg_1737	Vdia_peg_67	Vext_peg_63	COSY_0888	Vgig2_peg_796	Vsoy2_peg_145	Vgig1_peg_909	Vsoy1_peg_929	LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent	15
MS2017_0182	SP60_03270	Rmag_0992	Rpac_peg_774	Rpha_peg_1631	Rple_peg_1010	Rrec_peg_577	Rsou_peg_1738	Vdia_peg_68	Vext_peg_64	COSY_0887	Vgig2_peg_795	Vsoy2_peg_144	Vgig1_peg_908	Vsoy1_peg_928	Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)	15
MS2017_0183	SP60_03265	Rmag_0991	Rpac_peg_773	Rpha_peg_1632	Rple_peg_1009	Rrec_peg_576	Rsou_peg_1739	Vdia_peg_69	Vext_peg_65	COSY_0886	Vgig2_peg_794	Vsoy2_peg_143	Vgig1_peg_907	Vsoy1_peg_927	Adenylosuccinate lyase (EC 4.3.2.2)	15
MS2017_0184	SP60_03260	Rmag_0990	Rpac_peg_772	Rpha_peg_1633	Rple_peg_1008	Rrec_peg_575	Rsou_peg_1740	Vdia_peg_70	Vext_peg_66	COSY_0885	Vgig2_peg_793	Vsoy2_peg_142	Vgig1_peg_906	Vsoy1_peg_926	SSU ribosomal protein S16p	15
MS2017_0185	SP60_03255	Rmag_0989	Rpac_peg_771	Rpha_peg_1634	Rple_peg_1007	Rrec_peg_574	Rsou_peg_1741	Vdia_peg_71	Vext_peg_67	COSY_0884	Vgig2_peg_792	Vsoy2_peg_141	Vgig1_peg_905	Vsoy1_peg_925	16S rRNA processing protein RimM	15
MS2017_0188	SP60_03245	Rmag_0987	Rpac_peg_769	Rpha_peg_1636	Rple_peg_1005	Rrec_peg_572	Rsou_peg_1743	Vdia_peg_73	Vext_peg_69	COSY_0882	Vgig2_peg_790	Vsoy2_peg_139	Vgig1_peg_903	Vsoy1_peg_923	sulfur deprivation response regulator	15
MS2017_0189	SP60_03240	Rmag_0984	Rpac_peg_766	Rpha_peg_1639	Rple_peg_1002	Rrec_peg_569	Rsou_peg_1746	Vdia_peg_74	Vext_peg_70	COSY_0881	Vgig2_peg_789	Vsoy2_peg_138	Vgig1_peg_902	Vsoy1_peg_922	tRNA pseudouridine synthase A (EC 4.2.1.70)	15
MS2017_0191	SP60_03230	Rmag_0982	Rpac_peg_764	Rpha_peg_1303	Rple_peg_1000	Rrec_peg_567	Rsou_peg_1748	Vdia_peg_75	Vext_peg_71	COSY_0880	Vgig2_peg_788	Vsoy2_peg_137	Vgig1_peg_901	Vsoy1_peg_921	Biotin--protein ligase (EC 6.3.4.9, EC 6.3.4.10, EC 6.3.4.11, EC 6.3.4.15) / Biotin operon repressor	15
MS2017_0192	SP60_03225	Rmag_0981	Rpac_peg_762	Rpha_peg_1305	Rple_peg_998	Rrec_peg_566	Rsou_peg_1750	Vdia_peg_76	Vext_peg_72	COSY_0879	Vgig2_peg_787	Vsoy2_peg_135	Vgig1_peg_900	Vsoy1_peg_919	Lipopolysaccharide ABC transporter, ATP-binding protein LptB	15
MS2017_0193	SP60_03220	Rmag_0980	Rpac_peg_761	Rpha_peg_1306	Rple_peg_997	Rrec_peg_565	Rsou_peg_1751	Vdia_peg_77	Vext_peg_73	COSY_0878	Vgig2_peg_786	Vsoy2_peg_134	Vgig1_peg_899	Vsoy1_peg_918	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	15
