	T_autotrophicus	B_thermophilus_symbiont	R_fausta	R_magnifica	R_pacifica	R_phaseoliformis	R_pliocardia	R_rectimargo	R_southwardae	V_diagonalis	V_extenta	V_gigas1	V_gigas2	V_marissinica	V_okutanii	V_soyoae1	V_soyoae2	Genome_Count	Gene	Function
OG0000016	SP60_05425	MS2017_1810	HUE58_RS03780	Rmag_0201, Rmag_0202	Rpac_peg_1066	Rpha_peg_6, Rpha_peg_7	Rpli_peg_20, Rpli_peg_21	Rrec_peg_971, Rrec_peg_972_pseudo	Rsou_peg_1200, Rsou_peg_1201	Vdia_peg_785	Vext_peg_774	Vgig1_peg_732	Vgig2_peg_619	Vmar_0196	COSY_0200	Vsoy1_peg_222	Vsoy2_peg_427	17		Cytochrome c4
OG0000017	SP60_06135	MS2017_0489	HUE58_RS00140	Rmag_0794	Rpac_peg_111_pseudo, Rpac_peg_112_pseudo, Rpac_peg_266	Rpha_peg_2030, Rpha_peg_2128_pseudo	Rpli_peg_1466_pseudo, Rpli_peg_386	Rrec_peg_315	Rsou_peg_1151, Rsou_peg_1661	Vdia_peg_234_pseudo	Vext_peg_229_pseudo	Vgig1_peg_195	Vgig2_peg_85	Vmar_0734	COSY_0720	Vsoy1_peg_761	Vsoy2_peg_962	17	mreB	Rod shape-determining protein MreB
OG0000018	SP60_07130	MS2017_0757	HUE58_RS03190	Rmag_0653_pseudo	Rpac_peg_1190	Rpha_peg_1183	Rpli_peg_484	Rrec_peg_1385	Rsou_peg_845	Vdia_peg_373_pseudo, Vdia_peg_374_pseudo	Vext_peg_362_pseudo	Vgig1_peg_325_pseudo, Vgig1_peg_326	Vgig2_peg_211_pseudo, Vgig2_peg_212	Vmar_0607_pseudo, Vmar_0608		Vsoy1_peg_635_pseudo, Vsoy1_peg_636	Vsoy2_peg_835_pseudo, Vsoy2_peg_836	16		Folate carrier, cyanobacterial type
OG0000019	SP60_04765	MS2017_1965	HUE58_RS06400	Rmag_0114_pseudo, Rmag_0115_pseudo	Rpac_peg_58_pseudo, Rpac_peg_59_pseudo	Rpha_peg_1925	Rpli_peg_1416	Rrec_peg_860	Rsou_peg_1520	Vdia_peg_863_pseudo	Vext_peg_852_pseudo	Vgig1_peg_126_pseudo, Vgig1_peg_127	Vgig2_peg_15_pseudo, Vgig2_peg_16	Vmar_0116_pseudo, Vmar_0117_pseudo	COSY_0120	Vsoy1_peg_144	Vsoy2_peg_349	17		Hypothetical protein
OG0000020	SP60_04760	MS2017_1967	HUE58_RS06395_pseudo		Rpac_peg_60_pseudo, Rpac_peg_61_pseudo	Rpha_peg_1924_pseudo	Rpli_peg_1417	Rrec_peg_858, Rrec_peg_859_pseudo	Rsou_peg_1521_pseudo, Rsou_peg_1522_pseudo	Vdia_peg_864_pseudo, Vdia_peg_865_pseudo, Vdia_peg_866_pseudo	Vext_peg_853_pseudo, Vext_peg_854_pseudo, Vext_peg_855_pseudo	Vgig1_peg_125_pseudo	Vgig2_peg_14_pseudo		COSY_0119	Vsoy1_peg_143	Vsoy2_peg_348	15		Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)
OG0000021	SP60_04985_pseudo, SP60_06585	MS2017_0624	HUE58_RS03565_pseudo, HUE58_RS05865_pseudo	Rmag_0723_pseudo	Rpac_peg_1109_pseudo	Rpha_peg_604_pseudo	Rpli_peg_273_pseudo	Rrec_peg_1479_pseudo	Rsou_peg_663_pseudo	Vdia_peg_293_pseudo, Vdia_peg_294_pseudo	Vext_peg_287_pseudo	Vgig1_peg_251_pseudo	Vgig2_peg_139_pseudo	Vmar_0682_pseudo, Vmar_0683_pseudo	COSY_0671_pseudo	Vsoy1_peg_709_pseudo	Vsoy2_peg_910_pseudo	17	tolA	TolA protein
OG0000022	SP60_01460	MS2017_1622	HUE58_RS01045	Rmag_0315	Rpac_peg_475	Rpha_peg_1706_pseudo, Rpha_peg_1708_pseudo	Rpli_peg_634	Rrec_peg_115	Rsou_peg_617	Vdia_peg_681_pseudo, Vdia_peg_682_pseudo	Vext_peg_670_pseudo, Vext_peg_671_pseudo	Vgig1_peg_633	Vgig2_peg_520	Vmar_0297	COSY_0296	Vsoy1_peg_323	Vsoy2_peg_527	17	glcF	Glycolate dehydrogenase (EC 1.1.99.14), iron-sulfur subunit GlcF
OG0000023	SP60_07965	MS2017_1030	HUE58_RS02510_pseudo	Rmag_0540_pseudo	Rpac_peg_1339_pseudo, Rpac_peg_1341_pseudo	Rpha_peg_172	Rpli_peg_1175	Rrec_peg_1229, Rrec_peg_1230_pseudo	Rsou_peg_891	Vdia_peg_481_pseudo	Vext_peg_468_pseudo	Vgig1_peg_433	Vgig2_peg_318	Vmar_0500_pseudo, Vmar_0501_pseudo	COSY_0495	Vsoy1_peg_525	Vsoy2_peg_724	17		MoxR-like ATPase
OG0000024	SP60_00285	MS2017_1246	HUE58_RS02085_pseudo	Rmag_0479	Rpac_peg_923_pseudo, Rpac_peg_924_pseudo	Rpha_peg_303	Rpli_peg_1252	Rrec_peg_1132_pseudo, Rrec_peg_1133_pseudo, Rrec_peg_1134_pseudo	Rsou_peg_1868	Vdia_peg_534	Vext_peg_522	Vgig1_peg_489	Vgig2_peg_375	Vmar_0446	COSY_0442	Vsoy1_peg_471	Vsoy2_peg_670	17	folE/queF	NADPH dependent preQ0 reductase (EC 1.7.1.13)
OG0000025	SP60_06315	MS2017_0541	HUE58_RS00260	Rmag_0775_pseudo	Rpac_peg_294	Rpha_peg_2073_pseudo, Rpha_peg_2074_pseudo, Rpha_peg_2075_pseudo, Rpha_peg_2076_pseudo, Rpha_peg_2077_pseudo	Rpli_peg_350_pseudo, Rpli_peg_351_pseudo, Rpli_peg_352_pseudo, Rpli_peg_353_pseudo, Rpli_peg_354_pseudo	Rrec_peg_284	Rsou_peg_1105_pseudo, Rsou_peg_1106_pseudo, Rsou_peg_1107_pseudo			Vgig1_peg_205						10		Hypothetical protein
OG0000026	SP60_03445	MS2017_0161	HUE58_RS05145	Rmag_1004	Rpac_peg_786	Rpha_peg_1900_pseudo, Rpha_peg_835	Rpli_peg_1027	Rrec_peg_595	Rsou_peg_1542_pseudo, Rsou_peg_437	Vdia_peg_54	Vext_peg_51	Vgig1_peg_920	Vgig2_peg_807	Vmar_0909	COSY_0900	Vsoy1_peg_940	Vsoy2_peg_156	17	fabB	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)
OG0000027	SP60_07980	MS2017_1034	HUE58_RS02500_pseudo	Rmag_0539_pseudo	Rpac_peg_1347_pseudo, Rpac_peg_1348_pseudo, Rpac_peg_1349	Rpha_peg_178	Rpli_peg_1180	Rrec_peg_1226_pseudo, Rrec_peg_1227_pseudo	Rsou_peg_887			Vgig1_peg_434	Vgig2_peg_319	Vmar_0498_pseudo, Vmar_0499_pseudo	COSY_0494	Vsoy1_peg_524	Vsoy2_peg_723	15		Sll7028 protein
OG0000028	SP60_06105	MS2017_0483, MS2017_1071	HUE58_RS00120_pseudo	Rmag_0799	Rpac_peg_261_pseudo	Rpha_peg_2023	Rpli_peg_392	Rrec_peg_320_pseudo, Rrec_peg_321_pseudo	Rsou_peg_1158	Vdia_peg_226	Vext_peg_221	Vgig1_peg_189	Vgig2_peg_79	Vmar_0739	COSY_0725	Vsoy1_peg_766	Vsoy2_peg_967	17	msbA	Lipid A export ATP-binding/permease protein MsbA
OG0000029	SP60_04375	MS2017_2099	HUE58_RS06040_pseudo	Rmag_0059		Rpha_peg_767	Rpli_peg_1492_pseudo, Rpli_peg_1493_pseudo, Rpli_peg_1494_pseudo	Rrec_peg_784_pseudo, Rrec_peg_785_pseudo	Rsou_peg_573	Vdia_peg_921	Vext_peg_910	Vgig1_peg_71	Vgig2_peg_898	Vmar_0063	COSY_0064	Vsoy1_peg_89	Vsoy2_peg_293	16	rsmI	rRNA small subunit methyltransferase I
OG0000030	SP60_03270	MS2017_0182	HUE58_RS05055, HUE58_RS05090_pseudo	Rmag_0992	Rpac_peg_774	Rpha_peg_1631	Rpli_peg_1010	Rrec_peg_577, Rrec_peg_584_pseudo	Rsou_peg_1738	Vdia_peg_68	Vext_peg_64	Vgig1_peg_908	Vgig2_peg_795	Vmar_0897	COSY_0887	Vsoy1_peg_928	Vsoy2_peg_144	17	acnB	Aconitate hydratase 2 (EC 4.2.1.3) @ 2-methylisocitrate dehydratase (EC 4.2.1.99)
OG0000031	SP60_06780	MS2017_1569			Rpac_peg_1144_pseudo, Rpac_peg_1146_pseudo	Rpha_peg_665_pseudo, Rpha_peg_666_pseudo, Rpha_peg_667_pseudo			Rsou_peg_1261_pseudo, Rsou_peg_188_pseudo, Rsou_peg_189_pseudo, Rsou_peg_190_pseudo	Vdia_peg_321	Vext_peg_313	Vgig1_peg_275	Vgig2_peg_163	Vmar_0656	COSY_0648	Vsoy1_peg_684	Vsoy2_peg_884	13	narH	Respiratory nitrate reductase beta chain (EC 1.7.99.4)
OG0000032	SP60_06670, SP60_08155	MS2017_1089	HUE58_RS03505	Rmag_0707	Rpac_peg_1125, Rpac_peg_1378_pseudo	Rpha_peg_632	Rpli_peg_247	Rrec_peg_1464	Rsou_peg_219	Vdia_peg_310	Vext_peg_302	Vgig1_peg_264	Vgig2_peg_152	Vmar_0667	COSY_0658	Vsoy1_peg_695	Vsoy2_peg_895	17	afuC	Ferric iron ABC transporter, ATP-binding protein
OG0000033	SP60_07620	MS2017_1131	HUE58_RS02750	Rmag_0582	Rpac_peg_1290	Rpha_peg_124	Rpli_peg_609_pseudo, Rpli_peg_610_pseudo, Rpli_peg_612_pseudo	Rrec_peg_1281	Rsou_peg_795	Vdia_peg_438	Vext_peg_425	Vgig1_peg_392	Vgig2_peg_277	Vmar_0543	COSY_0537	Vsoy1_peg_567	Vsoy2_peg_766	17	tolC	Outer membrane protein-like
OG0000034	SP60_01665, SP60_03680, SP60_04910	MS2017_2164	HUE58_RS05350	Rmag_1031	Rpac_peg_829	Rpha_peg_881	Rpli_peg_1073	Rrec_peg_634	Rsou_peg_1571	Vdia_peg_25	Vext_peg_22	Vgig1_peg_957_pseudo	Vgig2_peg_835	Vmar_0937	COSY_0933	Vsoy1_peg_970	Vsoy2_peg_184	17	trpB	Tryptophan synthase beta chain (EC 4.2.1.20)
OG0000035	SP60_07145_pseudo		HUE58_RS03175_pseudo	Rmag_0650_pseudo	Rpac_peg_1193_pseudo	Rpha_peg_1180_pseudo	Rpli_peg_487_pseudo	Rrec_peg_1382_pseudo	Rsou_peg_842_pseudo	Vdia_peg_377_pseudo, Vdia_peg_378_pseudo	Vext_peg_365_pseudo, Vext_peg_366_pseudo	Vgig1_peg_329_pseudo	Vgig2_peg_215_pseudo	Vmar_0603_pseudo, Vmar_0604_pseudo	COSY_0597_pseudo	Vsoy1_peg_632_pseudo	Vsoy2_peg_832_pseudo	16	gltB	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)
OG0000036	SP60_05610	MS2017_0352	HUE58_RS00570	Rmag_0236	Rpac_peg_361	Rpha_peg_1112, Rpha_peg_1301_pseudo	Rpli_peg_106	Rrec_peg_219	Rsou_peg_1048	Vdia_peg_757	Vext_peg_746	Vgig1_peg_701	Vgig2_peg_589	Vmar_0226	COSY_0228	Vsoy1_peg_251	Vsoy2_peg_456	17	tldD	TldD protein, part of TldE/TldD proteolytic complex
OG0000037	SP60_01970	MS2017_1767	HUE58_RS04500		Rpac_peg_660_pseudo, Rpac_peg_661_pseudo	Rpha_peg_1446_pseudo, Rpha_peg_1447_pseudo	Rpli_peg_862	Rrec_peg_458	Rsou_peg_69	Vdia_peg_147	Vext_peg_142	Vgig1_peg_829	Vgig2_peg_717	Vmar_0818	COSY_0808	Vsoy1_peg_847	Vsoy2_peg_64	16		Protein trpH
OG0000038	SP60_05860	MS2017_0430	HUE58_RS00875	Rmag_0287	Rpac_peg_422_pseudo, Rpac_peg_428	Rpha_peg_1777	Rpli_peg_171	Rrec_peg_155	Rsou_peg_287	Vdia_peg_710	Vext_peg_699	Vgig1_peg_657	Vgig2_peg_544	Vmar_0273	COSY_0273	Vsoy1_peg_297	Vsoy2_peg_502	17	tatA	Twin-arginine translocation protein TatA
OG0000039	SP60_00085_pseudo, SP60_00090_pseudo	MS2017_1103	HUE58_RS02270	Rmag_0508	Rpac_peg_1400_pseudo	Rpha_peg_256	Rpli_peg_1215	Rrec_peg_1178	Rsou_peg_1824	Vdia_peg_507	Vext_peg_494	Vgig1_peg_461	Vgig2_peg_346	Vmar_0471_pseudo	COSY_0467_pseudo	Vsoy1_peg_497	Vsoy2_peg_696	17		Hypothetical protein
OG0000040	SP60_07635	MS2017_0985	HUE58_RS02730	Rmag_0580	Rpac_peg_1294	Rpha_peg_128	Rpli_peg_618_pseudo, Rpli_peg_619_pseudo	Rrec_peg_1277	Rsou_peg_798	Vdia_peg_440	Vext_peg_427	Vgig1_peg_394	Vgig2_peg_279_pseudo	Vmar_0541	COSY_0535	Vsoy1_peg_565	Vsoy2_peg_764	17	lpxL	Lipid A biosynthesis acyltransferase
OG0000041	SP60_03095	MS2017_0236		Rmag_0961	Rpac_peg_733_pseudo, Rpac_peg_734_pseudo	Rpha_peg_1348	Rpli_peg_962_pseudo, Rpli_peg_963_pseudo	Rrec_peg_526_pseudo	Rsou_peg_1499	Vdia_peg_93	Vext_peg_89	Vgig1_peg_871	Vgig2_peg_758	Vmar_0872	COSY_0862	Vsoy1_peg_902	Vsoy2_peg_118	16	ABC-2.A	ABC transporter, ATP-binding protein
OG0000042	SP60_00655	MS2017_1259	HUE58_RS01705_pseudo	Rmag_0429_pseudo	Rpac_peg_1006_pseudo, Rpac_peg_1007_pseudo	Rpha_peg_422, Rpha_peg_423_pseudo, Rpha_peg_424_pseudo	Rpli_peg_1330_pseudo, Rpli_peg_1331_pseudo, Rpli_peg_1332_pseudo, Rpli_peg_1334_pseudo	Rrec_peg_1051_pseudo, Rrec_peg_1052_pseudo	Rsou_peg_1957_pseudo, Rsou_peg_1958_pseudo, Rsou_peg_1977_pseudo									9		Hypothetical protein
OG0000043	SP60_03795_pseudo	MS2017_2128	HUE58_RS05465	Rmag_1052	Rpac_peg_859	Rpha_peg_915	Rpli_peg_1107	Rrec_peg_665	Rsou_peg_1600	Vdia_peg_4	Vext_peg_1	Vgig1_peg_982_pseudo, Vgig1_peg_983_pseudo	Vgig2_peg_855	Vmar_0956	COSY_0952	Vsoy1_peg_991	Vsoy2_peg_205	17	atpI	FIG048548: ATP synthase protein I2
OG0000044	SP60_06580	MS2017_0623	HUE58_RS03570	Rmag_0724	Rpac_peg_1108	Rpha_peg_603	Rpli_peg_274	Rrec_peg_1480	Rsou_peg_664	Vdia_peg_291_pseudo, Vdia_peg_292_pseudo	Vext_peg_285_pseudo, Vext_peg_286_pseudo	Vgig1_peg_250	Vgig2_peg_138		COSY_0672	Vsoy1_peg_710	Vsoy2_peg_911	16	tolR	Tol biopolymer transport system, TolR protein
OG0000045	SP60_03645	MS2017_2173	HUE58_RS05315	Rmag_1026	Rpac_peg_822	Rpha_peg_870	Rpli_peg_1066	Rrec_peg_626	Rsou_peg_396	Vdia_peg_31	Vext_peg_28	Vgig1_peg_945_pseudo, Vgig1_peg_946_pseudo	Vgig2_peg_830	Vmar_0932	COSY_0928	Vsoy1_peg_964	Vsoy2_peg_179	17	hemE	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)
OG0000046	SP60_02970	MS2017_0281	HUE58_RS04670	Rmag_0933	Rpac_peg_698	Rpha_peg_1401	Rpli_peg_910	Rrec_peg_495	Rsou_peg_1275_pseudo, Rsou_peg_1276_pseudo	Vdia_peg_117_pseudo	Vext_peg_112_pseudo	Vgig1_peg_860	Vgig2_peg_747	Vmar_0848	COSY_0839	Vsoy1_peg_878	Vsoy2_peg_94	17	grxC	Glutaredoxin
