	SUP05	Bathy	R.magnifica	R.fausta	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.soyoae1	V.soyoae2	V.gigas1	V.gigas2	V.okutanii	V.marissinica
14	SP60_00145	MS2017_1169	Rmag_0504	HUE58_RS02215	Rpac_peg_892	Rpha_peg_267	Rpli_peg_1220	Rrec_peg_1160	Rsou_peg_1190	Vdia_peg_512	Vext_peg_499	Vsoy1_peg_492	Vsoy2_peg_691	Vgig1_peg_466	Vgig2_peg_351	COSY_0462	Vmar_0466
15	SP60_00155	MS2017_1173	Rmag_0502	HUE58_RS02205	Rpac_peg_894	Rpha_peg_269	Rpli_peg_1224	Rrec_peg_1158	Rsou_peg_1812	Vdia_peg_513	Vext_peg_500	Vsoy1_peg_491	Vsoy2_peg_690	Vgig1_peg_467	Vgig2_peg_352	COSY_0461	Vmar_0465
18	SP60_00175	MS2017_1176	Rmag_0499	HUE58_RS02190	Rpac_peg_897	Rpha_peg_272	Rpli_peg_1227	Rrec_peg_1155	Rsou_peg_1809	Vdia_peg_517	Vext_peg_504	Vsoy1_peg_489	Vsoy2_peg_688	Vgig1_peg_470	Vgig2_peg_355	COSY_0459	Vmar_0463
19	SP60_00180	MS2017_1177	Rmag_0498	HUE58_RS02185	Rpac_peg_898	Rpha_peg_273	Rpli_peg_1228	Rrec_peg_1154	Rsou_peg_1695	Vdia_peg_518	Vext_peg_505	Vsoy1_peg_488	Vsoy2_peg_687	Vgig1_peg_471	Vgig2_peg_356	COSY_0458	Vmar_0462
21	SP60_00190	MS2017_1191	Rmag_0496	HUE58_RS02175	Rpac_peg_900	Rpha_peg_275	Rpli_peg_1230	Rrec_peg_1152	Rsou_peg_1693	Vdia_peg_520	Vext_peg_507	Vsoy1_peg_486	Vsoy2_peg_685	Vgig1_peg_473	Vgig2_peg_358	COSY_0456	Vmar_0460
22	SP60_00195	MS2017_1192	Rmag_0495	HUE58_RS02170	Rpac_peg_901	Rpha_peg_276	Rpli_peg_1231	Rrec_peg_1151	Rsou_peg_1692	Vdia_peg_521	Vext_peg_508	Vsoy1_peg_485	Vsoy2_peg_684	Vgig1_peg_474	Vgig2_peg_359	COSY_0455	Vmar_0459
24	SP60_00205	MS2017_1194	Rmag_0493	HUE58_RS02160	Rpac_peg_903	Rpha_peg_278	Rpli_peg_1233	Rrec_peg_1149	Rsou_peg_1690	Vdia_peg_522	Vext_peg_509	Vsoy1_peg_484	Vsoy2_peg_683	Vgig1_peg_475	Vgig2_peg_360	COSY_0454	Vmar_0458
25	SP60_00210	MS2017_1217	Rmag_0492	HUE58_RS02155	Rpac_peg_904	Rpha_peg_285	Rpli_peg_1234	Rrec_peg_1148	Rsou_peg_1689	Vdia_peg_523	Vext_peg_510	Vsoy1_peg_483	Vsoy2_peg_682	Vgig1_peg_476	Vgig2_peg_361	COSY_0453	Vmar_0457
26	SP60_00215	MS2017_1218	Rmag_0491	HUE58_RS02150	Rpac_peg_905	Rpha_peg_286	Rpli_peg_1235	Rrec_peg_1147	Rsou_peg_1688	Vdia_peg_524	Vext_peg_511	Vsoy1_peg_482	Vsoy2_peg_681	Vgig1_peg_477	Vgig2_peg_362	COSY_0452	Vmar_0456
27	SP60_00220	MS2017_1219	Rmag_0490	HUE58_RS02145	Rpac_peg_906	Rpha_peg_287	Rpli_peg_1236	Rrec_peg_1146	Rsou_peg_1340	Vdia_peg_525	Vext_peg_512	Vsoy1_peg_481	Vsoy2_peg_680	Vgig1_peg_478	Vgig2_peg_363	COSY_0451	Vmar_0455
29	SP60_00235	MS2017_1222	Rmag_0487	HUE58_RS02130	Rpac_peg_909	Rpha_peg_290	Rpli_peg_1240	Rrec_peg_1143	Rsou_peg_1343	Vdia_peg_526	Vext_peg_514	Vsoy1_peg_479	Vsoy2_peg_678	Vgig1_peg_481	Vgig2_peg_367	COSY_0450	Vmar_0454
30	SP60_00245	MS2017_1238	Rmag_0486	HUE58_RS02125	Rpac_peg_912	Rpha_peg_294	Rpli_peg_1241	Rrec_peg_1142	Rsou_peg_1876	Vdia_peg_527	Vext_peg_515	Vsoy1_peg_478	Vsoy2_peg_677	Vgig1_peg_482	Vgig2_peg_368	COSY_0449	Vmar_0453
31	SP60_00255	MS2017_1240	Rmag_0484	HUE58_RS02115	Rpac_peg_914	Rpha_peg_296	Rpli_peg_1243	Rrec_peg_1140	Rsou_peg_1874	Vdia_peg_529	Vext_peg_517	Vsoy1_peg_476	Vsoy2_peg_675	Vgig1_peg_484	Vgig2_peg_370	COSY_0447	Vmar_0451
33	SP60_00265	MS2017_1242	Rmag_0482	HUE58_RS02105	Rpac_peg_916	Rpha_peg_298	Rpli_peg_1245	Rrec_peg_1138	Rsou_peg_1872	Vdia_peg_531	Vext_peg_519	Vsoy1_peg_474	Vsoy2_peg_673	Vgig1_peg_486	Vgig2_peg_372	COSY_0445	Vmar_0449
38	SP60_00290	MS2017_1247	Rmag_0478	HUE58_RS02080	Rpac_peg_925	Rpha_peg_304	Rpli_peg_1253	Rrec_peg_1131	Rsou_peg_1866	Vdia_peg_535	Vext_peg_523	Vsoy1_peg_470	Vsoy2_peg_669	Vgig1_peg_490	Vgig2_peg_376	COSY_0441	Vmar_0445
39	SP60_00295	MS2017_1248	Rmag_0477	HUE58_RS02075	Rpac_peg_926	Rpha_peg_305	Rpli_peg_1254	Rrec_peg_1130	Rsou_peg_1865	Vdia_peg_536	Vext_peg_524	Vsoy1_peg_469	Vsoy2_peg_668	Vgig1_peg_491	Vgig2_peg_377	COSY_0440	Vmar_0444
40	SP60_00300	MS2017_1249	Rmag_0476	HUE58_RS02070	Rpac_peg_927	Rpha_peg_306	Rpli_peg_1255	Rrec_peg_1129	Rsou_peg_1864	Vdia_peg_537	Vext_peg_525	Vsoy1_peg_468	Vsoy2_peg_667	Vgig1_peg_492	Vgig2_peg_378	COSY_0439	Vmar_0443
41	SP60_00305	MS2017_1250	Rmag_0475	HUE58_RS02065	Rpac_peg_928	Rpha_peg_307	Rpli_peg_1256	Rrec_peg_1128	Rsou_peg_1863	Vdia_peg_538	Vext_peg_526	Vsoy1_peg_467	Vsoy2_peg_666	Vgig1_peg_493	Vgig2_peg_379	COSY_0438	Vmar_0442
42	SP60_00310	MS2017_0853	Rmag_0474	HUE58_RS02055	Rpac_peg_931	Rpha_peg_308	Rpli_peg_1263	Rrec_peg_1126	Rsou_peg_1856	Vdia_peg_539	Vext_peg_527	Vsoy1_peg_466	Vsoy2_peg_665	Vgig1_peg_494	Vgig2_peg_380	COSY_0437	Vmar_0441
43	SP60_00315	MS2017_0852	Rmag_0473	HUE58_RS02050	Rpac_peg_932	Rpha_peg_309	Rpli_peg_1264	Rrec_peg_1125	Rsou_peg_1855	Vdia_peg_540	Vext_peg_528	Vsoy1_peg_465	Vsoy2_peg_664	Vgig1_peg_495	Vgig2_peg_381	COSY_0436	Vmar_0440
44	SP60_00320	MS2017_0851	Rmag_0472	HUE58_RS02045	Rpac_peg_933	Rpha_peg_310	Rpli_peg_1265	Rrec_peg_1124	Rsou_peg_1854	Vdia_peg_541	Vext_peg_529	Vsoy1_peg_464	Vsoy2_peg_663	Vgig1_peg_496	Vgig2_peg_382	COSY_0435	Vmar_0439
46	SP60_00335	MS2017_0848	Rmag_0470	HUE58_RS02030	Rpac_peg_936	Rpha_peg_313	Rpli_peg_1268	Rrec_peg_1121	Rsou_peg_1851	Vdia_peg_543	Vext_peg_531	Vsoy1_peg_462	Vsoy2_peg_661	Vgig1_peg_498	Vgig2_peg_385	COSY_0433	Vmar_0437
47	SP60_00340	MS2017_0847	Rmag_0469	HUE58_RS02025	Rpac_peg_937	Rpha_peg_314	Rpli_peg_1269	Rrec_peg_1120	Rsou_peg_1850	Vdia_peg_544	Vext_peg_532	Vsoy1_peg_461	Vsoy2_peg_660	Vgig1_peg_499	Vgig2_peg_386	COSY_0432	Vmar_0436
50	SP60_00365	MS2017_0844	Rmag_0466	HUE58_RS02005	Rpac_peg_940	Rpha_peg_317	Rpli_peg_1272	Rrec_peg_1117	Rsou_peg_1847	Vdia_peg_545	Vext_peg_533	Vsoy1_peg_459	Vsoy2_peg_658	Vgig1_peg_500	Vgig2_peg_387	COSY_0431	Vmar_0435
56	SP60_00400	MS2017_1145	Rmag_0464	HUE58_RS01980	Rpac_peg_947	Rpha_peg_323	Rpli_peg_1277	Rrec_peg_1112	Rsou_peg_1840	Vdia_peg_546	Vext_peg_534	Vsoy1_peg_457	Vsoy2_peg_656	Vgig1_peg_502	Vgig2_peg_389	COSY_0429	Vmar_0433
57	SP60_00405	MS2017_1146	Rmag_0463	HUE58_RS01975	Rpac_peg_948	Rpha_peg_324	Rpli_peg_1278	Rrec_peg_1111	Rsou_peg_1839	Vdia_peg_547	Vext_peg_535	Vsoy1_peg_456	Vsoy2_peg_655	Vgig1_peg_503	Vgig2_peg_390	COSY_0428	Vmar_0432
58	SP60_00410	MS2017_1147	Rmag_0462	HUE58_RS01970	Rpac_peg_949	Rpha_peg_325	Rpli_peg_1279	Rrec_peg_1110	Rsou_peg_1838	Vdia_peg_548	Vext_peg_536	Vsoy1_peg_455	Vsoy2_peg_654	Vgig1_peg_504	Vgig2_peg_391	COSY_0427	Vmar_0431
60	SP60_00440	MS2017_0896	Rmag_0458	HUE58_RS01875	Rpac_peg_969	Rpha_peg_381	Rpli_peg_1292	Rrec_peg_1084	Rsou_peg_1390	Vdia_peg_550	Vext_peg_538	Vsoy1_peg_452	Vsoy2_peg_651	Vgig1_peg_506	Vgig2_peg_393	COSY_0425	Vmar_0429
61	SP60_00445	MS2017_0895	Rmag_0457	HUE58_RS01870	Rpac_peg_970	Rpha_peg_382	Rpli_peg_1293	Rrec_peg_1083	Rsou_peg_1391	Vdia_peg_551	Vext_peg_539	Vsoy1_peg_451	Vsoy2_peg_650	Vgig1_peg_507	Vgig2_peg_394	COSY_0424	Vmar_0428
62	SP60_00450	MS2017_0894	Rmag_0456	HUE58_RS01865	Rpac_peg_971	Rpha_peg_383	Rpli_peg_1294	Rrec_peg_1082	Rsou_peg_1392	Vdia_peg_552	Vext_peg_540	Vsoy1_peg_450	Vsoy2_peg_649	Vgig1_peg_508	Vgig2_peg_395	COSY_0423	Vmar_0427
64	SP60_00465	MS2017_0892	Rmag_0454	HUE58_RS01855	Rpac_peg_974	Rpha_peg_387	Rpli_peg_1297	Rrec_peg_1080	Rsou_peg_1394	Vdia_peg_554	Vext_peg_542	Vsoy1_peg_448	Vsoy2_peg_647	Vgig1_peg_511	Vgig2_peg_398	COSY_0421	Vmar_0424
66	SP60_00475	MS2017_0890	Rmag_0453	HUE58_RS01845	Rpac_peg_976	Rpha_peg_389	Rpli_peg_1299	Rrec_peg_1078	Rsou_peg_1396	Vdia_peg_556	Vext_peg_544	Vsoy1_peg_446	Vsoy2_peg_645	Vgig1_peg_513	Vgig2_peg_400	COSY_0419	Vmar_0422
67	SP60_00480	MS2017_0889	Rmag_0452	HUE58_RS01840	Rpac_peg_977	Rpha_peg_390	Rpli_peg_1300	Rrec_peg_1077	Rsou_peg_1397	Vdia_peg_557	Vext_peg_545	Vsoy1_peg_445	Vsoy2_peg_644	Vgig1_peg_514	Vgig2_peg_401	COSY_0418	Vmar_0421
68	SP60_00490	MS2017_0877	Rmag_0450	HUE58_RS01830	Rpac_peg_979	Rpha_peg_392	Rpli_peg_1303	Rrec_peg_1076	Rsou_peg_1400	Vdia_peg_559	Vext_peg_547	Vsoy1_peg_443	Vsoy2_peg_642	Vgig1_peg_516	Vgig2_peg_403	COSY_0416	Vmar_0419
69	SP60_00495	MS2017_0876	Rmag_0449	HUE58_RS01825	Rpac_peg_980	Rpha_peg_393	Rpli_peg_1304	Rrec_peg_1075	Rsou_peg_1401	Vdia_peg_560	Vext_peg_548	Vsoy1_peg_442	Vsoy2_peg_641	Vgig1_peg_517	Vgig2_peg_404	COSY_0415	Vmar_0418
70	SP60_00500	MS2017_0874	Rmag_0448	HUE58_RS01820	Rpac_peg_981	Rpha_peg_394	Rpli_peg_1305	Rrec_peg_1074	Rsou_peg_1402	Vdia_peg_561	Vext_peg_549	Vsoy1_peg_441	Vsoy2_peg_640	Vgig1_peg_518	Vgig2_peg_405	COSY_0414	Vmar_0417
71	SP60_00505	MS2017_0873	Rmag_0447	HUE58_RS01815	Rpac_peg_982	Rpha_peg_395	Rpli_peg_1306	Rrec_peg_1073	Rsou_peg_1403	Vdia_peg_562	Vext_peg_550	Vsoy1_peg_440	Vsoy2_peg_639	Vgig1_peg_519	Vgig2_peg_406	COSY_0413	Vmar_0416
73	SP60_00515	MS2017_0871	Rmag_0445	HUE58_RS01805	Rpac_peg_985	Rpha_peg_397	Rpli_peg_1308	Rrec_peg_1071	Rsou_peg_1405	Vdia_peg_564	Vext_peg_552	Vsoy1_peg_438	Vsoy2_peg_637	Vgig1_peg_521	Vgig2_peg_408	COSY_0411	Vmar_0414
76	SP60_00550	MS2017_0858	Rmag_0438	HUE58_RS01770	Rpac_peg_995	Rpha_peg_408	Rpli_peg_1320	Rrec_peg_1064	Rsou_peg_1418	Vdia_peg_569	Vext_peg_557	Vsoy1_peg_434	Vsoy2_peg_633	Vgig1_peg_526	Vgig2_peg_411	COSY_0408	Vmar_0408
77	SP60_00555	MS2017_0857	Rmag_0437	HUE58_RS01765	Rpac_peg_996	Rpha_peg_409	Rpli_peg_1321	Rrec_peg_1063	Rsou_peg_1419	Vdia_peg_570	Vext_peg_558	Vsoy1_peg_433	Vsoy2_peg_632	Vgig1_peg_527	Vgig2_peg_412	COSY_0407	Vmar_0407
79	SP60_00565	MS2017_0855	Rmag_0435	HUE58_RS01755	Rpac_peg_998	Rpha_peg_412	Rpli_peg_1323	Rrec_peg_1061	Rsou_peg_1422	Vdia_peg_572	Vext_peg_560	Vsoy1_peg_431	Vsoy2_peg_630	Vgig1_peg_529	Vgig2_peg_414	COSY_0405	Vmar_0404
80	SP60_00570	MS2017_0854	Rmag_0434	HUE58_RS01750	Rpac_peg_999	Rpha_peg_413	Rpli_peg_1324	Rrec_peg_1060	Rsou_peg_1423	Vdia_peg_573	Vext_peg_561	Vsoy1_peg_430	Vsoy2_peg_629	Vgig1_peg_530	Vgig2_peg_415	COSY_0404	Vmar_0403
81	SP60_00575	MS2017_1251	Rmag_0433	HUE58_RS01745	Rpac_peg_1000	Rpha_peg_414	Rpli_peg_1325	Rrec_peg_1059	Rsou_peg_1424	Vdia_peg_574	Vext_peg_562	Vsoy1_peg_429	Vsoy2_peg_628	Vgig1_peg_531	Vgig2_peg_416	COSY_0403	Vmar_0402
82	SP60_00605	MS2017_R022	Rmag_R0019	HUE58_RS01730	Rpac_rna_27	Rpha_rna_4	Rpli_rna_25	Rrec_rna_34	Rsou_rna_39	Vdia_rna_19	Vext_rna_20	Vsoy1_rna_20	Vsoy2_rna_31	Vgig1_rna_17	Vgig2_rna_13	COSY_R0018	Vmar_R0019
83	SP60_00610	MS2017_1256	Rmag_0432	HUE58_RS01725	Rpac_peg_1002	Rpha_peg_418	Rpli_peg_1326	Rrec_peg_1055	Rsou_peg_1980	Vdia_peg_575	Vext_peg_563	Vsoy1_peg_428	Vsoy2_peg_627	Vgig1_peg_532	Vgig2_peg_417	COSY_0401	Vmar_0401
84	SP60_00630	MS2017_R023	Rmag_R0018	HUE58_RS01720	Rpac_rna_28	Rpha_rna_5	Rpli_rna_26	Rrec_rna_33	Rsou_rna_38	Vdia_rna_20	Vext_rna_21	Vsoy1_rna_19	Vsoy2_rna_30	Vgig1_rna_18	Vgig2_rna_14	COSY_R0017	Vmar_R0018
85	SP60_00650	MS2017_1258	Rmag_0430	HUE58_RS01710	Rpac_peg_1005	Rpha_peg_421	Rpli_peg_1329	Rrec_peg_1053	Rsou_peg_1978	Vdia_peg_576	Vext_peg_564	Vsoy1_peg_427	Vsoy2_peg_626	Vgig1_peg_533	Vgig2_peg_418	COSY_0399	Vmar_0399
89	SP60_00675	MS2017_1266	Rmag_0425	HUE58_RS01695	Rpac_peg_1013	Rpha_peg_428	Rpli_peg_1338	Rrec_peg_1047	Rsou_peg_386	Vdia_peg_582	Vext_peg_570	Vsoy1_peg_422	Vsoy2_peg_621	Vgig1_peg_540	Vgig2_peg_425	COSY_0396	Vmar_0394
90	SP60_00715	MS2017_R024	Rmag_R0017	HUE58_RS01660	Rpac_rna_29	Rpha_rna_6	Rpli_rna_27	Rrec_rna_32	Rsou_rna_4	Vdia_rna_21	Vext_rna_22	Vsoy1_rna_18	Vsoy2_rna_29	Vgig1_rna_19	Vgig2_rna_15	COSY_R0016	Vmar_R0017
91	SP60_00740	MS2017_1392	Rmag_0423	HUE58_RS01645	Rpac_peg_1407	Rpha_peg_451	Rpli_peg_1651	Rrec_peg_1035	Rsou_peg_628	Vdia_peg_585	Vext_peg_573	Vsoy1_peg_419	Vsoy2_peg_618	Vgig1_peg_543	Vgig2_peg_428	COSY_0392	Vmar_0390
93	SP60_00755	MS2017_1395	Rmag_0421	HUE58_RS01630	Rpac_peg_1415	Rpha_peg_460	Rpli_peg_1648	Rrec_peg_1027	Rsou_peg_631	Vdia_peg_589	Vext_peg_577	Vsoy1_peg_416	Vsoy2_peg_616	Vgig1_peg_545	Vgig2_peg_430	COSY_0390	Vmar_0388
95	SP60_00765	MS2017_1397	Rmag_0419	HUE58_RS01620	Rpac_peg_1417	Rpha_peg_462	Rpli_peg_1646	Rrec_peg_1025	Rsou_peg_633	Vdia_peg_591	Vext_peg_579	Vsoy1_peg_414	Vsoy2_peg_614	Vgig1_peg_547	Vgig2_peg_432	COSY_0388	Vmar_0386
96	SP60_00775	MS2017_1398	Rmag_0417	HUE58_RS01610	Rpac_peg_1419	Rpha_peg_464	Rpli_peg_1644	Rrec_peg_1023	Rsou_peg_635	Vdia_peg_593	Vext_peg_581	Vsoy1_peg_412	Vsoy2_peg_612	Vgig1_peg_549	Vgig2_peg_434	COSY_0386	Vmar_0384
97	SP60_00780	MS2017_1399	Rmag_0416	HUE58_RS01605	Rpac_peg_1420	Rpha_peg_465	Rpli_peg_1643	Rrec_peg_1022	Rsou_peg_636	Vdia_peg_594	Vext_peg_582	Vsoy1_peg_411	Vsoy2_peg_611	Vgig1_peg_550	Vgig2_peg_435	COSY_0385	Vmar_0383
98	SP60_00785	MS2017_1406	Rmag_0415	HUE58_RS01600	Rpac_peg_1421	Rpha_peg_466	Rpli_peg_1642	Rrec_peg_1021	Rsou_peg_637	Vdia_peg_595	Vext_peg_583	Vsoy1_peg_410	Vsoy2_peg_610	Vgig1_peg_551	Vgig2_peg_436	COSY_0384	Vmar_0382
99	SP60_00790	MS2017_1407	Rmag_0414	HUE58_RS01595	Rpac_peg_1422	Rpha_peg_467	Rpli_peg_1641	Rrec_peg_1020	Rsou_peg_638	Vdia_peg_596	Vext_peg_584	Vsoy1_peg_409	Vsoy2_peg_609	Vgig1_peg_552	Vgig2_peg_437	COSY_0383	Vmar_0381
100	SP60_00795	MS2017_1411	Rmag_0413	HUE58_RS01590	Rpac_peg_1423	Rpha_peg_476	Rpli_peg_1640	Rrec_peg_1019	Rsou_peg_640	Vdia_peg_597	Vext_peg_585	Vsoy1_peg_408	Vsoy2_peg_608	Vgig1_peg_553	Vgig2_peg_438	COSY_0382	Vmar_0380
101	SP60_00805	MS2017_1413	Rmag_0411	HUE58_RS01580	Rpac_peg_1425	Rpha_peg_478	Rpli_peg_1638	Rrec_peg_1017	Rsou_peg_642	Vdia_peg_599	Vext_peg_587	Vsoy1_peg_406	Vsoy2_peg_606	Vgig1_peg_555	Vgig2_peg_440	COSY_0380	Vmar_0378
102	SP60_00820	MS2017_1423	Rmag_0410	HUE58_RS01575	Rpac_peg_1426	Rpha_peg_479	Rpli_peg_1637	Rrec_peg_1016	Rsou_peg_643	Vdia_peg_600	Vext_peg_588	Vsoy1_peg_405	Vsoy2_peg_605	Vgig1_peg_556	Vgig2_peg_441	COSY_0379	Vmar_0377
103	SP60_00825	MS2017_1424	Rmag_0409	HUE58_RS01570	Rpac_peg_1427	Rpha_peg_480	Rpli_peg_1636	Rrec_peg_1015	Rsou_peg_644	Vdia_peg_601	Vext_peg_589	Vsoy1_peg_404	Vsoy2_peg_604	Vgig1_peg_557	Vgig2_peg_442	COSY_0378	Vmar_0376
109	SP60_00910	MS2017_1431	Rmag_0404	HUE58_RS01530	Rpac_peg_1435	Rpha_peg_497	Rpli_peg_1630	Rrec_peg_1007	Rsou_peg_1728	Vdia_peg_605	Vext_peg_593	Vsoy1_peg_397	Vsoy2_peg_600	Vgig1_peg_560	Vgig2_peg_445	COSY_0375	Vmar_0372
110	SP60_00980	MS2017_1437	Rmag_0398	HUE58_RS01475	Rpac_peg_1448	Rpha_peg_510	Rpli_peg_1622	Rrec_peg_993	Rsou_peg_1721	Vdia_peg_608	Vext_peg_596	Vsoy1_peg_394	Vsoy2_peg_597	Vgig1_peg_563	Vgig2_peg_448	COSY_0369	Vmar_0369
111	SP60_00985	MS2017_1438	Rmag_0397	HUE58_RS01470	Rpac_peg_1449	Rpha_peg_511	Rpli_peg_1621	Rrec_peg_992	Rsou_peg_1720	Vdia_peg_609	Vext_peg_597	Vsoy1_peg_393	Vsoy2_peg_596	Vgig1_peg_564	Vgig2_peg_449	COSY_0368	Vmar_0368
112	SP60_00990	MS2017_1439	Rmag_0396	HUE58_RS01465	Rpac_peg_1450	Rpha_peg_512	Rpli_peg_1620	Rrec_peg_991	Rsou_peg_1719	Vdia_peg_610	Vext_peg_598	Vsoy1_peg_392	Vsoy2_peg_595	Vgig1_peg_565	Vgig2_peg_450	COSY_0367	Vmar_0367
113	SP60_00995	MS2017_1442	Rmag_0395	HUE58_RS01460	Rpac_peg_1451	Rpha_peg_513	Rpli_peg_1618	Rrec_peg_990	Rsou_peg_1718	Vdia_peg_611	Vext_peg_599	Vsoy1_peg_391	Vsoy2_peg_594	Vgig1_peg_566	Vgig2_peg_451	COSY_0366	Vmar_0366
114	SP60_01000	MS2017_1443	Rmag_0394	HUE58_RS01455	Rpac_peg_1452	Rpha_peg_514	Rpli_peg_1617	Rrec_peg_989	Rsou_peg_1717	Vdia_peg_612	Vext_peg_600	Vsoy1_peg_390	Vsoy2_peg_593	Vgig1_peg_567	Vgig2_peg_452	COSY_0365	Vmar_0365
115	SP60_01005	MS2017_1444	Rmag_0392	HUE58_RS01445	Rpac_peg_1455	Rpha_peg_515	Rpli_peg_1614	Rrec_peg_986	Rsou_peg_1716	Vdia_peg_613	Vext_peg_601	Vsoy1_peg_389	Vsoy2_peg_592	Vgig1_peg_568	Vgig2_peg_453	COSY_0364	Vmar_0364
117	SP60_01025	MS2017_1447	Rmag_0389	HUE58_RS01420	Rpac_peg_558	Rpha_peg_521	Rpli_peg_741	Rrec_peg_39	Rsou_peg_1973	Vdia_peg_614	Vext_peg_602	Vsoy1_peg_388	Vsoy2_peg_591	Vgig1_peg_569	Vgig2_peg_454	COSY_0363	Vmar_0363
118	SP60_01030	MS2017_1461	Rmag_0388	HUE58_RS01415	Rpac_peg_557	Rpha_peg_522	Rpli_peg_740	Rrec_peg_40	Rsou_peg_1972	Vdia_peg_615	Vext_peg_603	Vsoy1_peg_387	Vsoy2_peg_590	Vgig1_peg_570	Vgig2_peg_455	COSY_0362	Vmar_0362
119	SP60_01045	MS2017_1463	Rmag_0386	HUE58_RS01405	Rpac_peg_555	Rpha_peg_524	Rpli_peg_738	Rrec_peg_42	Rsou_peg_1970	Vdia_peg_617	Vext_peg_605	Vsoy1_peg_385	Vsoy2_peg_588	Vgig1_peg_572	Vgig2_peg_457	COSY_0360	Vmar_0360
120	SP60_01050	MS2017_1464	Rmag_0385	HUE58_RS01400	Rpac_peg_554	Rpha_peg_525	Rpli_peg_737	Rrec_peg_43	Rsou_peg_1969	Vdia_peg_618	Vext_peg_606	Vsoy1_peg_384	Vsoy2_peg_587	Vgig1_peg_573	Vgig2_peg_458	COSY_0359	Vmar_0359
