SUP05	Bathy	R.magnifica	R.fausta	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.soyoae1	V.soyoae2	V.gigas1	V.gigas2	V.okutanii	V.marissinica	Bathysepcomplete_AP013042	Bathyther_MIQH01	Bathyazo_CAESAP02	Sponge_JYIN01	ThioNP1complete_CP023860	ThiosingularisPS1complete_CP006911	Thioautotrophicus_DQLA01	Thioperditus_PNQY01	Thiopontius_JACNGB01
SP60_00235	MS2017_1222	Rmag_0487	HUE58_RS02130	Rpac_peg_909	Rpha_peg_290	Rpli_peg_1240	Rrec_peg_1143	Rsou_peg_1343	Vdia_peg_526	Vext_peg_514	Vsoy1_peg_479	Vsoy2_peg_678	Vgig1_peg_481	Vgig2_peg_367	COSY_0450	Vmar_0454	BSEPE_0970	BGC33_15205	AZO1586R_1597	Gsub_0954	CRN91_06340	W908_03960	EYG05_08010	Tper_0903	H8D41_03525
SP60_00255	MS2017_1240	Rmag_0484	HUE58_RS02115	Rpac_peg_914	Rpha_peg_296	Rpli_peg_1243	Rrec_peg_1140	Rsou_peg_1874	Vdia_peg_529	Vext_peg_517	Vsoy1_peg_476	Vsoy2_peg_675	Vgig1_peg_484	Vgig2_peg_370	COSY_0447	Vmar_0451	BSEPE_0734	BGC33_15120	AZO1586R_2327	Gsub_0619	CRN91_06410	W908_03885	EYG05_01640	Tper_0899	H8D41_03545
SP60_00265	MS2017_1242	Rmag_0482	HUE58_RS02105	Rpac_peg_916	Rpha_peg_298	Rpli_peg_1245	Rrec_peg_1138	Rsou_peg_1872	Vdia_peg_531	Vext_peg_519	Vsoy1_peg_474	Vsoy2_peg_673	Vgig1_peg_486	Vgig2_peg_372	COSY_0445	Vmar_0449	BSEPE_0732	BGC33_15110	AZO1586R_2329	Gsub_0621	CRN91_06420	W908_03875	EYG05_01650	Tper_0897	H8D41_03555
SP60_00300	MS2017_1249	Rmag_0476	HUE58_RS02070	Rpac_peg_927	Rpha_peg_306	Rpli_peg_1255	Rrec_peg_1129	Rsou_peg_1864	Vdia_peg_537	Vext_peg_525	Vsoy1_peg_468	Vsoy2_peg_667	Vgig1_peg_492	Vgig2_peg_378	COSY_0439	Vmar_0443	BSEPE_0725	BGC33_15075	AZO1586R_2337	Gsub_0627	CRN91_06455	W908_03840	EYG05_07530	Tper_0890	H8D41_03590
SP60_00310	MS2017_0853	Rmag_0474	HUE58_RS02055	Rpac_peg_931	Rpha_peg_308	Rpli_peg_1263	Rrec_peg_1126	Rsou_peg_1856	Vdia_peg_539	Vext_peg_527	Vsoy1_peg_466	Vsoy2_peg_665	Vgig1_peg_494	Vgig2_peg_380	COSY_0437	Vmar_0441	BSEPE_0552	BGC33_12170	AZO1586R_844	Gsub_1065	CRN91_06465	W908_03830	EYG05_07540	Tper_0888	H8D41_03600
SP60_00320	MS2017_0851	Rmag_0472	HUE58_RS02045	Rpac_peg_933	Rpha_peg_310	Rpli_peg_1265	Rrec_peg_1124	Rsou_peg_1854	Vdia_peg_541	Vext_peg_529	Vsoy1_peg_464	Vsoy2_peg_663	Vgig1_peg_496	Vgig2_peg_382	COSY_0435	Vmar_0439	BSEPE_0545	BGC33_12180	AZO1586R_487	Gsub_0435	CRN91_06470	W908_03825	EYG05_07550	Tper_0886	H8D41_03610
SP60_00335	MS2017_0848	Rmag_0470	HUE58_RS02030	Rpac_peg_936	Rpha_peg_313	Rpli_peg_1268	Rrec_peg_1121	Rsou_peg_1851	Vdia_peg_543	Vext_peg_531	Vsoy1_peg_462	Vsoy2_peg_661	Vgig1_peg_498	Vgig2_peg_385	COSY_0433	Vmar_0437	BSEPE_0542	BGC33_12195	AZO1586R_484	Gsub_0438	CRN91_06480	W908_03815	EYG05_07565	Tper_0883	H8D41_03625
SP60_00400	MS2017_1145	Rmag_0464	HUE58_RS01980	Rpac_peg_947	Rpha_peg_323	Rpli_peg_1277	Rrec_peg_1112	Rsou_peg_1840	Vdia_peg_546	Vext_peg_534	Vsoy1_peg_457	Vsoy2_peg_656	Vgig1_peg_502	Vgig2_peg_389	COSY_0429	Vmar_0433	BSEPE_0532	BGC33_15250	AZO1586R_861	Gsub_0445	CRN91_06510	W908_03770	EYG05_07640	Tper_0870	H8D41_05760
SP60_00440	MS2017_0896	Rmag_0458	HUE58_RS01875	Rpac_peg_969	Rpha_peg_381	Rpli_peg_1292	Rrec_peg_1084	Rsou_peg_1390	Vdia_peg_550	Vext_peg_538	Vsoy1_peg_452	Vsoy2_peg_651	Vgig1_peg_506	Vgig2_peg_393	COSY_0425	Vmar_0429	BSEPE_0828	BGC33_11605	AZO1586R_986	Gsub_0829	CRN91_06620	W908_03715	EYG05_07460	Tper_1150	H8D41_05795
SP60_00465	MS2017_0892	Rmag_0454	HUE58_RS01855	Rpac_peg_974	Rpha_peg_387	Rpli_peg_1297	Rrec_peg_1080	Rsou_peg_1394	Vdia_peg_554	Vext_peg_542	Vsoy1_peg_448	Vsoy2_peg_647	Vgig1_peg_511	Vgig2_peg_398	COSY_0421	Vmar_0424	BSEPE_0824	BGC33_11625	AZO1586R_1116	Gsub_0432	CRN91_06665	W908_03605	EYG05_06160	Tper_0923	H8D41_04745
SP60_00480	MS2017_0889	Rmag_0452	HUE58_RS01840	Rpac_peg_977	Rpha_peg_390	Rpli_peg_1300	Rrec_peg_1077	Rsou_peg_1397	Vdia_peg_557	Vext_peg_545	Vsoy1_peg_445	Vsoy2_peg_644	Vgig1_peg_514	Vgig2_peg_401	COSY_0418	Vmar_0421	BSEPE_0821	BGC33_11640	AZO1586R_1113	Gsub_0429	CRN91_06675	W908_03595	EYG05_06175	Tper_0926	H8D41_04730
SP60_00495	MS2017_0876	Rmag_0449	HUE58_RS01825	Rpac_peg_980	Rpha_peg_393	Rpli_peg_1304	Rrec_peg_1075	Rsou_peg_1401	Vdia_peg_560	Vext_peg_548	Vsoy1_peg_442	Vsoy2_peg_641	Vgig1_peg_517	Vgig2_peg_404	COSY_0415	Vmar_0418	BSEPE_0569	BGC33_09380	AZO1586R_1110	Gsub_1425	CRN91_06690	W908_03580	EYG05_06190	Tper_0929	H8D41_04715
SP60_00500	MS2017_0874	Rmag_0448	HUE58_RS01820	Rpac_peg_981	Rpha_peg_394	Rpli_peg_1305	Rrec_peg_1074	Rsou_peg_1402	Vdia_peg_561	Vext_peg_549	Vsoy1_peg_441	Vsoy2_peg_640	Vgig1_peg_518	Vgig2_peg_405	COSY_0414	Vmar_0417	BSEPE_0568	BGC33_09385	AZO1586R_1109	Gsub_1426	CRN91_06695	W908_03575	EYG05_06195	Tper_0930	H8D41_04710
SP60_00505	MS2017_0873	Rmag_0447	HUE58_RS01815	Rpac_peg_982	Rpha_peg_395	Rpli_peg_1306	Rrec_peg_1073	Rsou_peg_1403	Vdia_peg_562	Vext_peg_550	Vsoy1_peg_440	Vsoy2_peg_639	Vgig1_peg_519	Vgig2_peg_406	COSY_0413	Vmar_0416	BSEPE_0567	BGC33_09390	AZO1586R_1108	Gsub_1427	CRN91_06700	W908_03570	EYG05_06200	Tper_0931	H8D41_04705
SP60_00555	MS2017_0857	Rmag_0437	HUE58_RS01765	Rpac_peg_996	Rpha_peg_409	Rpli_peg_1321	Rrec_peg_1063	Rsou_peg_1419	Vdia_peg_570	Vext_peg_558	Vsoy1_peg_433	Vsoy2_peg_632	Vgig1_peg_527	Vgig2_peg_412	COSY_0407	Vmar_0407	BSEPE_0556	BGC33_12150	AZO1586R_1097	Gsub_0484	CRN91_06750	W908_03520	EYG05_06250	Tper_0941	H8D41_00380
SP60_00565	MS2017_0855	Rmag_0435	HUE58_RS01755	Rpac_peg_998	Rpha_peg_412	Rpli_peg_1323	Rrec_peg_1061	Rsou_peg_1422	Vdia_peg_572	Vext_peg_560	Vsoy1_peg_431	Vsoy2_peg_630	Vgig1_peg_529	Vgig2_peg_414	COSY_0405	Vmar_0404	BSEPE_0554	BGC33_12160	AZO1586R_1095	Gsub_0486	CRN91_06760	W908_03510	EYG05_06260	Tper_0944	H8D41_00370
SP60_00675	MS2017_1266	Rmag_0425	HUE58_RS01695	Rpac_peg_1013	Rpha_peg_428	Rpli_peg_1338	Rrec_peg_1047	Rsou_peg_386	Vdia_peg_582	Vext_peg_570	Vsoy1_peg_422	Vsoy2_peg_621	Vgig1_peg_540	Vgig2_peg_425	COSY_0396	Vmar_0394	BSEPE_0712	BGC33_06005	AZO1586R_253	Gsub_1406	CRN91_06845	W908_03370	EYG05_05495	Tper_0186	H8D41_00280
SP60_00780	MS2017_1399	Rmag_0416	HUE58_RS01605	Rpac_peg_1420	Rpha_peg_465	Rpli_peg_1643	Rrec_peg_1022	Rsou_peg_636	Vdia_peg_594	Vext_peg_582	Vsoy1_peg_411	Vsoy2_peg_611	Vgig1_peg_550	Vgig2_peg_435	COSY_0385	Vmar_0383	BSEPE_0752	BGC33_07710	AZO1586R_625	Gsub_0034	CRN91_07085	W908_03065	EYG05_03900	Tper_0832	H8D41_05855
SP60_00785	MS2017_1406	Rmag_0415	HUE58_RS01600	Rpac_peg_1421	Rpha_peg_466	Rpli_peg_1642	Rrec_peg_1021	Rsou_peg_637	Vdia_peg_595	Vext_peg_583	Vsoy1_peg_410	Vsoy2_peg_610	Vgig1_peg_551	Vgig2_peg_436	COSY_0384	Vmar_0382	BSEPE_0751	BGC33_12960	AZO1586R_627	Gsub_0033	CRN91_07090	W908_03060	EYG05_03905	Tper_0833	H8D41_05865
SP60_00790	MS2017_1407	Rmag_0414	HUE58_RS01595	Rpac_peg_1422	Rpha_peg_467	Rpli_peg_1641	Rrec_peg_1020	Rsou_peg_638	Vdia_peg_596	Vext_peg_584	Vsoy1_peg_409	Vsoy2_peg_609	Vgig1_peg_552	Vgig2_peg_437	COSY_0383	Vmar_0381	BSEPE_0750	BGC33_12955	AZO1586R_628	Gsub_0032	CRN91_07095	W908_03055	EYG05_03910	Tper_0834	H8D41_05870
SP60_00825	MS2017_1424	Rmag_0409	HUE58_RS01570	Rpac_peg_1427	Rpha_peg_480	Rpli_peg_1636	Rrec_peg_1015	Rsou_peg_644	Vdia_peg_601	Vext_peg_589	Vsoy1_peg_404	Vsoy2_peg_604	Vgig1_peg_557	Vgig2_peg_442	COSY_0378	Vmar_0376	BSEPE_0976	BGC33_09945	AZO1586R_1782	Gsub_0192	CRN91_07120	W908_03030	EYG05_04225	Tper_0839	H8D41_06655
SP60_01025	MS2017_1447	Rmag_0389	HUE58_RS01420	Rpac_peg_558	Rpha_peg_521	Rpli_peg_741	Rrec_peg_39	Rsou_peg_1973	Vdia_peg_614	Vext_peg_602	Vsoy1_peg_388	Vsoy2_peg_591	Vgig1_peg_569	Vgig2_peg_454	COSY_0363	Vmar_0363	BSEPE_0995	BGC33_11210	AZO1586R_1557	Gsub_0777	CRN91_07235	W908_02900	EYG05_00700	Tper_0720	H8D41_02905
SP60_01030	MS2017_1461	Rmag_0388	HUE58_RS01415	Rpac_peg_557	Rpha_peg_522	Rpli_peg_740	Rrec_peg_40	Rsou_peg_1972	Vdia_peg_615	Vext_peg_603	Vsoy1_peg_387	Vsoy2_peg_590	Vgig1_peg_570	Vgig2_peg_455	COSY_0362	Vmar_0362	BSEPE_0996	BGC33_14440	AZO1586R_1556	Gsub_0776	CRN91_07240	W908_02895	EYG05_00695	Tper_0719	H8D41_02900
SP60_01055	MS2017_1465	Rmag_0384	HUE58_RS01395	Rpac_peg_553	Rpha_peg_526	Rpli_peg_736	Rrec_peg_44	Rsou_peg_2006	Vdia_peg_619	Vext_peg_607	Vsoy1_peg_383	Vsoy2_peg_586	Vgig1_peg_574	Vgig2_peg_459	COSY_0358	Vmar_0358	BSEPE_1000	BGC33_14420	AZO1586R_1552	Gsub_0772	CRN91_07260	W908_02875	EYG05_00675	Tper_0715	H8D41_02880
SP60_01065	MS2017_1467	Rmag_0382	HUE58_RS01385	Rpac_peg_551	Rpha_peg_528	Rpli_peg_734	Rrec_peg_46	Rsou_peg_2008	Vdia_peg_621	Vext_peg_609	Vsoy1_peg_381	Vsoy2_peg_584	Vgig1_peg_576	Vgig2_peg_461	COSY_0356	Vmar_0356	BSEPE_1002	BGC33_14410	AZO1586R_1550	Gsub_0770	CRN91_07270	W908_02865	EYG05_00665	Tper_0713	H8D41_02870
SP60_01080	MS2017_1469	Rmag_0379	HUE58_RS01370	Rpac_peg_548	Rpha_peg_531	Rpli_peg_731	Rrec_peg_49	Rsou_peg_2011	Vdia_peg_623	Vext_peg_612	Vsoy1_peg_379	Vsoy2_peg_582	Vgig1_peg_578	Vgig2_peg_463	COSY_0354	Vmar_0354	BSEPE_1004	BGC33_14400	AZO1586R_1548	Gsub_1052	CRN91_07295	W908_02840	EYG05_00655	Tper_0710	H8D41_02860
SP60_01085	MS2017_1470	Rmag_0378	HUE58_RS01365	Rpac_peg_547	Rpha_peg_532	Rpli_peg_730	Rrec_peg_50	Rsou_peg_2012	Vdia_peg_624	Vext_peg_613	Vsoy1_peg_378	Vsoy2_peg_581	Vgig1_peg_579	Vgig2_peg_464	COSY_0353	Vmar_0353	BSEPE_1005	BGC33_14395	AZO1586R_1547	Gsub_1053	CRN91_07300	W908_02835	EYG05_00650	Tper_0709	H8D41_02855
SP60_01130	MS2017_1480	Rmag_0373	HUE58_RS01355	Rpac_peg_544	Rpha_peg_544	Rpli_peg_724	Rrec_peg_54	Rsou_peg_2018	Vdia_peg_626	Vext_peg_615	Vsoy1_peg_376	Vsoy2_peg_579	Vgig1_peg_581	Vgig2_peg_466	COSY_0351	Vmar_0351	BSEPE_1014	BGC33_14345	AZO1586R_1608	Gsub_1060	CRN91_07315	W908_02815	EYG05_02045	Tper_0700	H8D41_02810
SP60_01135	MS2017_1481	Rmag_0372	HUE58_RS01350	Rpac_peg_543	Rpha_peg_545	Rpli_peg_723	Rrec_peg_55	Rsou_peg_2019	Vdia_peg_627	Vext_peg_616	Vsoy1_peg_375	Vsoy2_peg_578	Vgig1_peg_582	Vgig2_peg_467	COSY_0350	Vmar_0350	BSEPE_1015	BGC33_14340	AZO1586R_1609	Gsub_1061	CRN91_07320	W908_02810	EYG05_02040	Tper_0699	H8D41_02805
SP60_01140	MS2017_1486	Rmag_0371	HUE58_RS01345	Rpac_peg_542	Rpha_peg_546	Rpli_peg_722	Rrec_peg_56	Rsou_peg_2020	Vdia_peg_628	Vext_peg_617	Vsoy1_peg_374	Vsoy2_peg_577	Vgig1_peg_583	Vgig2_peg_468	COSY_0349	Vmar_0349	BSEPE_1016	BGC33_14315	AZO1586R_1611	Gsub_1062	CRN91_07325	W908_02805	EYG05_02035	Tper_0698	H8D41_02800
SP60_01155	MS2017_1489	Rmag_0368	HUE58_RS01320	Rpac_peg_534	Rpha_peg_558	Rpli_peg_706	Rrec_peg_61	Rsou_peg_2032	Vdia_peg_632	Vext_peg_621	Vsoy1_peg_369	Vsoy2_peg_572	Vgig1_peg_587	Vgig2_peg_475	COSY_0335	Vmar_0345	BSEPE_1019	BGC33_14300	AZO1586R_1614	Gsub_1003	CRN91_07340	W908_02790	EYG05_04625	Tper_0695	H8D41_02785
SP60_01160	MS2017_1496	Rmag_0367	HUE58_RS01315	Rpac_peg_533	Rpha_peg_559	Rpli_peg_705	Rrec_peg_62	Rsou_peg_2033	Vdia_peg_633	Vext_peg_622	Vsoy1_peg_368	Vsoy2_peg_571	Vgig1_peg_588	Vgig2_peg_476	COSY_0336	Vmar_0344	BSEPE_1020	BGC33_13405	AZO1586R_1625	Gsub_1005	CRN91_07345	W908_02785	EYG05_04630	Tper_0694	H8D41_02780
SP60_01165	MS2017_1497	Rmag_0366	HUE58_RS01310	Rpac_peg_532	Rpha_peg_560	Rpli_peg_704	Rrec_peg_63	Rsou_peg_2034	Vdia_peg_634	Vext_peg_623	Vsoy1_peg_367	Vsoy2_peg_570	Vgig1_peg_589	Vgig2_peg_477	COSY_0337	Vmar_0343	BSEPE_1021	BGC33_13400	AZO1586R_1624	Gsub_1006	CRN91_07350	W908_02780	EYG05_04635	Tper_0693	H8D41_02775
SP60_01170	MS2017_1498	Rmag_0365	HUE58_RS01305	Rpac_peg_531	Rpha_peg_561	Rpli_peg_703	Rrec_peg_64	Rsou_peg_2035	Vdia_peg_635	Vext_peg_624	Vsoy1_peg_366	Vsoy2_peg_569	Vgig1_peg_590	Vgig2_peg_478	COSY_0338	Vmar_0342	BSEPE_1022	BGC33_13395	AZO1586R_1623	Gsub_1007	CRN91_07355	W908_02775	EYG05_04640	Tper_0692	H8D41_02770
SP60_01180	MS2017_1505	Rmag_0363	HUE58_RS01295	Rpac_peg_529	Rpha_peg_563	Rpli_peg_701	Rrec_peg_66	Rsou_peg_2037	Vdia_peg_637	Vext_peg_626	Vsoy1_peg_364	Vsoy2_peg_567	Vgig1_peg_592	Vgig2_peg_480	COSY_0340	Vmar_0340	BSEPE_1036	BGC33_13360	AZO1586R_1396	Gsub_1097	CRN91_04155	W908_06205	EYG05_04650	Tper_0690	H8D41_02760
SP60_01185	MS2017_1506	Rmag_0362	HUE58_RS01290	Rpac_peg_528	Rpha_peg_564	Rpli_peg_700	Rrec_peg_67	Rsou_peg_2038	Vdia_peg_638	Vext_peg_627	Vsoy1_peg_363	Vsoy2_peg_566	Vgig1_peg_593	Vgig2_peg_481	COSY_0341	Vmar_0339	BSEPE_1037	BGC33_13355	AZO1586R_1395	Gsub_1096	CRN91_04150	W908_06210	EYG05_04655	Tper_0689	H8D41_02755
SP60_01190	MS2017_1507	Rmag_0361	HUE58_RS01285	Rpac_peg_527	Rpha_peg_565	Rpli_peg_699	Rrec_peg_68	Rsou_peg_2039	Vdia_peg_639	Vext_peg_628	Vsoy1_peg_362	Vsoy2_peg_565	Vgig1_peg_594	Vgig2_peg_482	COSY_0342	Vmar_0338	BSEPE_1038	BGC33_13350	AZO1586R_1394	Gsub_1095	CRN91_04145	W908_06215	EYG05_04660	Tper_0688	H8D41_02750
SP60_01210	MS2017_1516	Rmag_0354	HUE58_RS01265	Rpac_peg_522	Rpha_peg_1645	Rpli_peg_683	Rrec_peg_73	Rsou_peg_1290	Vdia_peg_643	Vext_peg_632	Vsoy1_peg_359	Vsoy2_peg_563	Vgig1_peg_596	Vgig2_peg_484	COSY_0345	Vmar_0335	BSEPE_1042	BGC33_08165	AZO1586R_1151	Gsub_1091	CRN91_04130	W908_06230	EYG05_03155	Tper_0684	H8D41_06905
SP60_01215	MS2017_1517	Rmag_0353	HUE58_RS01260	Rpac_peg_521	Rpha_peg_1646	Rpli_peg_682	Rrec_peg_74	Rsou_peg_1291	Vdia_peg_644	Vext_peg_633	Vsoy1_peg_358	Vsoy2_peg_562	Vgig1_peg_597	Vgig2_peg_485	COSY_0346	Vmar_0334	BSEPE_0672	BGC33_08160	AZO1586R_1150	Gsub_1090	CRN91_04125	W908_06235	EYG05_03160	Tper_0683	H8D41_06910
SP60_01220	MS2017_1518	Rmag_0352	HUE58_RS01255	Rpac_peg_520	Rpha_peg_1647	Rpli_peg_681	Rrec_peg_75	Rsou_peg_1292	Vdia_peg_645	Vext_peg_634	Vsoy1_peg_357	Vsoy2_peg_561	Vgig1_peg_598	Vgig2_peg_486	COSY_0347	Vmar_0333	BSEPE_0671	BGC33_08155	AZO1586R_1149	Gsub_1089	CRN91_04120	W908_06240	EYG05_03165	Tper_0682	H8D41_06915
SP60_01225	MS2017_1521	Rmag_0351	HUE58_RS01250	Rpac_peg_519	Rpha_peg_1648	Rpli_peg_680	Rrec_peg_76	Rsou_peg_1293	Vdia_peg_646	Vext_peg_635	Vsoy1_peg_356	Vsoy2_peg_560	Vgig1_peg_599	Vgig2_peg_487	COSY_0332	Vmar_0332	BSEPE_0670	BGC33_13895	AZO1586R_1148	Gsub_1087	CRN91_04115	W908_06245	EYG05_03170	Tper_0681	H8D41_06920
SP60_01255	MS2017_1528	Rmag_0345	HUE58_RS01225	Rpac_peg_513	Rpha_peg_1654	Rpli_peg_674	Rrec_peg_81	Rsou_peg_1299	Vdia_peg_652	Vext_peg_641	Vsoy1_peg_351	Vsoy2_peg_555	Vgig1_peg_604	Vgig2_peg_492	COSY_0327	Vmar_0327	BSEPE_0664	BGC33_13860	AZO1586R_1141	Gsub_1082	CRN91_04080	W908_06280	EYG05_03195	Tper_0676	H8D41_05650
