	SUP05	R.magnifica	Bathy_complete_with_CRISPRannot	Bathysepcomplete_AP013042	Bathyther_MIQH01	Bathyazo_CAESAP02	Sponge_JYIN01	ThioNP1complete_CP023860	ThiosingularisPS1complete_CP006911	Thioautotrophicus_DQLA01	Thioperditus_PNQY01	Thiopontius_JACNGB01	Count
98	SP60_01125	Rmag_0374	MS2017_1479	BSEPE_1013	BGC33_14350	AZO1586R_1607	Gsub_1059	CRN91_07310	W908_02820	EYG05_02050	Tper_0701	H8D41_02815	12
99	SP60_01130	Rmag_0373	MS2017_1480	BSEPE_1014	BGC33_14345	AZO1586R_1608	Gsub_1060	CRN91_07315	W908_02815	EYG05_02045	Tper_0700	H8D41_02810	12
100	SP60_01135	Rmag_0372	MS2017_1481	BSEPE_1015	BGC33_14340	AZO1586R_1609	Gsub_1061	CRN91_07320	W908_02810	EYG05_02040	Tper_0699	H8D41_02805	12
101	SP60_01140	Rmag_0371	MS2017_1486	BSEPE_1016	BGC33_14315	AZO1586R_1611	Gsub_1062	CRN91_07325	W908_02805	EYG05_02035	Tper_0698	H8D41_02800	12
103	SP60_01160	Rmag_0367	MS2017_1496	BSEPE_1020	BGC33_13405	AZO1586R_1625	Gsub_1005	CRN91_07345	W908_02785	EYG05_04630	Tper_0694	H8D41_02780	12
104	SP60_01165	Rmag_0366	MS2017_1497	BSEPE_1021	BGC33_13400	AZO1586R_1624	Gsub_1006	CRN91_07350	W908_02780	EYG05_04635	Tper_0693	H8D41_02775	12
105	SP60_01170	Rmag_0365	MS2017_1498	BSEPE_1022	BGC33_13395	AZO1586R_1623	Gsub_1007	CRN91_07355	W908_02775	EYG05_04640	Tper_0692	H8D41_02770	12
107	SP60_01180	Rmag_0363	MS2017_1505	BSEPE_1036	BGC33_13360	AZO1586R_1396	Gsub_1097	CRN91_04155	W908_06205	EYG05_04650	Tper_0690	H8D41_02760	12
108	SP60_01185	Rmag_0362	MS2017_1506	BSEPE_1037	BGC33_13355	AZO1586R_1395	Gsub_1096	CRN91_04150	W908_06210	EYG05_04655	Tper_0689	H8D41_02755	12
109	SP60_01190	Rmag_0361	MS2017_1507	BSEPE_1038	BGC33_13350	AZO1586R_1394	Gsub_1095	CRN91_04145	W908_06215	EYG05_04660	Tper_0688	H8D41_02750	12
112	SP60_01210	Rmag_0354	MS2017_1516	BSEPE_1042	BGC33_08165	AZO1586R_1151	Gsub_1091	CRN91_04130	W908_06230	EYG05_03155	Tper_0684	H8D41_06905	12
113	SP60_01215	Rmag_0353	MS2017_1517	BSEPE_0672	BGC33_08160	AZO1586R_1150	Gsub_1090	CRN91_04125	W908_06235	EYG05_03160	Tper_0683	H8D41_06910	12
114	SP60_01220	Rmag_0352	MS2017_1518	BSEPE_0671	BGC33_08155	AZO1586R_1149	Gsub_1089	CRN91_04120	W908_06240	EYG05_03165	Tper_0682	H8D41_06915	12
115	SP60_01225	Rmag_0351	MS2017_1521	BSEPE_0670	BGC33_13895	AZO1586R_1148	Gsub_1087	CRN91_04115	W908_06245	EYG05_03170	Tper_0681	H8D41_06920	12
116	SP60_01230	Rmag_0350	MS2017_1522	BSEPE_0669	BGC33_13890	AZO1586R_1147	Gsub_1086	CRN91_04110	W908_06250	EYG05_03175	Tper_0680	H8D41_05630	12
117	SP60_01235	Rmag_0349	MS2017_1523	BSEPE_0668	BGC33_13885	AZO1586R_1146	Gsub_1085	CRN91_04100	W908_06260	EYG05_03180	Tper_0679	H8D41_05635	12
118	SP60_01240	Rmag_0348	MS2017_1524	BSEPE_0667	BGC33_13880	AZO1586R_1145	Gsub_1084	CRN91_04095	W908_06265	EYG05_03185	Tper_0678	H8D41_05640	12
121	SP60_01255	Rmag_0345	MS2017_1528	BSEPE_0664	BGC33_13860	AZO1586R_1141	Gsub_1082	CRN91_04080	W908_06280	EYG05_03195	Tper_0676	H8D41_05650	12
122	SP60_01260	Rmag_0344	MS2017_1552	BSEPE_0658	BGC33_10440	AZO1586R_180	Gsub_0553	CRN91_04075	W908_06285	EYG05_03200	Tper_0675	H8D41_05655	12
123	SP60_01265	Rmag_0343	MS2017_1553	BSEPE_0657	BGC33_10445	AZO1586R_179	Gsub_0552	CRN91_04070	W908_06290	EYG05_03205	Tper_0674	H8D41_05660	12
125	SP60_01275	Rmag_0341	MS2017_1555	BSEPE_0655	BGC33_10455	AZO1586R_177	Gsub_0550	CRN91_04065	W908_06295	EYG05_03215	Tper_0672	H8D41_05670	12
126	SP60_01280	Rmag_0340	MS2017_1556	BSEPE_0654	BGC33_10460	AZO1586R_176	Gsub_0549	CRN91_04060	W908_06300	EYG05_03220	Tper_0671	H8D41_05675	12
132	SP60_01370	Rmag_0328	MS2017_1586	BSEPE_0596	BGC33_11095	AZO1586R_1320	Gsub_0276	CRN91_03920	W908_06450	EYG05_00545	Tper_0658	H8D41_01075	12
133	SP60_01375	Rmag_0327	MS2017_1587	BSEPE_0595	BGC33_11100	AZO1586R_1316	Gsub_0277	CRN91_03915	W908_06455	EYG05_00540	Tper_0657	H8D41_01070	12
134	SP60_01380	Rmag_0326	MS2017_1588	BSEPE_0594	BGC33_11105	AZO1586R_1315	Gsub_0278	CRN91_03910	W908_06460	EYG05_00535	Tper_0656	H8D41_01065	12
135	SP60_01395	Rmag_0324	MS2017_1594	BSEPE_0591	BGC33_11135	AZO1586R_2300	Gsub_0281	CRN91_03900	W908_06470	EYG05_00520	Tper_0653	H8D41_01050	12
136	SP60_01400	Rmag_0323	MS2017_1595	BSEPE_0590	BGC33_11140	AZO1586R_2299	Gsub_0282	CRN91_03895	W908_06475	EYG05_00515	Tper_0652	H8D41_01045	12
137	SP60_01405	Rmag_0322	MS2017_1596	BSEPE_0589	BGC33_11145	AZO1586R_2298	Gsub_0283	CRN91_03890	W908_06480	EYG05_00510	Tper_0651	H8D41_01040	12
139	SP60_01415	Rmag_0320	MS2017_1598	BSEPE_0587	BGC33_11155	AZO1586R_2296	Gsub_0285	CRN91_03885	W908_06485	EYG05_00500	Tper_0649	H8D41_01030	12
145	SP60_01480	Rmag_0312	MS2017_1636	BSEPE_1170	BGC33_03795	AZO1586R_393	Gsub_0667	CRN91_03865	W908_06515	EYG05_00450	Tper_0631	H8D41_00980	12
146	SP60_01485	Rmag_0311	MS2017_1640	BSEPE_1171	BGC33_07855	AZO1586R_392	Gsub_0668	CRN91_03860	W908_06520	EYG05_00445	Tper_0630	H8D41_00975	12
147	SP60_01490	Rmag_0310	MS2017_1641	BSEPE_1172	BGC33_07860	AZO1586R_391	Gsub_0669	CRN91_03855	W908_06525	EYG05_00440	Tper_0629	H8D41_00970	12
148	SP60_01495	Rmag_0309	MS2017_1642	BSEPE_1173	BGC33_07865	AZO1586R_390	Gsub_0670	CRN91_03850	W908_06530	EYG05_00435	Tper_0628	H8D41_00965	12
150	SP60_01505	Rmag_0307	MS2017_1644	BSEPE_1175	BGC33_07875	AZO1586R_388	Gsub_0672	CRN91_03840	W908_06540	EYG05_00425	Tper_0626	H8D41_00955	12
151	SP60_01525	Rmag_0304	MS2017_1653	BSEPE_1181	BGC33_06730	AZO1586R_976	Gsub_0408	CRN91_03810	W908_06570	EYG05_06935	Tper_0621	H8D41_00925	12
153	SP60_01535	Rmag_0302	MS2017_1658	BSEPE_1183	BGC33_08700	AZO1586R_2274	Gsub_0690	CRN91_03805	W908_06580	EYG05_06945	Tper_0619	H8D41_06120	12
154	SP60_01540	Rmag_0821	MS2017_1661	BSEPE_1184	BGC33_08715	AZO1586R_2275	Gsub_0730	CRN91_00815	W908_00570	EYG05_06950	Tper_0615	H8D41_06140	12
158	SP60_01615	Rmag_0828	MS2017_1682	BSEPE_1207	BGC33_06810	AZO1586R_813	Gsub_0171	CRN91_03730	W908_06650	EYG05_07920	Tper_0604	H8D41_06215	12
159	SP60_01625	Rmag_0831	MS2017_1684	BSEPE_1209	BGC33_06800	AZO1586R_100	Gsub_0393	CRN91_03725	W908_06655	EYG05_07930	Tper_0603	H8D41_06225	12
160	SP60_01630	Rmag_0832	MS2017_1685	BSEPE_1210	BGC33_06795	AZO1586R_101	Gsub_0394	CRN91_03720	W908_06660	EYG05_07935	Tper_0602	H8D41_06230	12
164	SP60_01690	Rmag_0837	MS2017_1711	BSEPE_1223	BGC33_12740	AZO1586R_1220	Gsub_0563	CRN91_03675	W908_06710	EYG05_04310	Tper_0158	H8D41_06290	12
165	SP60_01695	Rmag_0838	MS2017_1712	BSEPE_1224	BGC33_12735	AZO1586R_1219	Gsub_0562	CRN91_03670	W908_06715	EYG05_04315	Tper_0157	H8D41_06295	12
166	SP60_01715	Rmag_0841	MS2017_1716	BSEPE_1228	BGC33_12715	AZO1586R_1216	Gsub_0559	CRN91_03650	W908_06735	EYG05_04335	Tper_0151	H8D41_06325	12
167	SP60_01720	Rmag_0843	MS2017_1718	BSEPE_1230	BGC33_12710	AZO1586R_1214	Gsub_0557	CRN91_03640	W908_06745	EYG05_02005	Tper_0149	H8D41_06335	12
168	SP60_01730	Rmag_0844	MS2017_1721	BSEPE_1231	BGC33_12700	AZO1586R_1212	Gsub_0555	CRN91_03635	W908_06750	EYG05_01995	Tper_0147	H8D41_06345	12
169	SP60_01735	Rmag_0845	MS2017_1722	BSEPE_1232	BGC33_12695	AZO1586R_1211	Gsub_0554	CRN91_03630	W908_06755	EYG05_01990	Tper_0146	H8D41_06350	12
171	SP60_01745	Rmag_0847	MS2017_1725	BSEPE_1238	BGC33_12680	AZO1586R_1202	Gsub_0697	CRN91_03625	W908_06760	EYG05_01980	Tper_0144	H8D41_06360	12
172	SP60_01750	Rmag_0848	MS2017_1726	BSEPE_1239	BGC33_12675	AZO1586R_1201	Gsub_0696	CRN91_03620	W908_06765	EYG05_01975	Tper_0143	H8D41_06365	12
173	SP60_01755	Rmag_0849	MS2017_1727	BSEPE_1240	BGC33_12670	AZO1586R_1200	Gsub_0695	CRN91_03615	W908_06770	EYG05_01970	Tper_0142	H8D41_06370	12
174	SP60_01765	Rmag_0850	MS2017_1728	BSEPE_1241	BGC33_12660	AZO1586R_1199	Gsub_0694	CRN91_03605	W908_06780	EYG05_01960	Tper_0141	H8D41_06380	12
178	SP60_01790	Rmag_0855	MS2017_1734	BSEPE_1246	BGC33_10630	AZO1586R_1194	Gsub_0333	CRN91_03590	W908_06800	EYG05_01935	Tper_0136	H8D41_06405	12
179	SP60_01795	Rmag_0856	MS2017_1735	BSEPE_1247	BGC33_10625	AZO1586R_1193	Gsub_0332	CRN91_03585	W908_06805	EYG05_01930	Tper_0135	H8D41_06410	12
193	SP60_01880	Rmag_0872	MS2017_1751	BSEPE_1263	BGC33_10545	AZO1586R_1119	Gsub_0367	CRN91_03570	W908_06835	EYG05_02410	Tper_0118	H8D41_06495	12
194	SP60_01915	Rmag_0874	MS2017_1753	BSEPE_1265	BGC33_10190	AZO1586R_632	Gsub_0592	CRN91_03540	W908_06860	EYG05_02400	Tper_0107	H8D41_06505	12
195	SP60_01920	Rmag_0875	MS2017_1754	BSEPE_1266	BGC33_10195	AZO1586R_633	Gsub_0591	CRN91_03535	W908_06865	EYG05_02395	Tper_0106	H8D41_06510	12
197	SP60_01930	Rmag_0877	MS2017_1756	BSEPE_1268	BGC33_10205	AZO1586R_635	Gsub_0589	CRN91_03530	W908_06870	EYG05_02385	Tper_0104	H8D41_06520	12
212	SP60_02635	Rmag_0918	MS2017_0320	BSEPE_1293	BGC33_07665	AZO1586R_2495	Gsub_1031	CRN91_03005	W908_07240	EYG05_04035	Tper_1418	H8D41_05615	12
213	SP60_02640	Rmag_0919	MS2017_0319	BSEPE_1294	BGC33_07660	AZO1586R_2494	Gsub_1032	CRN91_03000	W908_07245	EYG05_04030	Tper_1419	H8D41_05610	12
214	SP60_02645	Rmag_0920	MS2017_0318	BSEPE_1295	BGC33_07655	AZO1586R_2493	Gsub_1033	CRN91_02995	W908_07250	EYG05_04025	Tper_1420	H8D41_05605	12
216	SP60_02655	Rmag_0922	MS2017_0316	BSEPE_1297	BGC33_10535	AZO1586R_2491	Gsub_1035	CRN91_02985	W908_07260	EYG05_04015	Tper_1422	H8D41_05595	12
219	SP60_02670	Rmag_0925	MS2017_0312	BSEPE_1300	BGC33_10520	AZO1586R_2488	Gsub_1038	CRN91_02980	W908_07265	EYG05_04000	Tper_1425	H8D41_05580	12
220	SP60_02675	Rmag_0926	MS2017_0311	BSEPE_1301	BGC33_10515	AZO1586R_2487	Gsub_1039	CRN91_02975	W908_07270	EYG05_03995	Tper_1426	H8D41_05575	12
221	SP60_02940	Rmag_0927	MS2017_0288	BSEPE_0215	BGC33_06640	AZO1586R_1995	Gsub_1040	CRN91_02930	W908_07315	EYG05_06705	Tper_0345	H8D41_05560	12
222	SP60_02945	Rmag_0928	MS2017_0287	BSEPE_0214	BGC33_06645	AZO1586R_1996	Gsub_1041	CRN91_02925	W908_07320	EYG05_06700	Tper_0346	H8D41_05555	12
224	SP60_02955	Rmag_0930	MS2017_0285	BSEPE_0212	BGC33_06610	AZO1586R_1998	Gsub_1043	CRN91_02915	W908_07330	EYG05_06690	Tper_0348	H8D41_05545	12
225	SP60_02960	Rmag_0931	MS2017_0283	BSEPE_0211	BGC33_06600	AZO1586R_2378	Gsub_1045	CRN91_02910	W908_07335	EYG05_06685	Tper_0349	H8D41_05540	12
226	SP60_02965	Rmag_0932	MS2017_0282	BSEPE_0210	BGC33_06595	AZO1586R_2379	Gsub_1046	CRN91_02905	W908_07340	EYG05_06680	Tper_0350	H8D41_05535	12
228	SP60_02975	Rmag_0934	MS2017_0280	BSEPE_0208	BGC33_06585	AZO1586R_2381	Gsub_1048	CRN91_02900	W908_07345	EYG05_06670	Tper_0352	H8D41_05525	12
229	SP60_02990	Rmag_0935	MS2017_0277	BSEPE_0205	BGC33_11485	AZO1586R_2384	Gsub_0410	CRN91_02885	W908_07360	EYG05_06655	Tper_0355	H8D41_05510	12
230	SP60_02995	Rmag_0936	MS2017_0276	BSEPE_0204	BGC33_11490	AZO1586R_2385	Gsub_0411	CRN91_02880	W908_07365	EYG05_06650	Tper_0356	H8D41_05505	12
231	SP60_03010	Rmag_0939	MS2017_0273	BSEPE_0201	BGC33_11505	AZO1586R_2389	Gsub_0412	CRN91_02865	W908_07385	EYG05_06625	Tper_0360	H8D41_05490	12
232	SP60_03020	Rmag_0944	MS2017_0261	BSEPE_0189	BGC33_11560	AZO1586R_2159	Gsub_1348	CRN91_02855	W908_07395	EYG05_06615	Tper_0364	H8D41_06740	12
233	SP60_03025	Rmag_0946	MS2017_0257	BSEPE_0188	BGC33_11580	AZO1586R_2155	Gsub_1347	CRN91_02850	W908_07400	EYG05_06610	Tper_0365	H8D41_06755	12
234	SP60_03030	Rmag_0947	MS2017_0256	BSEPE_0187	BGC33_06940	AZO1586R_2154	Gsub_1346	CRN91_02845	W908_07405	EYG05_06605	Tper_0366	H8D41_06760	12
236	SP60_03050	Rmag_0951	MS2017_0250	BSEPE_0182	BGC33_06910	AZO1586R_2149	Gsub_1342	CRN91_02825	W908_07425	EYG05_01055	Tper_0371	H8D41_06785	12
238	SP60_03060	Rmag_0953	MS2017_0244	BSEPE_0177	BGC33_13080	AZO1586R_526	Gsub_0686	CRN91_02810	W908_07440	EYG05_01065	Tper_0373	H8D41_06795	12
239	SP60_03065	Rmag_0954	MS2017_0242	BSEPE_0176	BGC33_13090	AZO1586R_529	Gsub_0685	CRN91_02805	W908_07445	EYG05_01070	Tper_0374	H8D41_06800	12
240	SP60_03070	Rmag_0955	MS2017_0241	BSEPE_0175	BGC33_13095	AZO1586R_530	Gsub_0684	CRN91_02800	W908_07450	EYG05_01075	Tper_0375	H8D41_06805	12
241	SP60_03080	Rmag_0957	MS2017_0239	BSEPE_0173	BGC33_13105	AZO1586R_532	Gsub_0682	CRN91_02790	W908_07460	EYG05_01085	Tper_0377	H8D41_06815	12
243	SP60_03090	Rmag_0960	MS2017_0237	BSEPE_0171	BGC33_13115	AZO1586R_534	Gsub_0680	CRN91_02705	W908_07485	EYG05_01095	Tper_0379	H8D41_06825	12
244	SP60_03095	Rmag_0961	MS2017_0236	BSEPE_0170	BGC33_13120	AZO1586R_535	Gsub_0679	CRN91_02700	W908_07490	EYG05_01100	Tper_0380	H8D41_06830	12
245	SP60_03100	Rmag_0962	MS2017_0235	BSEPE_0169	BGC33_13125	AZO1586R_536	Gsub_0678	CRN91_02695	W908_07495	EYG05_01105	Tper_0381	H8D41_06835	12
246	SP60_03105	Rmag_0963	MS2017_0234	BSEPE_0168	BGC33_13130	AZO1586R_537	Gsub_0677	CRN91_02690	W908_07500	EYG05_01110	Tper_0382	H8D41_06840	12
