	SUP05	R.magnifica	Bathy_complete_with_CRISPRannot	Bathysepcomplete_AP013042	Bathyther_MIQH01	Bathyazo_CAESAP02	Sponge_JYIN01	ThioNP1complete_CP023860	ThiosingularisPS1complete_CP006911	Thioautotrophicus_DQLA01	Thioperditus_PNQY01	Thiopontius_JACNGB01	Count
53	SP60_00520	Rmag_0444	MS2017_0870	BSEPE_0564	BGC33_09405	AZO1586R_1105	Gsub_0272		W908_03555	EYG05_06215	Tper_0934	H8D41_00415	11
54	SP60_00525	Rmag_0443	MS2017_0869	BSEPE_0563	BGC33_09410	AZO1586R_1104	Gsub_0273		W908_03550	EYG05_06220	Tper_0935	H8D41_00410	11
55	SP60_00530	Rmag_0442	MS2017_0868	BSEPE_0562	BGC33_09415	AZO1586R_1103	Gsub_0274		W908_03545	EYG05_06225	Tper_0936	H8D41_00405	11
56	SP60_00535	Rmag_0441								EYG05_06230	Tper_0937	H8D41_00400	5
57	SP60_00540	Rmag_0440	MS2017_0859	BSEPE_0558	BGC33_12135	AZO1586R_1101		CRN91_06735		EYG05_06235	Tper_0938	H8D41_00395	10
58	SP60_00545	Rmag_0439				AZO1586R_1099				EYG05_06240	Tper_0939	H8D41_00390	6
59	SP60_00550	Rmag_0438	MS2017_0858	BSEPE_0557	BGC33_12145	AZO1586R_1098	Gsub_0483		W908_03525	EYG05_06245	Tper_0940	H8D41_00385	11
60	SP60_00555	Rmag_0437	MS2017_0857	BSEPE_0556	BGC33_12150	AZO1586R_1097	Gsub_0484	CRN91_06750	W908_03520	EYG05_06250	Tper_0941	H8D41_00380	12
61	SP60_00565	Rmag_0435	MS2017_0855	BSEPE_0554	BGC33_12160	AZO1586R_1095	Gsub_0486	CRN91_06760	W908_03510	EYG05_06260	Tper_0944	H8D41_00370	12
62	SP60_00570	Rmag_0434	MS2017_0854	BSEPE_0553	BGC33_12165	AZO1586R_1094	Gsub_0487		W908_03505	EYG05_06265	Tper_0945	H8D41_00365	11
63	SP60_00610	Rmag_0432	MS2017_1256	BSEPE_0720	BGC33_08140	AZO1586R_1495	Gsub_0491		W908_03475	EYG05_07380	Tper_0960	H8D41_00340	11
64	SP60_00665	Rmag_0427	MS2017_1264	BSEPE_0714	BGC33_05995	AZO1586R_2198	Gsub_1408			EYG05_05485	Tper_0188	H8D41_00290	10
65	SP60_00670	Rmag_0426	MS2017_1265	BSEPE_0713	BGC33_06000	AZO1586R_252	Gsub_1407	CRN91_06840	W908_03375	EYG05_05490	Tper_0187	H8D41_00285	12
66	SP60_00675	Rmag_0425	MS2017_1266	BSEPE_0712	BGC33_06005	AZO1586R_253	Gsub_1406	CRN91_06845	W908_03370	EYG05_05495	Tper_0186	H8D41_00280	12
67	SP60_00740	Rmag_0423	MS2017_1392	BSEPE_0760	BGC33_06845	AZO1586R_618	Gsub_0040	CRN91_07050	W908_03105		Tper_0824		10
68	SP60_00755	Rmag_0421	MS2017_1395	BSEPE_0756	BGC33_06830	AZO1586R_621	Gsub_0038		W908_03090	EYG05_03875	Tper_0827	H8D41_05830	11
69	SP60_00760	Rmag_0420	MS2017_1396	BSEPE_0755	BGC33_06825	AZO1586R_622	Gsub_0037	CRN91_07065	W908_03085	EYG05_03880	Tper_0828	H8D41_05835	12
70	SP60_00770	Rmag_0419	MS2017_1397	BSEPE_0754	BGC33_07700	AZO1586R_623	Gsub_0036	CRN91_07070	W908_03080	EYG05_03890	Tper_0829		11
71	SP60_00775	Rmag_0417	MS2017_1398	BSEPE_0753	BGC33_07705	AZO1586R_624	Gsub_0035	CRN91_07080	W908_03070	EYG05_03895	Tper_0831	H8D41_05850	12
72	SP60_00780	Rmag_0416	MS2017_1399	BSEPE_0752	BGC33_07710	AZO1586R_625	Gsub_0034	CRN91_07085	W908_03065	EYG05_03900	Tper_0832	H8D41_05855	12
73	SP60_00785	Rmag_0415	MS2017_1406	BSEPE_0751	BGC33_12960	AZO1586R_627	Gsub_0033	CRN91_07090	W908_03060	EYG05_03905	Tper_0833	H8D41_05865	12
74	SP60_00790	Rmag_0414	MS2017_1407	BSEPE_0750	BGC33_12955	AZO1586R_628	Gsub_0032	CRN91_07095	W908_03055	EYG05_03910	Tper_0834	H8D41_05870	12
75	SP60_00795	Rmag_0413	MS2017_1411	BSEPE_0749	BGC33_12935	AZO1586R_1776	Gsub_0031	CRN91_07100	W908_03050	EYG05_03915	Tper_0835	H8D41_05875	12
76	SP60_00800	Rmag_0412	MS2017_1412	BSEPE_0748	BGC33_12930	AZO1586R_1777	Gsub_0030	CRN91_07105	W908_03045	EYG05_03920	Tper_0836	H8D41_05880	12
77	SP60_00810	Rmag_0411	MS2017_1413	BSEPE_0747	BGC33_12925	AZO1586R_1778	Gsub_0029	CRN91_07110	W908_03040	EYG05_03925	Tper_0837	H8D41_05890	12
78	SP60_00820	Rmag_0410	MS2017_1423	BSEPE_0975	BGC33_09940	AZO1586R_1781	Gsub_0191	CRN91_07115	W908_03035	EYG05_06595	Tper_0838		11
79	SP60_00825	Rmag_0409	MS2017_1424	BSEPE_0976	BGC33_09945	AZO1586R_1782	Gsub_0192	CRN91_07120	W908_03030	EYG05_04225	Tper_0839	H8D41_06655	12
80	SP60_00905	Rmag_0405	MS2017_1430	BSEPE_0980	BGC33_09975	AZO1586R_581	Gsub_0196	CRN91_07145		EYG05_03300	Tper_0849	H8D41_04525	11
81	SP60_00910	Rmag_0404	MS2017_1431	BSEPE_0981	BGC33_09980	AZO1586R_582	Gsub_0197	CRN91_07150		EYG05_03295	Tper_0850	H8D41_04530	11
82	SP60_00980	Rmag_0398	MS2017_1437	BSEPE_0988	BGC33_11250	AZO1586R_1384	Gsub_0222		W908_02935	EYG05_01320	Tper_0728	H8D41_01590	11
83	SP60_00985	Rmag_0397	MS2017_1438	BSEPE_0989	BGC33_11245	AZO1586R_1383	Gsub_0223	CRN91_07205		EYG05_01315	Tper_0727	H8D41_01595	11
84	SP60_00990	Rmag_0396	MS2017_1439	BSEPE_0990	BGC33_11240	AZO1586R_1382	Gsub_0224	CRN91_07210		EYG05_05515	Tper_0726	H8D41_01600	11
85	SP60_00995	Rmag_0395	MS2017_1442	BSEPE_0991	BGC33_11235	AZO1586R_1379	Gsub_0226	CRN91_07215		EYG05_05520	Tper_0725	H8D41_01605	11
86	SP60_01000	Rmag_0394	MS2017_1443	BSEPE_0992	BGC33_11230	AZO1586R_1378	Gsub_0227		W908_02915	EYG05_05525	Tper_0724	H8D41_01610	11
87	SP60_01005	Rmag_0392	MS2017_1444	BSEPE_0993	BGC33_11225	AZO1586R_1560	Gsub_0228	CRN91_07225		EYG05_05530	Tper_0723	H8D41_01615	11
88	SP60_01030	Rmag_0388	MS2017_1461	BSEPE_0996	BGC33_14440	AZO1586R_1556	Gsub_0776	CRN91_07240	W908_02895	EYG05_00695	Tper_0719	H8D41_02900	12
89	SP60_01040	Rmag_0387									Tper_0718	H8D41_02895	4
90	SP60_01045	Rmag_0386	MS2017_1463	BSEPE_0998	BGC33_14430	AZO1586R_1554	Gsub_0774	CRN91_07250	W908_02885	EYG05_00685	Tper_0717	H8D41_02890	12
91	SP60_01050	Rmag_0385	MS2017_1464	BSEPE_0999	BGC33_14425	AZO1586R_1553	Gsub_0773	CRN91_07255	W908_02880	EYG05_00680	Tper_0716	H8D41_02885	12
92	SP60_01060	Rmag_0383	MS2017_1466	BSEPE_1001	BGC33_14415	AZO1586R_1551	Gsub_0771	CRN91_07265	W908_02870	EYG05_00670	Tper_0714	H8D41_02875	12
93	SP60_01065	Rmag_0382	MS2017_1467	BSEPE_1002	BGC33_14410	AZO1586R_1550	Gsub_0770	CRN91_07270	W908_02865	EYG05_00665	Tper_0713	H8D41_02870	12
94	SP60_01070	Rmag_0381					Gsub_0769	CRN91_07275	W908_02860		Tper_0712		6
95	SP60_01075	Rmag_0380	MS2017_1468	BSEPE_1003	BGC33_14405	AZO1586R_1549	Gsub_0768	CRN91_07290	W908_02845	EYG05_00660	Tper_0711	H8D41_02865	12
96	SP60_01080	Rmag_0379	MS2017_1469	BSEPE_1004	BGC33_14400	AZO1586R_1548	Gsub_1052	CRN91_07295	W908_02840	EYG05_00655	Tper_0710	H8D41_02860	12
97	SP60_01085	Rmag_0378	MS2017_1470	BSEPE_1005	BGC33_14395	AZO1586R_1547	Gsub_1053	CRN91_07300	W908_02835	EYG05_00650	Tper_0709	H8D41_02855	12
98	SP60_01125	Rmag_0374	MS2017_1479	BSEPE_1013	BGC33_14350	AZO1586R_1607	Gsub_1059	CRN91_07310	W908_02820	EYG05_02050	Tper_0701	H8D41_02815	12
99	SP60_01130	Rmag_0373	MS2017_1480	BSEPE_1014	BGC33_14345	AZO1586R_1608	Gsub_1060	CRN91_07315	W908_02815	EYG05_02045	Tper_0700	H8D41_02810	12
100	SP60_01135	Rmag_0372	MS2017_1481	BSEPE_1015	BGC33_14340	AZO1586R_1609	Gsub_1061	CRN91_07320	W908_02810	EYG05_02040	Tper_0699	H8D41_02805	12
101	SP60_01140	Rmag_0371	MS2017_1486	BSEPE_1016	BGC33_14315	AZO1586R_1611	Gsub_1062	CRN91_07325	W908_02805	EYG05_02035	Tper_0698	H8D41_02800	12
102	SP60_01150	Rmag_0369	MS2017_1488	BSEPE_1018	BGC33_14305	AZO1586R_1613	Gsub_0404			EYG05_02020	Tper_0696	H8D41_02790	10
103	SP60_01160	Rmag_0367	MS2017_1496	BSEPE_1020	BGC33_13405	AZO1586R_1625	Gsub_1005	CRN91_07345	W908_02785	EYG05_04630	Tper_0694	H8D41_02780	12
104	SP60_01165	Rmag_0366	MS2017_1497	BSEPE_1021	BGC33_13400	AZO1586R_1624	Gsub_1006	CRN91_07350	W908_02780	EYG05_04635	Tper_0693	H8D41_02775	12
105	SP60_01170	Rmag_0365	MS2017_1498	BSEPE_1022	BGC33_13395	AZO1586R_1623	Gsub_1007	CRN91_07355	W908_02775	EYG05_04640	Tper_0692	H8D41_02770	12
106	SP60_01175	Rmag_0364	MS2017_1504	BSEPE_1035	BGC33_13365	AZO1586R_1397	Gsub_1098			EYG05_04645	Tper_0691	H8D41_02765	10
107	SP60_01180	Rmag_0363	MS2017_1505	BSEPE_1036	BGC33_13360	AZO1586R_1396	Gsub_1097	CRN91_04155	W908_06205	EYG05_04650	Tper_0690	H8D41_02760	12
108	SP60_01185	Rmag_0362	MS2017_1506	BSEPE_1037	BGC33_13355	AZO1586R_1395	Gsub_1096	CRN91_04150	W908_06210	EYG05_04655	Tper_0689	H8D41_02755	12
109	SP60_01190	Rmag_0361	MS2017_1507	BSEPE_1038	BGC33_13350	AZO1586R_1394	Gsub_1095	CRN91_04145	W908_06215	EYG05_04660	Tper_0688	H8D41_02750	12
110	SP60_01200	Rmag_0356	MS2017_1514	BSEPE_1040	BGC33_08175	AZO1586R_1392	Gsub_1093			EYG05_04670	Tper_0686	H8D41_02740	10
111	SP60_01205	Rmag_0355								EYG05_03150	Tper_0685		4
112	SP60_01210	Rmag_0354	MS2017_1516	BSEPE_1042	BGC33_08165	AZO1586R_1151	Gsub_1091	CRN91_04130	W908_06230	EYG05_03155	Tper_0684	H8D41_06905	12
113	SP60_01215	Rmag_0353	MS2017_1517	BSEPE_0672	BGC33_08160	AZO1586R_1150	Gsub_1090	CRN91_04125	W908_06235	EYG05_03160	Tper_0683	H8D41_06910	12
114	SP60_01220	Rmag_0352	MS2017_1518	BSEPE_0671	BGC33_08155	AZO1586R_1149	Gsub_1089	CRN91_04120	W908_06240	EYG05_03165	Tper_0682	H8D41_06915	12
115	SP60_01225	Rmag_0351	MS2017_1521	BSEPE_0670	BGC33_13895	AZO1586R_1148	Gsub_1087	CRN91_04115	W908_06245	EYG05_03170	Tper_0681	H8D41_06920	12
116	SP60_01230	Rmag_0350	MS2017_1522	BSEPE_0669	BGC33_13890	AZO1586R_1147	Gsub_1086	CRN91_04110	W908_06250	EYG05_03175	Tper_0680	H8D41_05630	12
117	SP60_01235	Rmag_0349	MS2017_1523	BSEPE_0668	BGC33_13885	AZO1586R_1146	Gsub_1085	CRN91_04100	W908_06260	EYG05_03180	Tper_0679	H8D41_05635	12
118	SP60_01240	Rmag_0348	MS2017_1524	BSEPE_0667	BGC33_13880	AZO1586R_1145	Gsub_1084	CRN91_04095	W908_06265	EYG05_03185	Tper_0678	H8D41_05640	12
119	SP60_01245	Rmag_0347	MS2017_1525	BSEPE_0666	BGC33_13875	AZO1586R_1144		CRN91_04090	W908_06270	EYG05_03190	Tper_0677	H8D41_05645	11
120	SP60_01250	Rmag_0346	MS2017_1527	BSEPE_0665	BGC33_13865	AZO1586R_1142							6
121	SP60_01255	Rmag_0345	MS2017_1528	BSEPE_0664	BGC33_13860	AZO1586R_1141	Gsub_1082	CRN91_04080	W908_06280	EYG05_03195	Tper_0676	H8D41_05650	12
122	SP60_01260	Rmag_0344	MS2017_1552	BSEPE_0658	BGC33_10440	AZO1586R_180	Gsub_0553	CRN91_04075	W908_06285	EYG05_03200	Tper_0675	H8D41_05655	12
123	SP60_01265	Rmag_0343	MS2017_1553	BSEPE_0657	BGC33_10445	AZO1586R_179	Gsub_0552	CRN91_04070	W908_06290	EYG05_03205	Tper_0674	H8D41_05660	12
124	SP60_01270	Rmag_0342	MS2017_1554	BSEPE_0656	BGC33_10450	AZO1586R_178	Gsub_0551			EYG05_03210	Tper_0673	H8D41_05665	10
125	SP60_01275	Rmag_0341	MS2017_1555	BSEPE_0655	BGC33_10455	AZO1586R_177	Gsub_0550	CRN91_04065	W908_06295	EYG05_03215	Tper_0672	H8D41_05670	12
126	SP60_01280	Rmag_0340	MS2017_1556	BSEPE_0654	BGC33_10460	AZO1586R_176	Gsub_0549	CRN91_04060	W908_06300	EYG05_03220	Tper_0671	H8D41_05675	12
127	SP60_01285	Rmag_0339	MS2017_1574	BSEPE_0653	BGC33_11805	AZO1586R_175	Gsub_0548			EYG05_03225	Tper_0670	H8D41_05680	10
128	SP60_01290	Rmag_0338	MS2017_1576	BSEPE_0652	BGC33_11800	AZO1586R_174	Gsub_0547			EYG05_03230	Tper_0669	H8D41_05685	10
129	SP60_01295	Rmag_0337	MS2017_1577	BSEPE_0651	BGC33_11795	AZO1586R_173	Gsub_0546			EYG05_03235	Tper_0668	H8D41_05690	10
130	SP60_01325	Rmag_0333	MS2017_1580	BSEPE_0648	BGC33_11780	AZO1586R_170	Gsub_0247	CRN91_04025	W908_06335		Tper_0663		10
131	SP60_01335	Rmag_0331	MS2017_1582	BSEPE_0646	BGC33_11060	AZO1586R_168	Gsub_0245			EYG05_00580	Tper_0661	H8D41_00080	10
132	SP60_01370	Rmag_0328	MS2017_1586	BSEPE_0596	BGC33_11095	AZO1586R_1320	Gsub_0276	CRN91_03920	W908_06450	EYG05_00545	Tper_0658	H8D41_01075	12
133	SP60_01375	Rmag_0327	MS2017_1587	BSEPE_0595	BGC33_11100	AZO1586R_1316	Gsub_0277	CRN91_03915	W908_06455	EYG05_00540	Tper_0657	H8D41_01070	12
134	SP60_01380	Rmag_0326	MS2017_1588	BSEPE_0594	BGC33_11105	AZO1586R_1315	Gsub_0278	CRN91_03910	W908_06460	EYG05_00535	Tper_0656	H8D41_01065	12
135	SP60_01395	Rmag_0324	MS2017_1594	BSEPE_0591	BGC33_11135	AZO1586R_2300	Gsub_0281	CRN91_03900	W908_06470	EYG05_00520	Tper_0653	H8D41_01050	12
136	SP60_01400	Rmag_0323	MS2017_1595	BSEPE_0590	BGC33_11140	AZO1586R_2299	Gsub_0282	CRN91_03895	W908_06475	EYG05_00515	Tper_0652	H8D41_01045	12
137	SP60_01405	Rmag_0322	MS2017_1596	BSEPE_0589	BGC33_11145	AZO1586R_2298	Gsub_0283	CRN91_03890	W908_06480	EYG05_00510	Tper_0651	H8D41_01040	12
138	SP60_01410	Rmag_0321	MS2017_1597	BSEPE_0588	BGC33_11150	AZO1586R_2297	Gsub_0284			EYG05_00505	Tper_0650	H8D41_01035	10
139	SP60_01415	Rmag_0320	MS2017_1598	BSEPE_0587	BGC33_11155	AZO1586R_2296	Gsub_0285	CRN91_03885	W908_06485	EYG05_00500	Tper_0649	H8D41_01030	12
140	SP60_01430	Rmag_0319	MS2017_1610	BSEPE_0585	BGC33_09670	AZO1586R_599	Gsub_0287			EYG05_00495	Tper_0648	H8D41_01025	10
141	SP60_01435	Rmag_0318	MS2017_1611	BSEPE_0584	BGC33_09675	AZO1586R_598	Gsub_0288			EYG05_00490	Tper_0647	H8D41_01020	10
142	SP60_01460	Rmag_0315	MS2017_1622	BSEPE_1161	BGC33_08050	AZO1586R_589	Gsub_0664		W908_06500	EYG05_00465	Tper_0643	H8D41_00995	11
143	SP60_01465	Rmag_0314	MS2017_1631	BSEPE_1166		AZO1586R_1340	Gsub_0665		W908_06505	EYG05_00460	Tper_0642	H8D41_00990	10
144	SP60_01470	Rmag_0313	MS2017_1632	BSEPE_1167	BGC33_04100	AZO1586R_1341	Gsub_0666		W908_06510	EYG05_00455	Tper_0641	H8D41_00985	11
145	SP60_01480	Rmag_0312	MS2017_1636	BSEPE_1170	BGC33_03795	AZO1586R_393	Gsub_0667	CRN91_03865	W908_06515	EYG05_00450	Tper_0631	H8D41_00980	12
146	SP60_01485	Rmag_0311	MS2017_1640	BSEPE_1171	BGC33_07855	AZO1586R_392	Gsub_0668	CRN91_03860	W908_06520	EYG05_00445	Tper_0630	H8D41_00975	12
147	SP60_01490	Rmag_0310	MS2017_1641	BSEPE_1172	BGC33_07860	AZO1586R_391	Gsub_0669	CRN91_03855	W908_06525	EYG05_00440	Tper_0629	H8D41_00970	12
