	Groups	isolate	Mito_dNdS	Mito_dS	Mito_dN	Mito_f84	Symb_dNdS	Symb_dS	Symb_dN	Symb_f84	Mito_transition	Mito_transversion	Symb_transition	Symb_transversion
ext-soy2	G-G	known	0.05724534953329414	0.3104350040214958	0.0177709603125801	0.0779835318441889	0.1179809000072394	0.1768655643534928	0.020866758462713398	0.0482773635742315	680.0	191.0	24666.0	6968.0
ext-sup05	FL-G	unknown					0.04011814866695955	3.898745533191147	0.15641045291520692	0.346129765603615			98174.0	86712.0
gig-mag	G-R	unknown					0.09475305993470769	0.888492418379699	0.084187375370265	0.183736263511594			80462.0	27233.0
gig-oku	G-G	unknown					0.10897556828173466	0.1747548275998524	0.019044006647670482	0.0467961767787833			24507.0	6291.0
gig-pac	G-R	known					0.0706124197009947	1.2609404885652797	0.08903805899654885	0.187688832714061			83388.0	25756.0
gig-pha	G-R	known					0.09303942634676007	0.862559418096259	0.08025203344967112	0.184847467418916			81888.0	26065.0
gig-pli	G-R	known					0.09686464363779768	0.887904757490957	0.08600657791866671	0.191982075222908			81899.0	29545.0
gig-rec	G-R	known					0.09621450817707589	0.8610922715105327	0.082849569398467	0.185669967336264			82336.0	25873.0
gig-sou	G-R	known					0.09166694852750919	0.8705888568528367	0.07980422392975205	0.185511370836917			81557.0	26622.0
gig-soy2	G-G	known					0.10783099785256405	0.1826858456201927	0.019699197026764845	0.0486309433836587			25390.0	6491.0
gig-sup05	FL-G	unknown					0.039939976114756026	3.863354716288625	0.15430229509139773	0.346065011818773			98440.0	86559.0
gig1-gig2	G-G	known	0.1007789264608976	0.13748105600793842	0.013855193233190571	0.00433845182097417					36.0	9.0		
gig1-mag	G-R	unknown	0.028668510934510602	1.7709157134347475	0.050769516494700705	0.168442798817318					1112.0	442.0		
gig1-mariana	G-R	unknown	0.010689314108943243	5.100069580700331	0.054516245725572295	0.170624930046131					1092.0	496.0		
gig1-oku	G-G	unknown	0.05043885426517483	0.6082549769225596	0.030679684137064265	0.0982643905171871					740.0	210.0		
gig1-pac	G-R	known	0.01766805458171826	3.737691248359361	0.06603773298562385	0.179619887284477					1150.0	509.0		
gig1-pha	G-R	known	0.011646805791086326	4.703598780622679	0.0547819015171028	0.169049126715596					1072.0	503.0		
gig1-pha_ref	G-R	unknown	0.0117352614717002	4.63843878308773	0.05443329194000939	0.167814762611071					1071.0	496.0		
gig1-pli	G-R	known	0.0020038821558612343	30.132961786699692	0.060382904427615965	0.191996965311951					1165.0	569.0		
gig1-rec	G-R	known	0.017907415926550492	3.7911050661497256	0.06788889524079586	0.185366787522096					1144.0	570.0		
gig1-sou	G-R	known	0.0017352442282890575	31.22643678918144	0.05418549420846019	0.168858606278673					1067.0	503.0		
gig1-soy1	G-G	known	0.05107357061879887	0.5983543552265472	0.030560093416728926	0.0976922210289681					738.0	207.0		
gig1-soy2	G-G	known	0.057445110863369946	0.5868154779952334	0.03370968018977761	0.0975733556168926					737.0	207.0		
gig2-mag	G-R	unknown	0.03204104204992126	1.365249249929562	0.04374400862561656	0.168854624932509					1190.0	468.0		
gig2-mariana	G-R	unknown	0.02895227604485775	1.6092179837885394	0.04659052328299521	0.170892856388786					1157.0	524.0		
gig2-oku	G-G	unknown	0.039677568098127315	0.5467593096467332	0.021694079741793337	0.0977261176539146					794.0	229.0		
gig2-pac	G-R	known	0.03573424891125003	1.632427142637477	0.05833355784448826	0.179820677649524					1233.0	541.0		
gig2-pha	G-R	known	0.030001755029797832	1.5370333024761298	0.04611369661353	0.16958657845885					1143.0	529.0		
gig2-pha_ref	G-R	unknown	0.0289926556041713	1.564832151157847	0.04536863963685398	0.168350929895514					1142.0	524.0		
gig2-pli	G-R	known	0.01519469790413372	3.6040940969041815	0.05476312102053068	0.191388857735698					1243.0	608.0		
gig2-rec	G-R	known	0.0418702587128533	1.4399961406932704	0.06029301095633753	0.185606572541449					1227.0	602.0		
gig2-sou	G-R	known	0.029295145515986987	1.5835683985185898	0.04639086666912056	0.16884936930586					1140.0	529.0		
gig2-soy1	G-G	known	0.03930783546524092	0.549146753292166	0.02158577022467971	0.0972731689237789					799.0	225.0		
gig2-soy2	G-G	known	0.03942827864014209	0.5475692606752857	0.021589713384681762	0.0971543399147609					798.0	225.0		
mag-mariana	R-R	unknown	0.02930544995029875	1.3405150499575873	0.039284396704154304	0.148501651025236					1124.0	468.0		
mag-oku	G-R	unknown	0.030138939981479828	1.4668405555343125	0.044209019465649174	0.166522637312556	0.09821142412485544	0.857772074422407	0.08424301700355608	0.18148965232767	1256.0	465.0	80472.0	26728.0
mag-pac	R-R	unknown	0.03159781841163151	1.725321708720243	0.05451640205378804	0.158939808326	0.1301509381971117	0.42289783025839384	0.05504054936965286	0.124208461817608	1221.0	488.0	63968.0	12038.0
mag-pha	R-R	unknown	0.028582759625425898	1.3527924838416134	0.03866654238872769	0.149487042741865	0.1232360574284871	0.3949524531881147	0.04867238320261237	0.115599811460455	1132.0	481.0	59966.0	11316.0
mag-pha_ref	R-R	unknown	0.027951475976972937	1.3471842352566445	0.037655787788332756	0.148452768550608					1117.0	473.0		
mag-pli	R-R	unknown	0.586412250026641	0.41887429936578535	0.245633020369423	0.165092410809596	0.14040769712793655	0.3852900310786224	0.05409768599010047	0.115843948946015	1189.0	558.0	57071.0	14533.0
mag-rec	R-R	unknown	0.04931666009728748	1.1580131456633602	0.057109340692870596	0.164750343961599	0.1289288434967515	0.4166186316446651	0.05371415835714578	0.121478832496498	1259.0	512.0	62419.0	12178.0
mag-sou	R-R	unknown	0.030717364616683108	1.3472161420005082	0.04138292945131074	0.14701030578884	0.13208497590069862	0.3416068859643658	0.04512113730011595	0.104542645016103	1108.0	462.0	54436.0	10658.0
mag-soy1	G-R	unknown	0.0296732117466575	1.495927376657529	0.04438896980518073	0.167434351649357					1293.0	443.0		
mag-soy2	G-R	unknown	0.029633362455927594	1.497680026297362	0.044381295062272896	0.167572220900096	0.09937952422873807	0.838584120727135	0.08333809094363731	0.180361041707429	1294.0	443.0	79678.0	26316.0
mag-sup05	FL-R	unknown					0.04922861776220246	2.9261653826026817	0.14405107712913634	0.333669033901211			97426.0	83483.0
mariana-oku	G-R	unknown	0.01822398348816891	2.6015442663108286	0.04741049975298904	0.1696619875542					1235.0	526.0		
mariana-pac	R-R	unknown	0.04171180026817104	1.2418333983394318	0.051799106677878466	0.142656758308638					1079.0	531.0		
mariana-pha	R-R	unknown	0.03620456337471891	0.1778487371203605	0.006438935874187816	0.033938104173367					326.0	90.0		
mariana-pha_ref	R-R	unknown	0.039766354409053684	0.17438731240333333	0.006934747669473317	0.0337421229298026					322.0	88.0		
mariana-pli	R-R	unknown	0.028685094943378637	1.8150446289484354	0.05206472750785532	0.153107772585376					1052.0	628.0		
mariana-rec	R-R	unknown	0.042746573293427126	1.3025567231230732	0.055679836433826714	0.153760057864983					1160.0	571.0		
mariana-sou	R-R	unknown	0.03915780510187263	0.18127813186121008	0.007098453756652832	0.0328127794890388					322.0	92.0		
mariana-soy1	G-R	unknown	0.018169853296643	2.589103373630979	0.04704362846871837	0.169267677994889					1243.0	514.0		
mariana-soy2	G-R	unknown	0.01828515770567773	2.5727080249337617	0.047042371966576506	0.169405056543592					1244.0	514.0		
oku-pac	G-R	unknown	0.024974466643362874	2.265496007053031	0.056579554458817696	0.176375745541847	0.06905400543368	1.2848034743456245	0.08872082609867368	0.184213471318254	1291.0	547.0	82836.0	25193.0
oku-pha	G-R	unknown	0.02552005356438605	1.8404765337493936	0.04696905972528009	0.166367432698116	0.0834537109716617	0.9961028365511991	0.08312847821959614	0.181648157496843	1201.0	536.0	81371.0	25499.0
oku-pha_ref	G-R	unknown	0.025618932261508676	1.8484916019330178	0.04735638113588964	0.166596235147105					1202.0	537.0		
oku-pli	G-R	unknown	0.01826729844444174	3.084496125214133	0.05634541127001071	0.191778748224553	0.07119488066476086	1.2556385080795749	0.0893950337408037	0.188656972854454	1363.0	616.0	81357.0	28989.0
oku-rec	G-R	unknown	0.045405530350341096	1.4318049207389294	0.06501186178437919	0.1845008222867	0.0981647454251517	0.8295447190117524	0.08143204616056768	0.182436674658003	1327.0	602.0	81836.0	25290.0
oku-sou	G-R	unknown	0.017114234014952493	2.737715593851675	0.0468539053395622	0.168059597381963	0.08145596673710719	1.0126756735930402	0.0824884759836723	0.182154899169913	1227.0	528.0	80966.0	26034.0
oku-soy1	G-G	unknown	0.05443112796983272	0.10448458869709744	0.0056872140182470474	0.0304964507795096					292.0	62.0		
oku-soy2	G-G	unknown	0.05426737995208001	0.1040485620397679	0.005646442849679654	0.0303936947404546	0.10988145928210417	0.0946348338264616	0.010398613639771034	0.0263989377092374	291.0	62.0	14220.0	3481.0
oku-sup05	FL-G	unknown					0.044388365231294434	3.454674883564915	0.15334737048705901	0.344086450120441			98511.0	86931.0
pac-pha	R-R	known	0.04125156187878901	1.2568074744681201	0.0518452713027462	0.142398774115188	0.14641597861153163	0.24824587370398363	0.03634716253464345	0.0841294399388699	1080.0	531.0	46106.0	7159.0
pac-pha_ref	R-R	unknown	0.04116196803467546	1.2832680334368696	0.05282183777224926	0.142155691244451					1082.0	530.0		
pac-pli	R-R	known	0.03104824155392872	1.9449175633643072	0.06038627030981348	0.168554752106197	0.13167823467665998	0.36670994111274535	0.04828771768410825	0.11205628117102	1169.0	649.0	56600.0	12637.0
pac-rec	R-R	known	0.07729280944677748	0.6840763642499785	0.052874184069017935	0.106418769931226	0.24349282175826417	0.08835565739863725	0.021513968338300635	0.0388724077639396	971.0	388.0	23554.0	2267.0
pac-sou	R-R	known	0.04101449805215075	1.2607364854890695	0.05170847412836682	0.140112737220355	0.11653808606763577	0.34946598388158273	0.0407260969073029	0.105260043367369	1057.0	538.0	55542.0	9786.0
pac-soy1	G-R	known	0.025955039584027437	2.181530064624525	0.05662169918107547	0.178151825348438					1312.0	530.0		
pac-soy2	G-R	known	0.026064887790191334	2.1733077414805506	0.056647022415244705	0.17801201055365	0.09113168092077116	0.9453775178791554	0.08615384230903382	0.18340393531622	1311.0	530.0	82226.0	24841.0
pac-sup05	FL-R	unknown					0.055317798959954714	2.527099471464696	0.13979358051429186	0.32956125358426			96600.0	81789.0
pha-pha_ref	R-R	unknown	0.03709383341523889	0.051531549462194966	0.0019115027113798034	0.00998971683578584					109.0	26.0		
pha-pli	R-R	known	0.029280072298502435	1.7554581341144062	0.051399941083864	0.153488892134925	0.1355376768329643	0.2725911598284389	0.036946372528349876	0.0896319211005798	1052.0	634.0	45658.0	10914.0
pha-rec	R-R	known	0.04307583015300122	1.2772321708426586	0.055017836057167396	0.154223574410408	0.14621592684147766	0.23712663853277133	0.03467169123187321	0.0803761092276057	1158.0	572.0	43892.0	7348.0
pha-sou	R-R	known	0.03722009693113335	0.20801764569887	0.0077424369362980965	0.0375132819902201	0.11201373523171317	0.24105575434976048	0.02700155544381496	0.0761101585364488	356.0	109.0	41481.0	6951.0
pha-soy1	G-R	known	0.01870691538523776	2.511619854605901	0.04698466009999576	0.168877270418996					1237.0	522.0		
pha-soy2	G-R	known	0.018819956860274104	2.4965833411020775	0.04698559077762009	0.169014388629496	0.08697386849861956	0.9591225278751163	0.08341859661347394	0.18046034440184	1238.0	522.0	80679.0	25117.0
pha-sup05	FL-R	unknown					0.05471621978625781	2.4483596786251276	0.13396498629146403	0.323118178994413			94366.0	81627.0
pha_ref-pli	R-R	unknown	0.029249353991359067	1.7489708500599626	0.05115626751397202	0.152258454478222					1048.0	633.0		
pha_ref-rec	R-R	unknown	0.04382199023163978	1.2592620593614472	0.05518336966441194	0.152232031188345					1147.0	573.0		
pha_ref-sou	R-R	unknown	0.040523809349912426	0.19894172710161084	0.008061876620807984	0.0362846293673724					345.0	107.0		
pha_ref-soy1	G-R	unknown	0.019186533779184466	2.489423546848354	0.04776340897230315	0.169149775824887					1242.0	521.0		
pha_ref-soy2	G-R	unknown	0.019108688607920445	2.500929280160772	0.047789478845022826	0.169012463302127					1241.0	521.0		
pli-rec	R-R	known	0.036278734196973014	1.717924765693973	0.06232413594500879	0.179981134678057	0.13152627978008977	0.34858072136132817	0.04584752548371556	0.109143599532754	1226.0	688.0	54955.0	12848.0
pli-sou	R-R	known	0.02957514915098613	1.743851067928258	0.05157465543108467	0.150962612247002	0.14790177313606898	0.20821655684238652	0.03079559795327606	0.0716332707780814	1034.0	633.0	36187.0	9826.0
pli-soy1	G-R	known	0.018020847044111846	3.0998961008760926	0.05586275348652677	0.194453832561816					1388.0	610.0		
pli-soy2	G-R	known	0.018025650222612218	3.090731933820189	0.05571245277090058	0.194309612244926	0.0704677116432606	1.2626180154756335	0.08897380223012288	0.187850745823314	1387.0	610.0	80831.0	28630.0
pli-sup05	FL-R	unknown					0.05524715224333142	2.5129040054327887	0.1388307901610226	0.327958627261979			94038.0	83913.0
rec-sou	R-R	known	0.04567634157567048	1.258138918776861	0.05746718300369664	0.150135547539472	0.11602496941980892	0.3385674019957839	0.03928227246310498	0.101936319181185	1138.0	578.0	53578.0	9939.0
rec-soy1	G-R	known	0.04044827366309973	1.4717948440929616	0.05953156062981131	0.187772737063256					1359.0	591.0		
rec-soy2	G-R	known	0.04070164038864059	1.4640073772398348	0.05958750179473264	0.187630848560635	0.08704685647807991	0.9784362072956794	0.08516979610942385	0.181245259321379	1358.0	591.0	81118.0	24918.0
rec-sup05	FL-R	unknown					0.05551901186532643	2.4955004330954207	0.1385477181549519	0.327375702246958			95799.0	81882.0
sou-soy1	G-R	known	0.02570081241595224	1.7948934995350059	0.046130221138161245	0.165829643748559					1225.0	512.0		
sou-soy2	G-R	known	0.025671983606765814	1.7973566741426241	0.04614171107410057	0.165965831353662	0.0800161107619759	1.0247100456036533	0.08199331250793129	0.181994341632266	1226.0	512.0	80636.0	25818.0
sou-sup05	FL-R	unknown					0.05434306025412326	2.4435124052387507	0.1327879418695871	0.322374671017618			93557.0	82065.0
soy1-soy2	G-G	known	5.40687633148644	1.788473646674505e-05	9.670055829691623e-05	9.60083903875163e-05					1.0	0.0		
soy2-sup05	FL-G	unknown					0.04160723962734888	3.697065337958414	0.15382468343440128	0.346155909130048			98595.0	86530.0
