Bathy	SUP05	R.magnifica	R.pacifica	R.phaseoliformis	R.pliocardia	R.rectimargo	R.southwardae	V.diagonalis	V.extenta	V.okutanii	V.gigas	V.soyoae
MS2017_0019	SP60_04085	Rmag_0013	Rpac_peg_217	Rpha_peg_1040	Rple_peg_1578	Rrec_peg_715	Rsou_peg_1787	Vdia_peg_970	Vext_peg_958	COSY_0014	Vgig2_peg_945	Vsoy2_peg_243
MS2017_0022	SP60_04095	Rmag_0015	Rpac_peg_215	Rpha_peg_1042	Rple_peg_1575	Rrec_peg_717	Rsou_peg_1785	Vdia_peg_969	Vext_peg_957	COSY_0015	Vgig2_peg_943	Vsoy2_peg_245
MS2017_0031	SP60_04100	Rmag_0016	Rpac_peg_213	Rpha_peg_1045	Rple_peg_1573	Rrec_peg_719	Rsou_peg_1780	Vdia_peg_968	Vext_peg_956	COSY_0016	Vgig2_peg_942	Vsoy2_peg_246
MS2017_0033	SP60_04110	Rmag_0018	Rpac_peg_211	Rpha_peg_1047	Rple_peg_1570	Rrec_peg_721	Rsou_peg_1778	Vdia_peg_967	Vext_peg_955	COSY_0017	Vgig2_peg_941	Vsoy2_peg_247
MS2017_0034	SP60_04115	Rmag_0019	Rpac_peg_210	Rpha_peg_1048	Rple_peg_1569	Rrec_peg_722	Rsou_peg_1777	Vdia_peg_966	Vext_peg_954	COSY_0018	Vgig2_peg_940	Vsoy2_peg_248
MS2017_0038	SP60_04130	Rmag_0022	Rpac_peg_207	Rpha_peg_1051	Rple_peg_1566	Rrec_peg_725	Rsou_peg_468	Vdia_peg_963	Vext_peg_951	COSY_0021	Vgig2_peg_937	Vsoy2_peg_251
MS2017_0062	SP60_04135	Rmag_0023	Rpac_peg_206	Rpha_peg_1052	Rple_peg_1565	Rrec_peg_726	Rsou_peg_469	Vdia_peg_962	Vext_peg_950	COSY_0022	Vgig2_peg_936	Vsoy2_peg_252
MS2017_0067	SP60_04150	Rmag_0025	Rpac_peg_202	Rpha_peg_1056	Rple_peg_1562	Rrec_peg_729	Rsou_peg_472	Vdia_peg_959	Vext_peg_947	COSY_0025	Vgig2_peg_933	Vsoy2_peg_255
MS2017_0068	SP60_04155	Rmag_0026	Rpac_peg_201	Rpha_peg_1057	Rple_peg_1561	Rrec_peg_730	Rsou_peg_473	Vdia_peg_958	Vext_peg_946	COSY_0026	Vgig2_peg_932	Vsoy2_peg_256
MS2017_0069	SP60_04160	Rmag_0027	Rpac_peg_200	Rpha_peg_1058	Rple_peg_1560	Rrec_peg_731	Rsou_peg_474	Vdia_peg_957	Vext_peg_945	COSY_0027	Vgig2_peg_931	Vsoy2_peg_257
MS2017_0070	SP60_04165	Rmag_0028	Rpac_peg_199	Rpha_peg_1059	Rple_peg_1559	Rrec_peg_732	Rsou_peg_475	Vdia_peg_956	Vext_peg_944	COSY_0028	Vgig2_peg_930	Vsoy2_peg_258
MS2017_0086	SP60_04245	Rmag_0043	Rpac_peg_176	Rpha_peg_799	Rple_peg_1520	Rrec_peg_761	Rsou_peg_315	Vdia_peg_939	Vext_peg_927	COSY_0046	Vgig2_peg_913	Vsoy2_peg_275
MS2017_0087	SP60_04250	Rmag_0044	Rpac_peg_175	Rpha_peg_798	Rple_peg_1518	Rrec_peg_762	Rsou_peg_316	Vdia_peg_938	Vext_peg_926	COSY_0047	Vgig2_peg_912	Vsoy2_peg_276
MS2017_0089	SP60_04280	Rmag_0045	Rpac_peg_170	Rpha_peg_795	Rple_peg_1516	Rrec_peg_763	Rsou_peg_592	Vdia_peg_937	Vext_peg_925	COSY_0049	Vgig2_peg_911	Vsoy2_peg_277
MS2017_0090	SP60_04285	Rmag_0046	Rpac_peg_169	Rpha_peg_794	Rple_peg_1515	Rrec_peg_764	Rsou_peg_591	Vdia_peg_936	Vext_peg_924	COSY_0050	Vgig2_peg_910	Vsoy2_peg_278
MS2017_0096	SP60_03810	Rmag_1054	Rpac_peg_861	Rpha_peg_919	Rple_peg_1114	Rrec_peg_669	Rsou_peg_1605	Vdia_peg_1008	Vext_peg_995	COSY_0954	Vgig2_peg_982	Vsoy2_peg_207
MS2017_0097	SP60_03815	Rmag_1055	Rpac_peg_862	Rpha_peg_921	Rple_peg_1116	Rrec_peg_671	Rsou_peg_1606	Vdia_peg_1007	Vext_peg_994	COSY_0955	Vgig2_peg_981	Vsoy2_peg_208
MS2017_0101	SP60_03840	Rmag_1057	Rpac_peg_864	Rpha_peg_959	Rple_peg_1122	Rrec_peg_673	Rsou_peg_536	Vdia_peg_1006	Vext_peg_993	COSY_0956	Vgig2_peg_980	Vsoy2_peg_209
MS2017_0102	SP60_03845	Rmag_1058	Rpac_peg_865	Rpha_peg_960	Rple_peg_1123	Rrec_peg_674	Rsou_peg_535	Vdia_peg_1005	Vext_peg_992	COSY_0957	Vgig2_peg_979	Vsoy2_peg_210
MS2017_0103	SP60_03850	Rmag_1059	Rpac_peg_866	Rpha_peg_961	Rple_peg_1124	Rrec_peg_675	Rsou_peg_534	Vdia_peg_1004	Vext_peg_991	COSY_0958	Vgig2_peg_978	Vsoy2_peg_211
MS2017_0104	SP60_03855	Rmag_1060	Rpac_peg_867	Rpha_peg_962	Rple_peg_1125	Rrec_peg_676	Rsou_peg_533	Vdia_peg_1003	Vext_peg_990	COSY_0959	Vgig2_peg_977	Vsoy2_peg_212
MS2017_0107	SP60_03860	Rmag_1061	Rpac_peg_868	Rpha_peg_963	Rple_peg_1126	Rrec_peg_677	Rsou_peg_532	Vdia_peg_1002	Vext_peg_989	COSY_0960	Vgig2_peg_976	Vsoy2_peg_213
MS2017_0108	SP60_03865	Rmag_1062	Rpac_peg_869	Rpha_peg_964	Rple_peg_1127	Rrec_peg_678	Rsou_peg_531	Vdia_peg_1001	Vext_peg_988	COSY_0961	Vgig2_peg_975	Vsoy2_peg_214
MS2017_0113	SP60_03870	Rmag_1063	Rpac_peg_872	Rpha_peg_965	Rple_peg_1128	Rrec_peg_681	Rsou_peg_525	Vdia_peg_1000	Vext_peg_987	COSY_0962	Vgig2_peg_974	Vsoy2_peg_215
MS2017_0114	SP60_03875	Rmag_1064	Rpac_peg_873	Rpha_peg_966	Rple_peg_1129	Rrec_peg_682	Rsou_peg_524	Vdia_peg_999	Vext_peg_986	COSY_0963	Vgig2_peg_973	Vsoy2_peg_216
MS2017_0116	SP60_03885	Rmag_1066	Rpac_peg_875	Rpha_peg_968	Rple_peg_1131	Rrec_peg_684	Rsou_peg_522	Vdia_peg_997	Vext_peg_984	COSY_0965	Vgig2_peg_971	Vsoy2_peg_217
MS2017_0117	SP60_03890	Rmag_1067	Rpac_peg_876	Rpha_peg_970	Rple_peg_1132	Rrec_peg_685	Rsou_peg_521	Vdia_peg_996	Vext_peg_983	COSY_0966	Vgig2_peg_970	Vsoy2_peg_218
MS2017_0118	SP60_03895	Rmag_1068	Rpac_peg_877	Rpha_peg_971	Rple_peg_1133	Rrec_peg_686	Rsou_peg_520	Vdia_peg_995	Vext_peg_982	COSY_0967	Vgig2_peg_969	Vsoy2_peg_219
MS2017_0119	SP60_03900	Rmag_1069	Rpac_peg_878	Rpha_peg_972	Rple_peg_1134	Rrec_peg_687	Rsou_peg_519	Vdia_peg_994	Vext_peg_981	COSY_0968	Vgig2_peg_968	Vsoy2_peg_220
MS2017_0130	SP60_03905	Rmag_1070	Rpac_peg_879	Rpha_peg_973	Rple_peg_1135	Rrec_peg_688	Rsou_peg_518	Vdia_peg_993	Vext_peg_980	COSY_0969	Vgig2_peg_967	Vsoy2_peg_221
MS2017_0131	SP60_03910	Rmag_1071	Rpac_peg_880	Rpha_peg_974	Rple_peg_1136	Rrec_peg_689	Rsou_peg_517	Vdia_peg_992	Vext_peg_979	COSY_0970	Vgig2_peg_966	Vsoy2_peg_222
MS2017_0132	SP60_03915	Rmag_1072	Rpac_peg_883	Rpha_peg_984	Rple_peg_1137	Rrec_peg_690	Rsou_peg_516	Vdia_peg_991	Vext_peg_978	COSY_0971	Vgig2_peg_965	Vsoy2_peg_223
MS2017_0133	SP60_03920	Rmag_1073	Rpac_peg_884	Rpha_peg_985	Rple_peg_1138	Rrec_peg_691	Rsou_peg_515	Vdia_peg_990	Vext_peg_977	COSY_0972	Vgig2_peg_964	Vsoy2_peg_224
MS2017_0134	SP60_03575	Rmag_1018	Rpac_peg_813	Rpha_peg_860	Rple_peg_1057	Rrec_peg_616	Rsou_peg_414	Vdia_peg_40	Vext_peg_37	COSY_0919	Vgig2_peg_821	Vsoy2_peg_170
MS2017_0141	SP60_03560	Rmag_1016	Rpac_peg_801	Rpha_peg_849	Rple_peg_1049	Rrec_peg_611	Rsou_peg_423	Vdia_peg_41	Vext_peg_38	COSY_0918	Vgig2_peg_820	Vsoy2_peg_169
MS2017_0142	SP60_03555	Rmag_1015	Rpac_peg_800	Rpha_peg_848	Rple_peg_1048	Rrec_peg_610	Rsou_peg_424	Vdia_peg_42	Vext_peg_39	COSY_0917	Vgig2_peg_819	Vsoy2_peg_168
MS2017_0145	SP60_03550	Rmag_1014	Rpac_peg_799	Rpha_peg_847	Rple_peg_1047	Rrec_peg_608	Rsou_peg_425	Vdia_peg_43	Vext_peg_40	COSY_0916	Vgig2_peg_818	Vsoy2_peg_167
MS2017_0146	SP60_03545	Rmag_1013	Rpac_peg_798	Rpha_peg_846	Rple_peg_1046	Rrec_peg_607	Rsou_peg_426	Vdia_peg_44	Vext_peg_41	COSY_0915	Vgig2_peg_817	Vsoy2_peg_166
MS2017_0147	SP60_03540	Rmag_1012	Rpac_peg_797	Rpha_peg_845	Rple_peg_1045	Rrec_peg_606	Rsou_peg_427	Vdia_peg_45	Vext_peg_42	COSY_0914	Vgig2_peg_816	Vsoy2_peg_165
MS2017_0148	SP60_03535	Rmag_1011	Rpac_peg_795	Rpha_peg_844	Rple_peg_1042	Rrec_peg_604	Rsou_peg_428	Vdia_peg_46	Vext_peg_43	COSY_0913	Vgig2_peg_815	Vsoy2_peg_164
MS2017_0156	SP60_03470	Rmag_1009	Rpac_peg_791	Rpha_peg_840	Rple_peg_1032	Rrec_peg_600	Rsou_peg_432	Vdia_peg_49	Vext_peg_46	COSY_0905	Vgig2_peg_812	Vsoy2_peg_161
MS2017_0157	SP60_03465	Rmag_1008	Rpac_peg_790	Rpha_peg_839	Rple_peg_1031	Rrec_peg_599	Rsou_peg_433	Vdia_peg_50	Vext_peg_47	COSY_0904	Vgig2_peg_811	Vsoy2_peg_160
MS2017_0158	SP60_03460	Rmag_1007	Rpac_peg_789	Rpha_peg_838	Rple_peg_1030	Rrec_peg_598	Rsou_peg_434	Vdia_peg_51	Vext_peg_48	COSY_0903	Vgig2_peg_810	Vsoy2_peg_159
MS2017_0159	SP60_03455	Rmag_1006	Rpac_peg_788	Rpha_peg_837	Rple_peg_1029	Rrec_peg_597	Rsou_peg_435	Vdia_peg_52	Vext_peg_49	COSY_0902	Vgig2_peg_809	Vsoy2_peg_158
MS2017_0160	SP60_03450	Rmag_1005	Rpac_peg_787	Rpha_peg_836	Rple_peg_1028	Rrec_peg_596	Rsou_peg_436	Vdia_peg_53	Vext_peg_50	COSY_0901	Vgig2_peg_808	Vsoy2_peg_157
MS2017_0161	SP60_03445	Rmag_1004	Rpac_peg_786	Rpha_peg_835	Rple_peg_1027	Rrec_peg_595	Rsou_peg_437	Vdia_peg_54	Vext_peg_51	COSY_0900	Vgig2_peg_807	Vsoy2_peg_156
MS2017_0162	SP60_03440	Rmag_1003	Rpac_peg_785	Rpha_peg_834	Rple_peg_1026	Rrec_peg_594	Rsou_peg_438	Vdia_peg_55	Vext_peg_52	COSY_0899	Vgig2_peg_806	Vsoy2_peg_155
MS2017_0163	SP60_03435	Rmag_1002	Rpac_peg_784	Rpha_peg_833	Rple_peg_1025	Rrec_peg_593	Rsou_peg_439	Vdia_peg_56	Vext_peg_53	COSY_0898	Vgig2_peg_805	Vsoy2_peg_154
MS2017_0164	SP60_03430	Rmag_1001	Rpac_peg_783	Rpha_peg_832	Rple_peg_1024	Rrec_peg_592	Rsou_peg_440	Vdia_peg_57	Vext_peg_54	COSY_0897	Vgig2_peg_804	Vsoy2_peg_153
MS2017_0165	SP60_03425	Rmag_1000	Rpac_peg_782	Rpha_peg_831	Rple_peg_1023	Rrec_peg_591	Rsou_peg_441	Vdia_peg_58	Vext_peg_55	COSY_0896	Vgig2_peg_803	Vsoy2_peg_152
MS2017_0166	SP60_03420	Rmag_0999	Rpac_peg_781	Rpha_peg_830	Rple_peg_1022	Rrec_peg_590	Rsou_peg_442	Vdia_peg_59	Vext_peg_56	COSY_0895	Vgig2_peg_802	Vsoy2_peg_151
MS2017_0167	SP60_03415	Rmag_0998	Rpac_peg_780	Rpha_peg_829	Rple_peg_1021	Rrec_peg_589	Rsou_peg_443	Vdia_peg_60	Vext_peg_57	COSY_0894	Vgig2_peg_801	Vsoy2_peg_150
MS2017_0168	SP60_03410	Rmag_0997	Rpac_peg_779	Rpha_peg_828	Rple_peg_1020	Rrec_peg_588	Rsou_peg_444	Vdia_peg_61	Vext_peg_58	COSY_0893	Vgig2_peg_800	Vsoy2_peg_149
MS2017_0174	SP60_03405	Rmag_0996	Rpac_peg_778	Rpha_peg_827	Rple_peg_1019	Rrec_peg_586	Rsou_peg_446	Vdia_peg_64	Vext_peg_60	COSY_0892	Vgig2_peg_799	Vsoy2_peg_148
MS2017_0177	SP60_03400	Rmag_0995	Rpac_peg_777	Rpha_peg_826	Rple_peg_1018	Rrec_peg_585	Rsou_peg_447	Vdia_peg_65	Vext_peg_61	COSY_0891	Vgig2_peg_798	Vsoy2_peg_147
MS2017_0178	SP60_03280	Rmag_0994	Rpac_peg_776	Rpha_peg_1629	Rple_peg_1012	Rrec_peg_579	Rsou_peg_1736	Vdia_peg_66	Vext_peg_62	COSY_0889	Vgig2_peg_797	Vsoy2_peg_146
MS2017_0179	SP60_03275	Rmag_0993	Rpac_peg_775	Rpha_peg_1630	Rple_peg_1011	Rrec_peg_578	Rsou_peg_1737	Vdia_peg_67	Vext_peg_63	COSY_0888	Vgig2_peg_796	Vsoy2_peg_145
MS2017_0182	SP60_03270	Rmag_0992	Rpac_peg_774	Rpha_peg_1631	Rple_peg_1010	Rrec_peg_577	Rsou_peg_1738	Vdia_peg_68	Vext_peg_64	COSY_0887	Vgig2_peg_795	Vsoy2_peg_144
MS2017_0183	SP60_03265	Rmag_0991	Rpac_peg_773	Rpha_peg_1632	Rple_peg_1009	Rrec_peg_576	Rsou_peg_1739	Vdia_peg_69	Vext_peg_65	COSY_0886	Vgig2_peg_794	Vsoy2_peg_143
MS2017_0184	SP60_03260	Rmag_0990	Rpac_peg_772	Rpha_peg_1633	Rple_peg_1008	Rrec_peg_575	Rsou_peg_1740	Vdia_peg_70	Vext_peg_66	COSY_0885	Vgig2_peg_793	Vsoy2_peg_142
MS2017_0185	SP60_03255	Rmag_0989	Rpac_peg_771	Rpha_peg_1634	Rple_peg_1007	Rrec_peg_574	Rsou_peg_1741	Vdia_peg_71	Vext_peg_67	COSY_0884	Vgig2_peg_792	Vsoy2_peg_141
MS2017_0188	SP60_03245	Rmag_0987	Rpac_peg_769	Rpha_peg_1636	Rple_peg_1005	Rrec_peg_572	Rsou_peg_1743	Vdia_peg_73	Vext_peg_69	COSY_0882	Vgig2_peg_790	Vsoy2_peg_139
MS2017_0189	SP60_03240	Rmag_0984	Rpac_peg_766	Rpha_peg_1639	Rple_peg_1002	Rrec_peg_569	Rsou_peg_1746	Vdia_peg_74	Vext_peg_70	COSY_0881	Vgig2_peg_789	Vsoy2_peg_138
MS2017_0191	SP60_03230	Rmag_0982	Rpac_peg_764	Rpha_peg_1303	Rple_peg_1000	Rrec_peg_567	Rsou_peg_1748	Vdia_peg_75	Vext_peg_71	COSY_0880	Vgig2_peg_788	Vsoy2_peg_137
MS2017_0192	SP60_03225	Rmag_0981	Rpac_peg_762	Rpha_peg_1305	Rple_peg_998	Rrec_peg_566	Rsou_peg_1750	Vdia_peg_76	Vext_peg_72	COSY_0879	Vgig2_peg_787	Vsoy2_peg_135
MS2017_0193	SP60_03220	Rmag_0980	Rpac_peg_761	Rpha_peg_1306	Rple_peg_997	Rrec_peg_565	Rsou_peg_1751	Vdia_peg_77	Vext_peg_73	COSY_0878	Vgig2_peg_786	Vsoy2_peg_134
MS2017_0204	SP60_03210	Rmag_0977	Rpac_peg_757	Rpha_peg_1322	Rple_peg_986	Rrec_peg_548	Rsou_peg_597	Vdia_peg_78	Vext_peg_74	COSY_0877	Vgig2_peg_785	Vsoy2_peg_133
MS2017_0205	SP60_03205	Rmag_0976	Rpac_peg_756	Rpha_peg_1323	Rple_peg_985	Rrec_peg_547	Rsou_peg_598	Vdia_peg_79	Vext_peg_75	COSY_0876	Vgig2_peg_784	Vsoy2_peg_132
MS2017_0206	SP60_03200	Rmag_0975	Rpac_peg_755	Rpha_peg_1324	Rple_peg_984	Rrec_peg_546	Rsou_peg_599	Vdia_peg_80	Vext_peg_76	COSY_0875	Vgig2_peg_783	Vsoy2_peg_131
MS2017_0207	SP60_03190	Rmag_0973	Rpac_peg_753	Rpha_peg_1326	Rple_peg_982	Rrec_peg_544	Rsou_peg_601	Vdia_peg_82	Vext_peg_78	COSY_0873	Vgig2_peg_781	Vsoy2_peg_129
MS2017_0208	SP60_03185	Rmag_0972	Rpac_peg_752	Rpha_peg_1327	Rple_peg_981	Rrec_peg_543	Rsou_peg_602	Vdia_peg_83	Vext_peg_79	COSY_0872	Vgig2_peg_780	Vsoy2_peg_128
MS2017_0209	SP60_03180	Rmag_0971	Rpac_peg_748	Rpha_peg_1334	Rple_peg_978	Rrec_peg_537	Rsou_peg_1511	Vdia_peg_84	Vext_peg_80	COSY_0871	Vgig2_peg_779	Vsoy2_peg_127
MS2017_0220	SP60_03140	Rmag_0969	Rpac_peg_745	Rpha_peg_1337	Rple_peg_975	Rrec_peg_534	Rsou_peg_1508	Vdia_peg_86	Vext_peg_82	COSY_0869	Vgig2_peg_777	Vsoy2_peg_125
MS2017_0223	SP60_03125	Rmag_0967	Rpac_peg_740	Rpha_peg_1342	Rple_peg_970	Rrec_peg_533	Rsou_peg_1505	Vdia_peg_87	Vext_peg_83	COSY_0868	Vgig2_peg_752	Vsoy2_peg_124
MS2017_0224	SP60_03120	Rmag_0966	Rpac_peg_739	Rpha_peg_1343	Rple_peg_969	Rrec_peg_532	Rsou_peg_1504	Vdia_peg_88	Vext_peg_84	COSY_0867	Vgig2_peg_753	Vsoy2_peg_123
MS2017_0226	SP60_03115	Rmag_0965	Rpac_peg_738	Rpha_peg_1344	Rple_peg_968	Rrec_peg_531	Rsou_peg_1503	Vdia_peg_89	Vext_peg_85	COSY_0866	Vgig2_peg_754	Vsoy2_peg_122
MS2017_0227	SP60_03110	Rmag_0964	Rpac_peg_737	Rpha_peg_1345	Rple_peg_967	Rrec_peg_530	Rsou_peg_1502	Vdia_peg_90	Vext_peg_86	COSY_0865	Vgig2_peg_755	Vsoy2_peg_121
MS2017_0234	SP60_03105	Rmag_0963	Rpac_peg_736	Rpha_peg_1346	Rple_peg_966	Rrec_peg_529	Rsou_peg_1501	Vdia_peg_91	Vext_peg_87	COSY_0864	Vgig2_peg_756	Vsoy2_peg_120
MS2017_0235	SP60_03100	Rmag_0962	Rpac_peg_735	Rpha_peg_1347	Rple_peg_965	Rrec_peg_528	Rsou_peg_1500	Vdia_peg_92	Vext_peg_88	COSY_0863	Vgig2_peg_757	Vsoy2_peg_119
MS2017_0238	SP60_03085	Rmag_0958	Rpac_peg_730	Rpha_peg_1352	Rple_peg_958	Rrec_peg_522	Rsou_peg_1495	Vdia_peg_97	Vext_peg_93	COSY_0858	Vgig2_peg_762	Vsoy2_peg_114
MS2017_0239	SP60_03080	Rmag_0957	Rpac_peg_729	Rpha_peg_1353	Rple_peg_957	Rrec_peg_521	Rsou_peg_1494	Vdia_peg_98	Vext_peg_94	COSY_0857	Vgig2_peg_763	Vsoy2_peg_113
MS2017_0240	SP60_03075	Rmag_0956	Rpac_peg_728	Rpha_peg_1354	Rple_peg_956	Rrec_peg_520	Rsou_peg_1493	Vdia_peg_99	Vext_peg_95	COSY_0856	Vgig2_peg_764	Vsoy2_peg_112
MS2017_0241	SP60_03070	Rmag_0955	Rpac_peg_727	Rpha_peg_1355	Rple_peg_955	Rrec_peg_519	Rsou_peg_1492	Vdia_peg_100	Vext_peg_96	COSY_0855	Vgig2_peg_765	Vsoy2_peg_111
MS2017_0242	SP60_03065	Rmag_0954	Rpac_peg_726	Rpha_peg_1356	Rple_peg_954	Rrec_peg_518	Rsou_peg_1491	Vdia_peg_101	Vext_peg_97	COSY_0854	Vgig2_peg_766	Vsoy2_peg_110
MS2017_0244	SP60_03060	Rmag_0953	Rpac_peg_725	Rpha_peg_1357	Rple_peg_953	Rrec_peg_517	Rsou_peg_1490	Vdia_peg_102	Vext_peg_98	COSY_0853	Vgig2_peg_767	Vsoy2_peg_109
MS2017_0245	SP60_03055	Rmag_0952	Rpac_peg_724	Rpha_peg_1358	Rple_peg_952	Rrec_peg_516	Rsou_peg_1489	Vdia_peg_103	Vext_peg_99	COSY_0852	Vgig2_peg_768	Vsoy2_peg_108
MS2017_0250	SP60_03050	Rmag_0951	Rpac_peg_723	Rpha_peg_1360	Rple_peg_949	Rrec_peg_514	Rsou_peg_1487	Vdia_peg_104	Vext_peg_100	COSY_0851	Vgig2_peg_769	Vsoy2_peg_107
MS2017_0252	SP60_03045	Rmag_0950	Rpac_peg_721	Rpha_peg_1362	Rple_peg_947	Rrec_peg_513	Rsou_peg_1485	Vdia_peg_106	Vext_peg_102	COSY_0849	Vgig2_peg_771	Vsoy2_peg_105
MS2017_0253	SP60_03040	Rmag_0949	Rpac_peg_720	Rpha_peg_1363	Rple_peg_946	Rrec_peg_512	Rsou_peg_1484	Vdia_peg_107	Vext_peg_103	COSY_0848	Vgig2_peg_772	Vsoy2_peg_104
MS2017_0256	SP60_03030	Rmag_0947	Rpac_peg_716	Rpha_peg_1367	Rple_peg_941	Rrec_peg_511	Rsou_peg_1479	Vdia_peg_108	Vext_peg_104	COSY_0847	Vgig2_peg_773	Vsoy2_peg_103
MS2017_0257	SP60_03025	Rmag_0946	Rpac_peg_715	Rpha_peg_1368	Rple_peg_940	Rrec_peg_510	Rsou_peg_1478	Vdia_peg_109	Vext_peg_105	COSY_0846	Vgig2_peg_774	Vsoy2_peg_102
MS2017_0261	SP60_03020	Rmag_0944	Rpac_peg_713	Rpha_peg_1380	Rple_peg_933	Rrec_peg_507	Rsou_peg_1473	Vdia_peg_110	Vext_peg_106	COSY_0845	Vgig2_peg_775	Vsoy2_peg_100
MS2017_0263	SP60_03015	Rmag_0942	Rpac_peg_709	Rpha_peg_1382	Rple_peg_929	Rrec_peg_504	Rsou_peg_1471	Vdia_peg_111	Vext_peg_107	COSY_0844	Vgig2_peg_776	Vsoy2_peg_99
MS2017_0276	SP60_02995	Rmag_0936	Rpac_peg_702	Rpha_peg_1394	Rple_peg_917	Rrec_peg_499	Rsou_peg_1281	Vdia_peg_113	Vext_peg_108	COSY_0843	Vgig2_peg_751	Vsoy2_peg_98
MS2017_0277	SP60_02990	Rmag_0935	Rpac_peg_701	Rpha_peg_1395	Rple_peg_916	Rrec_peg_498	Rsou_peg_1280	Vdia_peg_114	Vext_peg_109	COSY_0842	Vgig2_peg_750	Vsoy2_peg_97
MS2017_0280	SP60_02975	Rmag_0934	Rpac_peg_699	Rpha_peg_1400	Rple_peg_911	Rrec_peg_496	Rsou_peg_1277	Vdia_peg_116	Vext_peg_111	COSY_0840	Vgig2_peg_748	Vsoy2_peg_95
MS2017_0282	SP60_02965	Rmag_0932	Rpac_peg_697	Rpha_peg_1402	Rple_peg_909	Rrec_peg_494	Rsou_peg_1274	Vdia_peg_118	Vext_peg_113	COSY_0838	Vgig2_peg_746	Vsoy2_peg_93
MS2017_0283	SP60_02960	Rmag_0931	Rpac_peg_696	Rpha_peg_1403	Rple_peg_908	Rrec_peg_493	Rsou_peg_1273	Vdia_peg_119	Vext_peg_114	COSY_0837	Vgig2_peg_745	Vsoy2_peg_92
MS2017_0286	SP60_02950	Rmag_0929	Rpac_peg_694	Rpha_peg_1405	Rple_peg_906	Rrec_peg_491	Rsou_peg_1271	Vdia_peg_120	Vext_peg_115	COSY_0836	Vgig2_peg_744	Vsoy2_peg_91
MS2017_0287	SP60_02945	Rmag_0928	Rpac_peg_693	Rpha_peg_1406	Rple_peg_905	Rrec_peg_490	Rsou_peg_1270	Vdia_peg_121	Vext_peg_116	COSY_0835	Vgig2_peg_743	Vsoy2_peg_90
