	CDC	GC	GC1	GC2	GC3	Genome	P(CDC)	gene_id	locus_tag
27	0.169271	0.346154	0.369231	0.392308	0.276923	V.okutanii	0.0624	Rmag_0050	COSY_0054
28	0.103709	0.303125	0.40625	0.296875	0.20625	V.okutanii	0.0	Rmag_0051	COSY_0055
29	0.170204	0.313725	0.411765	0.30719	0.222222	V.okutanii	0.002	Rmag_0052	COSY_0057
30	0.144882	0.367957	0.566191	0.307536	0.230143	V.okutanii	0.0	Rmag_0053	COSY_0058
31	0.104487	0.374642	0.547239	0.344785	0.231902	V.okutanii	0.0	Rmag_0054	COSY_0059
32	0.168572	0.333333	0.447368	0.342105	0.210526	V.okutanii	0.1792	Rmag_0055	COSY_0060
33	0.102044	0.333333	0.480851	0.319149	0.2	V.okutanii	0.0282	Rmag_0058	COSY_0063
34	0.127254	0.263682	0.368159	0.253731	0.169154	V.okutanii	0.0012	Rmag_0061	COSY_0065
35	0.152681	0.382249	0.518911	0.417549	0.210287	V.okutanii	0.0	Rmag_0062	COSY_0070
36	0.132233	0.352467	0.477341	0.407855	0.172205	V.okutanii	0.0	Rmag_0063	COSY_0071
37	0.161205	0.385204	0.538265	0.382653	0.234694	V.okutanii	0.0	Rmag_0065	COSY_0072
38	0.108224	0.343056	0.485417	0.366667	0.177083	V.okutanii	0.0	Rmag_0066	COSY_0073
39	0.178579	0.375826	0.515581	0.388102	0.223796	V.okutanii	0.0	Rmag_0067	COSY_0074
40	0.0933206	0.355341	0.481481	0.383253	0.201288	V.okutanii	0.0	Rmag_0068	COSY_0075
41	0.099831	0.270677	0.37594	0.221805	0.214286	V.okutanii	0.0022	Rmag_0070	COSY_0076
42	0.0976702	0.326823	0.457031	0.328125	0.195312	V.okutanii	0.023	Rmag_0071	COSY_0077
43	0.0967776	0.314631	0.452145	0.29703	0.194719	V.okutanii	0.0024	Rmag_0072	COSY_0078
44	0.133972	0.295271	0.366782	0.301038	0.217993	V.okutanii	0.0	Rmag_0073	COSY_0079
45	0.0811394	0.360394	0.487085	0.387454	0.206642	V.okutanii	0.1332	Rmag_0074	COSY_0080
46	0.130355	0.319386	0.472803	0.267782	0.217573	V.okutanii	0.0008	Rmag_0077	COSY_0083
47	0.0922377	0.304364	0.435644	0.288229	0.189219	V.okutanii	0.0	Rmag_0078	COSY_0084
48	0.0976779	0.321678	0.461538	0.295455	0.208042	V.okutanii	0.0	Rmag_0079	COSY_0085
49	0.108057	0.302715	0.410038	0.278409	0.219697	V.okutanii	0.0	Rmag_0080	COSY_0086
50	0.115802	0.310881	0.46114	0.284974	0.186528	V.okutanii	0.0354	Rmag_0082	COSY_0087
51	0.0655483	0.261287	0.357349	0.236311	0.190202	V.okutanii	0.0158	Rmag_0083	COSY_0088
52	0.114438	0.353234	0.472637	0.368159	0.218905	V.okutanii	0.0	Rmag_0085	COSY_0089
53	0.129287	0.33564	0.415225	0.370242	0.221453	V.okutanii	0.0	Rmag_0086	COSY_0090
54	0.173325	0.371069	0.496855	0.408805	0.207547	V.okutanii	0.0046	Rmag_0087	COSY_0091
55	0.154319	0.388623	0.532695	0.408293	0.22488	V.okutanii	0.0	Rmag_0088	COSY_0092
56	0.142286	0.3257	0.442748	0.328244	0.206107	V.okutanii	0.1606	Rmag_0089	COSY_0093
57	0.126622	0.315476	0.517857	0.232143	0.196429	V.okutanii	0.011	Rmag_0090	COSY_0094
58	0.121128	0.270655	0.358974	0.282051	0.17094	V.okutanii	0.3968	Rmag_0091	COSY_0095
59	0.167122	0.363929	0.480676	0.39372	0.217391	V.okutanii	0.0	Rmag_0094	COSY_0098
60	0.0656057	0.336941	0.424242	0.309524	0.277056	V.okutanii	0.0096	Rmag_0097	COSY_0100
61	0.139031	0.356784	0.547739	0.331658	0.190955	V.okutanii	0.0044	Rmag_0098	COSY_0101
62	0.141206	0.368914	0.525281	0.365169	0.216292	V.okutanii	0.0	Rmag_0099	COSY_0103
63	0.155274	0.309392	0.430939	0.287293	0.209945	V.okutanii	0.0006	Rmag_0101	COSY_0105
64	0.0952013	0.341404	0.489104	0.346247	0.188862	V.okutanii	0.0002	Rmag_0103	COSY_0106
65	0.151483	0.296667	0.43	0.24	0.22	V.okutanii	0.2836	Rmag_0104	COSY_0107
66	0.127992	0.32687	0.415512	0.3241	0.240997	V.okutanii	0.0	Rmag_0105	COSY_0108
67	0.103811	0.310105	0.428571	0.320557	0.181185	V.okutanii	0.001	Rmag_0106	COSY_0109
68	0.106001	0.324359	0.396154	0.342308	0.234615	V.okutanii	0.017	Rmag_0107	COSY_0110
69	0.144577	0.346048	0.502488	0.31675	0.218905	V.okutanii	0.0	Rmag_0108	COSY_0112
70	0.0964268	0.371188	0.504732	0.388013	0.22082	V.okutanii	0.003	Rmag_0109	COSY_0113
71	0.149879	0.322284	0.425414	0.292818	0.248619	V.okutanii	0.0066	Rmag_0111	COSY_0116
72	0.100598	0.336283	0.474926	0.351032	0.182891	V.okutanii	0.0	Rmag_0112	COSY_0117
73	0.0899366	0.316872	0.42963	0.28642	0.234568	V.okutanii	0.0	Rmag_0113	COSY_0118
74	0.140315	0.353939	0.44	0.374545	0.247273	V.okutanii	0.0	Rmag_0116	COSY_0121
75	0.15948	0.310576	0.413655	0.293173	0.2249	V.okutanii	0.0	Rmag_0117	COSY_0122
76	0.0832496	0.341424	0.468447	0.354369	0.201456	V.okutanii	0.0004	Rmag_0118	COSY_0123
77	0.0964324	0.333824	0.435294	0.326471	0.239706	V.okutanii	0.0	Rmag_0120	COSY_0124
78	0.129543	0.294253	0.462069	0.213793	0.206897	V.okutanii	0.0728	Rmag_0121	COSY_0125
79	0.0973432	0.309402	0.397436	0.282051	0.248718	V.okutanii	0.0002	Rmag_0122	COSY_0126
80	0.152624	0.339545	0.484472	0.332298	0.201863	V.okutanii	0.0	Rmag_0123	COSY_0127
81	0.26454	0.333333	0.434211	0.355263	0.210526	V.okutanii	0.0104	Rmag_0126	COSY_0131
82	0.106827	0.338073	0.43128	0.35545	0.227488	V.okutanii	0.0	Rmag_0127	COSY_0132
83	0.14022	0.317259	0.43401	0.291878	0.225888	V.okutanii	0.0	Rmag_0132	COSY_0134
84	0.0896988	0.3572	0.472554	0.377088	0.221957	V.okutanii	0.0002	Rmag_0133	COSY_0135
85	0.118293	0.284169	0.415929	0.268437	0.168142	V.okutanii	0.0	Rmag_0134	COSY_0136
86	0.132594	0.265766	0.337838	0.297297	0.162162	V.okutanii	0.0446	Rmag_0135	COSY_0137
87	0.128663	0.359896	0.5125	0.373437	0.19375	V.okutanii	0.0	Rmag_0136	COSY_0138
88	0.109761	0.327091	0.47191	0.325843	0.183521	V.okutanii	0.0018	Rmag_0137	COSY_0139
89	0.0975945	0.343915	0.480726	0.353741	0.197279	V.okutanii	0.0	Rmag_0138	COSY_0140
90	0.203968	0.338569	0.403141	0.366492	0.246073	V.okutanii	0.0	Rmag_0139	COSY_0142
91	0.162587	0.362799	0.508287	0.375691	0.20442	V.okutanii	0.0022	Rmag_0140	COSY_0143
92	0.0918725	0.326613	0.459677	0.330645	0.189516	V.okutanii	0.0	Rmag_0141	COSY_0144
93	0.127059	0.320594	0.394904	0.363057	0.203822	V.okutanii	0.0	Rmag_0142	COSY_0145
94	0.0979034	0.310116	0.422886	0.293532	0.21393	V.okutanii	0.2116	Rmag_0143	COSY_0146
95	0.129206	0.307292	0.386719	0.296875	0.238281	V.okutanii	0.0002	Rmag_0144	COSY_0148
96	0.150071	0.385236	0.480969	0.429066	0.245675	V.okutanii	0.0	Rmag_0145	COSY_0149
97	0.10648	0.330743	0.479275	0.313472	0.199482	V.okutanii	0.0	Rmag_0146	COSY_0150
98	0.113755	0.331551	0.470588	0.320856	0.203209	V.okutanii	0.0678	Rmag_0147	COSY_0151
99	0.110626	0.377171	0.533499	0.372208	0.225806	V.okutanii	0.0	Rmag_0151	COSY_0154
100	0.110315	0.314236	0.359375	0.364583	0.21875	V.okutanii	0.0998	Rmag_0152	COSY_0157
101	0.0970461	0.316119	0.420188	0.323944	0.204225	V.okutanii	0.0	Rmag_0153	COSY_0159
102	0.131619	0.357711	0.486486	0.372019	0.214626	V.okutanii	0.0	Rmag_0156	COSY_0161
103	0.157387	0.351738	0.460123	0.377301	0.217791	V.okutanii	0.0	Rmag_0158	COSY_0163
104	0.183951	0.392473	0.508065	0.467742	0.201613	V.okutanii	0.037	Rmag_0160	COSY_0164
105	0.215086	0.354839	0.490323	0.393548	0.180645	V.okutanii	0.0002	Rmag_0161	COSY_0165
106	0.134731	0.371429	0.554286	0.37	0.19	V.okutanii	0.0	Rmag_0162	COSY_0166
107	0.211736	0.352751	0.456311	0.368932	0.23301	V.okutanii	0.022	Rmag_0164	COSY_0168
108	0.12133	0.351314	0.497925	0.348548	0.207469	V.okutanii	0.001	Rmag_0165	COSY_0169
109	0.147545	0.351307	0.47549	0.372549	0.205882	V.okutanii	0.001	Rmag_0166	COSY_0170
110	0.179027	0.333333	0.385417	0.322917	0.291667	V.okutanii	0.1252	Rmag_0167	COSY_0171
111	0.14	0.394928	0.51087	0.485507	0.188406	V.okutanii	0.0	Rmag_0168	COSY_0172
112	0.155498	0.370787	0.505618	0.393258	0.213483	V.okutanii	0.9194	Rmag_0169	COSY_0173
113	0.175909	0.324242	0.427273	0.354545	0.190909	V.okutanii	0.0372	Rmag_0170	COSY_0174
114	0.20006	0.342029	0.495652	0.356522	0.173913	V.okutanii	0.0	Rmag_0171	COSY_0175
115	0.248982	0.389706	0.507353	0.433824	0.227941	V.okutanii	0.0	Rmag_0172	COSY_0176
116	0.260708	0.27957	0.387097	0.241935	0.209677	V.okutanii	0.0542	Rmag_0173	COSY_0177
117	0.172571	0.30303	0.454545	0.318182	0.136364	V.okutanii	0.1724	Rmag_0174	COSY_0178
118	0.202669	0.39071	0.565574	0.409836	0.196721	V.okutanii	0.0036	Rmag_0175	COSY_0179
119	0.145018	0.31068	0.38835	0.330097	0.213592	V.okutanii	0.2426	Rmag_0176	COSY_0180
120	0.176534	0.310987	0.413408	0.351955	0.167598	V.okutanii	0.0002	Rmag_0177	COSY_0181
121	0.242488	0.376238	0.435644	0.435644	0.257426	V.okutanii	0.0112	Rmag_0178	COSY_0182
122	0.160121	0.328244	0.442748	0.328244	0.21374	V.okutanii	0.0532	Rmag_0179	COSY_0183
123	0.165946	0.335175	0.430939	0.381215	0.19337	V.okutanii	0.0002	Rmag_0180	COSY_0184
124	0.254902	0.35942	0.478261	0.426087	0.173913	V.okutanii	0.0	Rmag_0181	COSY_0185
125	0.158622	0.37232	0.555556	0.403509	0.157895	V.okutanii	0.0012	Rmag_0182	COSY_0186
126	0.194917	0.316667	0.3875	0.3375	0.225	V.okutanii	0.2636	Rmag_0183	COSY_0187
127	0.222347	0.354167	0.4375	0.451389	0.173611	V.okutanii	0.0	Rmag_0184	COSY_0188
128	0.173561	0.342571	0.394919	0.408776	0.224018	V.okutanii	0.0	Rmag_0185	COSY_0189
129	0.189079	0.356125	0.512821	0.410256	0.145299	V.okutanii	0.014	Rmag_0187	COSY_0191
130	0.219802	0.401042	0.46875	0.515625	0.21875	V.okutanii	0.0012	Rmag_0188	COSY_0192
131	0.166201	0.360577	0.490385	0.379808	0.211538	V.okutanii	0.0	Rmag_0189	COSY_0193
132	0.136211	0.350716	0.515337	0.346626	0.190184	V.okutanii	0.0	Rmag_0190	COSY_0194
133	0.200146	0.340967	0.427481	0.450382	0.145038	V.okutanii	0.0018	Rmag_0191	COSY_0195
134	0.293305	0.380282	0.464789	0.408451	0.267606	V.okutanii	0.0214	Rmag_0192	COSY_0196
135	0.106118	0.30226	0.449153	0.29096	0.166667	V.okutanii	0.0	Rmag_0197	COSY_0197
136	0.104852	0.305085	0.37046	0.305085	0.239709	V.okutanii	0.0	Rmag_0199	COSY_0198
137	0.18797	0.365159	0.492462	0.331658	0.271357	V.okutanii	0.0	Rmag_0200	COSY_0199
138	0.217086	0.368056	0.46875	0.458333	0.177083	V.okutanii	0.0246	Rmag_0201	COSY_0200
139	0.0963449	0.338028	0.446009	0.394366	0.173709	V.okutanii	0.1122	Rmag_0203	COSY_0201
140	0.115979	0.307692	0.44289	0.27972	0.200466	V.okutanii	0.0	Rmag_0204	COSY_0202
141	0.133445	0.345118	0.474747	0.343434	0.217172	V.okutanii	0.0102	Rmag_0205	COSY_0203
142	0.129396	0.331013	0.489559	0.310905	0.192575	V.okutanii	0.0	Rmag_0206	COSY_0204
143	0.111123	0.344473	0.5	0.317481	0.215938	V.okutanii	0.0	Rmag_0208	COSY_0205
144	0.111755	0.35421	0.48643	0.356994	0.219207	V.okutanii	0.0	Rmag_0211	COSY_0207
145	0.164036	0.339806	0.436893	0.349515	0.23301	V.okutanii	0.0	Rmag_0213	COSY_0208
146	0.136816	0.328358	0.425373	0.298507	0.261194	V.okutanii	0.1864	Rmag_0214	COSY_0209
147	0.142708	0.353448	0.525862	0.327586	0.206897	V.okutanii	0.3258	Rmag_0215	COSY_0210
148	0.120593	0.336043	0.422764	0.365854	0.219512	V.okutanii	0.001	Rmag_0216	COSY_0211
149	0.144852	0.345679	0.45679	0.390947	0.1893	V.okutanii	0.0	Rmag_0217	COSY_0212
150	0.0934516	0.277778	0.418129	0.236842	0.178363	V.okutanii	0.0002	Rmag_0221	COSY_0215
151	0.143605	0.345794	0.478972	0.380841	0.17757	V.okutanii	0.0	Rmag_0222	COSY_0216
152	0.113022	0.313364	0.43318	0.290323	0.21659	V.okutanii	0.0232	Rmag_0223	COSY_0217
153	0.20977	0.346979	0.403509	0.345029	0.292398	V.okutanii	0.0	Rmag_0224	COSY_0218
154	0.237644	0.324324	0.391892	0.364865	0.216216	V.okutanii	0.0622	Rmag_0225	COSY_0219
155	0.092415	0.339394	0.459091	0.359091	0.2	V.okutanii	0.0762	Rmag_0227	COSY_0220
156	0.158204	0.338727	0.466019	0.330097	0.220065	V.okutanii	0.0	Rmag_0232	COSY_0223
157	0.15024	0.376608	0.512281	0.368421	0.249123	V.okutanii	0.0	Rmag_0233	COSY_0224
158	0.130689	0.309748	0.429245	0.301887	0.198113	V.okutanii	0.0026	Rmag_0234	COSY_0225
159	0.0703829	0.291262	0.399272	0.26699	0.207524	V.okutanii	0.0	Rmag_0235	COSY_0227
160	0.0925866	0.352982	0.482105	0.372632	0.204211	V.okutanii	0.0	Rmag_0236	COSY_0228
161	0.210546	0.319209	0.449153	0.288136	0.220339	V.okutanii	0.0044	Rmag_0237	COSY_0229
162	0.192866	0.406709	0.496855	0.471698	0.251572	V.okutanii	0.0016	Rmag_0238	COSY_0230
163	0.141274	0.333333	0.446078	0.338235	0.215686	V.okutanii	0.003	Rmag_0239	COSY_0231
164	0.118778	0.361311	0.513189	0.345324	0.22542	V.okutanii	0.0	Rmag_0240	COSY_0232
165	0.110271	0.284501	0.433121	0.254777	0.165605	V.okutanii	0.0858	Rmag_0241	COSY_0233
166	0.157442	0.366509	0.469194	0.417062	0.21327	V.okutanii	0.0	Rmag_0242	COSY_0234
167	0.0622765	0.328021	0.450199	0.332005	0.201859	V.okutanii	0.0	Rmag_0243	COSY_0235
168	0.14674	0.345472	0.436975	0.358543	0.240896	V.okutanii	0.0	Rmag_0244	COSY_0236
169	0.174822	0.359918	0.453988	0.361963	0.263804	V.okutanii	0.0046	Rmag_0245	COSY_0237
170	0.154541	0.320197	0.403941	0.300493	0.256158	V.okutanii	0.0006	Rmag_0246	COSY_0238
171	0.158739	0.290429	0.39604	0.346535	0.128713	V.okutanii	0.092	Rmag_0247	COSY_0239
172	0.132226	0.31904	0.405819	0.335375	0.215926	V.okutanii	0.0	Rmag_0248	COSY_0240
173	0.130341	0.330007	0.397206	0.349301	0.243513	V.okutanii	0.0	Rmag_0249	COSY_0241
174	0.106689	0.2927	0.371901	0.301653	0.204545	V.okutanii	0.0	Rmag_0250	COSY_0242
175	0.110499	0.302799	0.362595	0.30916	0.236641	V.okutanii	0.0026	Rmag_0257	COSY_0243
176	0.0945414	0.247717	0.342466	0.229452	0.171233	V.okutanii	0.0002	Rmag_0258	COSY_0244
177	0.130023	0.293963	0.267717	0.448819	0.165354	V.okutanii	0.0822	Rmag_0260	COSY_0245
178	0.136827	0.302703	0.459459	0.297297	0.151351	V.okutanii	0.002	Rmag_0261	COSY_0246
179	0.106585	0.324895	0.413502	0.375527	0.185654	V.okutanii	0.0082	Rmag_0262	COSY_0247
180	0.0981569	0.339019	0.472281	0.365672	0.179104	V.okutanii	0.0	Rmag_0263	COSY_0248
181	0.11072	0.311987	0.453202	0.320197	0.162562	V.okutanii	0.032	Rmag_0265	COSY_0249
182	0.152479	0.338338	0.456456	0.345345	0.213213	V.okutanii	0.0	Rmag_0266	COSY_0250
183	0.155978	0.297872	0.356383	0.335106	0.202128	V.okutanii	0.0004	Rmag_0267	COSY_0251
184	0.11429	0.264198	0.311111	0.244444	0.237037	V.okutanii	0.3068	Rmag_0269	COSY_0253
185	0.0992165	0.345494	0.478541	0.364807	0.193133	V.okutanii	0.0	Rmag_0270	COSY_0254
186	0.105261	0.314746	0.427509	0.297398	0.219331	V.okutanii	0.0022	Rmag_0271	COSY_0257
187	0.144044	0.347507	0.418898	0.373228	0.250394	V.okutanii	0.0	Rmag_0272	COSY_0258
188	0.101861	0.297251	0.402062	0.293814	0.195876	V.okutanii	0.0	Rmag_0273	COSY_0259
189	0.0841749	0.336879	0.454787	0.37766	0.178191	V.okutanii	0.001	Rmag_0274	COSY_0260
190	0.112648	0.31994	0.428571	0.294643	0.236607	V.okutanii	0.0148	Rmag_0275	COSY_0261
191	0.179344	0.354167	0.5	0.339286	0.223214	V.okutanii	0.0446	Rmag_0276	COSY_0262
192	0.120109	0.350816	0.472028	0.363636	0.216783	V.okutanii	0.0002	Rmag_0278	COSY_0264
193	0.0932033	0.297966	0.421751	0.312997	0.159151	V.okutanii	0.0002	Rmag_0279	COSY_0265
194	0.080525	0.325949	0.460443	0.316456	0.200949	V.okutanii	0.0	Rmag_0280	COSY_0266
195	0.128382	0.356522	0.547826	0.373913	0.147826	V.okutanii	0.3906	Rmag_0281	COSY_0267
196	0.174299	0.34188	0.487179	0.287179	0.251282	V.okutanii	0.0	Rmag_0284	COSY_0270
197	0.0826769	0.286935	0.377289	0.278388	0.205128	V.okutanii	0.0216	Rmag_0285	COSY_0271
198	0.132912	0.250896	0.387097	0.193548	0.172043	V.okutanii	0.2394	Rmag_0286	COSY_0272
199	0.218618	0.280193	0.434783	0.231884	0.173913	V.okutanii	0.0444	Rmag_0287	COSY_0273
200	0.147986	0.279365	0.371429	0.27619	0.190476	V.okutanii	0.202	Rmag_0288	COSY_0274
201	0.137133	0.291005	0.388889	0.293651	0.190476	V.okutanii	0.2088	Rmag_0289	COSY_0275
202	0.13303	0.3386	0.460497	0.356659	0.198646	V.okutanii	0.0	Rmag_0290	COSY_0276
203	0.140235	0.358059	0.46978	0.357143	0.247253	V.okutanii	0.0	Rmag_0292	COSY_0278
204	0.220843	0.302326	0.406977	0.325581	0.174419	V.okutanii	0.057	Rmag_0293	COSY_0279
205	0.135604	0.297539	0.369128	0.302013	0.221477	V.okutanii	0.0	Rmag_0294	COSY_0280
206	0.0949971	0.30303	0.417508	0.289562	0.20202	V.okutanii	0.0	Rmag_0295	COSY_0281
207	0.115356	0.327904	0.433225	0.319218	0.23127	V.okutanii	0.0	Rmag_0298	COSY_0282
208	0.0986271	0.343624	0.480537	0.336913	0.213423	V.okutanii	0.0	Rmag_0302	COSY_0284
209	0.10363	0.333333	0.464	0.296	0.24	V.okutanii	0.6574	Rmag_0303	COSY_0285
210	0.102233	0.324495	0.454545	0.329545	0.189394	V.okutanii	0.0054	Rmag_0304	COSY_0286
211	0.103069	0.333333	0.397183	0.380282	0.222535	V.okutanii	0.0004	Rmag_0305	COSY_0287
212	0.109298	0.341463	0.486643	0.341463	0.196283	V.okutanii	0.0	Rmag_0306	COSY_0288
213	0.0905335	0.340982	0.455067	0.347992	0.219885	V.okutanii	0.0	Rmag_0307	COSY_0289
214	0.128188	0.344595	0.459459	0.358108	0.216216	V.okutanii	0.2858	Rmag_0308	COSY_0290
215	0.264054	0.341991	0.519481	0.337662	0.168831	V.okutanii	0.01	Rmag_0311	COSY_0292
216	0.157327	0.318267	0.440678	0.305085	0.20904	V.okutanii	0.002	Rmag_0314	COSY_0295
217	0.170214	0.318996	0.387097	0.333333	0.236559	V.okutanii	0.3148	Rmag_0319	COSY_0300
218	0.0730796	0.30451	0.391911	0.297071	0.224547	V.okutanii	0.0	Rmag_0320	COSY_0301
219	0.169197	0.322404	0.442623	0.278689	0.245902	V.okutanii	0.9814	Rmag_0321	COSY_0302
220	0.0793207	0.273997	0.329843	0.267016	0.225131	V.okutanii	0.4036	Rmag_0323	COSY_0304
221	0.140706	0.289193	0.342466	0.287671	0.237443	V.okutanii	0.0002	Rmag_0325	COSY_0306
222	0.0974627	0.257143	0.309524	0.280952	0.180952	V.okutanii	0.048	Rmag_0327	COSY_0307
223	0.115356	0.331944	0.45	0.316667	0.229167	V.okutanii	0.0042	Rmag_0328	COSY_0308
224	0.118602	0.339703	0.480892	0.363057	0.175159	V.okutanii	0.0	Rmag_0329	COSY_0312
225	0.124306	0.323671	0.42029	0.297101	0.253623	V.okutanii	0.5718	Rmag_0331	COSY_0313
226	0.160775	0.3367	0.419192	0.358586	0.232323	V.okutanii	0.0004	Rmag_0333	COSY_0315
227	0.151359	0.333333	0.427957	0.369892	0.202151	V.okutanii	0.0	Rmag_0336	COSY_0318
228	0.13496	0.327755	0.422594	0.322176	0.238494	V.okutanii	0.0016	Rmag_0337	COSY_0319
229	0.115505	0.337521	0.482412	0.344221	0.18593	V.okutanii	0.0	Rmag_0338	COSY_0320
230	0.125737	0.333333	0.477178	0.33195	0.190871	V.okutanii	0.0006	Rmag_0339	COSY_0321
231	0.0759935	0.328796	0.462827	0.326702	0.196859	V.okutanii	0.0	Rmag_0340	COSY_0322
232	0.11594	0.318519	0.438889	0.291667	0.225	V.okutanii	0.0	Rmag_0341	COSY_0323
233	0.239225	0.319728	0.377551	0.306122	0.27551	V.okutanii	0.0	Rmag_0342	COSY_0324
234	0.188151	0.315789	0.473684	0.284211	0.189474	V.okutanii	0.1548	Rmag_0343	COSY_0325
235	0.112724	0.342361	0.439583	0.395833	0.191667	V.okutanii	0.0	Rmag_0344	COSY_0326
236	0.0946228	0.321429	0.455882	0.304622	0.203782	V.okutanii	0.0	Rmag_0345	COSY_0327
237	0.124532	0.330144	0.416268	0.339713	0.23445	V.okutanii	0.0128	Rmag_0347	COSY_0328
238	0.0883401	0.328571	0.448214	0.314286	0.223214	V.okutanii	0.0	Rmag_0348	COSY_0329
239	0.122515	0.309877	0.396296	0.303704	0.22963	V.okutanii	0.0004	Rmag_0349	COSY_0330
240	0.104099	0.302307	0.386635	0.298329	0.221957	V.okutanii	0.0	Rmag_0350	COSY_0331
241	0.11427	0.334891	0.446262	0.357477	0.200935	V.okutanii	0.0	Rmag_0351	COSY_0332
242	0.119956	0.344444	0.503333	0.363333	0.166667	V.okutanii	0.0	Rmag_0368	COSY_0335
243	0.11684	0.339683	0.42381	0.342857	0.252381	V.okutanii	0.0416	Rmag_0367	COSY_0336
244	0.114724	0.342621	0.482972	0.318885	0.226006	V.okutanii	0.0	Rmag_0366	COSY_0337
245	0.0888325	0.302235	0.386297	0.311953	0.208455	V.okutanii	0.0	Rmag_0365	COSY_0338
246	0.147816	0.326418	0.385892	0.369295	0.224066	V.okutanii	0.0	Rmag_0364	COSY_0339
247	0.126995	0.33698	0.512035	0.308534	0.190372	V.okutanii	0.0	Rmag_0363	COSY_0340
248	0.117417	0.314136	0.481675	0.235602	0.225131	V.okutanii	0.0262	Rmag_0362	COSY_0341
249	0.106249	0.323148	0.434722	0.304167	0.230556	V.okutanii	0.0	Rmag_0361	COSY_0342
250	0.170348	0.304924	0.443182	0.323864	0.147727	V.okutanii	0.0002	Rmag_0356	COSY_0343
251	0.105051	0.293249	0.386076	0.316456	0.177215	V.okutanii	0.2698	Rmag_0354	COSY_0345
252	0.148564	0.353312	0.544164	0.337539	0.178233	V.okutanii	0.0	Rmag_0353	COSY_0346
253	0.144985	0.359817	0.506849	0.408219	0.164384	V.okutanii	0.0	Rmag_0352	COSY_0347
254	0.105484	0.276144	0.392157	0.289216	0.147059	V.okutanii	0.0252	Rmag_0371	COSY_0349
255	0.117675	0.371245	0.465665	0.407725	0.240343	V.okutanii	0.0	Rmag_0372	COSY_0350
256	0.0887629	0.352542	0.479661	0.325424	0.252542	V.okutanii	0.0	Rmag_0373	COSY_0351
257	0.128015	0.31982	0.371622	0.324324	0.263514	V.okutanii	0.0916	Rmag_0374	COSY_0352
258	0.136082	0.293706	0.356643	0.321678	0.202797	V.okutanii	0.1232	Rmag_0378	COSY_0353
