GenomePair	dn_sqr1	dn_sqr6	dnds_sqr1	dnds_sqr6	ds_sqr1	ds_sqr6	Groups
V.diagonalis-V.soyoae2	0.013208792921476815	0.015025762522190511	0.0824102863795581	0.05441572437631537	0.1602337080272907	0.2761290545041522	V-V
V.extenta-V.gigas1	0.01784077205454962	0.019236371316523546	0.09238469502441987	0.0646513715956246	0.19327101090752502	0.29754003421368097	V-V
V.extenta-V.gigas2	0.016075321596772683	0.019236371316523546	0.08658763098797766	0.0646513715956246	0.1856437729998644	0.29754003421368097	V-V
V.extenta-V.marissinica	0.014908324243847564	0.020620450272413843	0.07805731420428821	0.07197743632438273	0.190930141772014	0.2864849225732781	V-V
V.extenta-V.okutanii	0.013626647387568058	0.019339426508514862	0.07828260014868832	0.06580805940941484	0.17406993842419505	0.2938762619969928	V-V
V.extenta-V.soyoae1	0.014815388989247145	0.015025762522190511	0.09194308390743951	0.05441572437631537	0.16113652446291687	0.2761290545041522	V-V
V.extenta-V.soyoae2	0.014815388989247145	0.015025762522190511	0.09194308390743951	0.05441572437631537	0.16113652446291687	0.2761290545041522	V-V
V.gigas1-V.gigas2	0.003757321764041603	3.566335775780027e-11	0.9086793658441422	1.7668737705633994	0.01980621261382763	2.0184440083927654e-11	V-V
V.gigas1-V.marissinica	0.01637099410703092	0.03177859624899062	0.10181031172915218	0.16171628969096138	0.16112973979853693	0.19650831904268443	V-V
V.gigas1-V.okutanii	0.012053152455542868	0.021426643147061643	0.06476980027573692	0.10663339977272113	0.18614352903350084	0.20093744729822438	V-V
V.gigas1-V.soyoae1	0.01595623766789501	0.02144482644727073	0.11143462761212693	0.11621859240317325	0.14321518494589025	0.1845214780512623	V-V
V.gigas1-V.soyoae2	0.01595623766789501	0.02144482644727073	0.11143462761212693	0.11621859240317325	0.14321518494589025	0.1845214780512623	V-V
V.gigas2-V.marissinica	0.016246433990669	0.03177859624899062	0.1026026004533159	0.16171628969096138	0.15822828313815682	0.19650831904268443	V-V
V.gigas2-V.okutanii	0.014349931925362481	0.021426643147061643	0.07467041010742224	0.10663339977272113	0.19223009976641875	0.20093744729822438	V-V
V.gigas2-V.soyoae1	0.017417513579575862	0.02144482644727073	0.11938165202100214	0.11621859240317325	0.14593768102685706	0.1845214780512623	V-V
V.gigas2-V.soyoae2	0.017417513579575862	0.02144482644727073	0.11938165202100214	0.11621859240317325	0.14593768102685706	0.1845214780512623	V-V
V.marissinica-V.okutanii	0.01393345242099391	0.027678552563843783	0.07144260025763094	0.13192399529336582	0.1948219088746797	0.2098068096125624	V-V
V.marissinica-V.soyoae1	0.014448320521916788	0.02526822218008426	0.08911468821294306	0.16120036340344526	0.16207583829370942	0.15675040456853098	V-V
V.marissinica-V.soyoae2	0.014448320521916788	0.02526822218008426	0.08911468821294305	0.16120036340344526	0.16207583829370942	0.15675040456853098	V-V
V.okutanii-V.soyoae1	0.007037131788970014	0.01074395148667269	0.10753554251659171	0.1213620515393091	0.06544005474175435	0.08852809713086245	V-V
V.okutanii-V.soyoae2	0.007037131788970014	0.01074395148667269	0.10753554251659171	0.1213620515393091	0.06544005474175435	0.08852809713086245	V-V
V.soyoae1-V.soyoae2	3.533770791956103e-11	3.57476533987772e-11	1.514602677654825	1.787428350807926	2.3331338601802225e-11	1.9999488864893015e-11	V-V
