pseudo	gene_id	genome	locus_tag	SEED_level_1	SEED_level_2	SEED_level_3	SEED_long_name
	Rmag_R0030	V.soyoae2	Vsoy2_rna_2	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	V.extenta	Vext_rna_11	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	V.gigas2	Vgig2_rna_24	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	R.magnifica	Rmag_R0030	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	V.diagonalis	Vdia_rna_10	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	R.phaseoliformis	Rpha_rna_27	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	Bathy	MS2017_R011	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	V.okutanii	COSY_R0027	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	SUP05	SP60_05980	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	R.rectimargo	Rrec_rna_7	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0030	R.pacifica	Rpac_rna_17	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Gly
	Rmag_R0029	R.southwardae	Rsou_rna_34	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	V.extenta	Vext_rna_12	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	R.rectimargo	Rrec_rna_6	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	V.soyoae2	Vsoy2_rna_1	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	R.pacifica	Rpac_rna_16	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	V.okutanii	COSY_R0026	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	SUP05	SP60_05985	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	R.phaseoliformis	Rpha_rna_28	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	Bathy	MS2017_R012	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
		R.pliocardia	Rple_rna_13	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	V.gigas2	Vgig2_rna_23	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	V.diagonalis	Vdia_rna_11	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0029	R.magnifica	Rmag_R0029	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Thr
	Rmag_R0028	R.pacifica	Rpac_rna_11	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	V.extenta	Vext_rna_13	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	V.gigas2	Vgig2_rna_6	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	Bathy	MS2017_R013	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	R.magnifica	Rmag_R0028	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	V.soyoae2	Vsoy2_rna_38	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	SUP05	SP60_05995	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
		R.pliocardia	Rple_rna_4	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	V.okutanii	COSY_R0025	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	R.phaseoliformis	Rpha_rna_39	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	R.rectimargo	Rrec_rna_5	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	R.southwardae	Rsou_rna_23	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0028	V.diagonalis	Vdia_rna_12	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Trp
	Rmag_R0026	V.okutanii	COSY_R0024	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	V.extenta	Vext_rna_14	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
		R.pliocardia	Rple_rna_5	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	R.rectimargo	Rrec_rna_40	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	Bathy	MS2017_R015	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	V.diagonalis	Vdia_rna_13	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	V.soyoae2	Vsoy2_rna_37	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	R.phaseoliformis	Rpha_rna_22	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	V.gigas2	Vgig2_rna_7	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	SUP05	SP60_07095	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	R.southwardae	Rsou_rna_17	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	R.pacifica	Rpac_rna_30	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0026	R.magnifica	Rmag_R0026	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0025	R.magnifica	Rmag_R0025	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	V.gigas2	Vgig2_rna_8	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
		R.pliocardia	Rple_rna_6	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	V.okutanii	COSY_R0023	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	R.pacifica	Rpac_rna_31	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	V.soyoae2	Vsoy2_rna_36	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	SUP05	SP60_07100	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	R.rectimargo	Rrec_rna_39	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	V.extenta	Vext_rna_15	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	R.phaseoliformis	Rpha_rna_21	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	R.southwardae	Rsou_rna_16	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	Bathy	MS2017_R016	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0025	V.diagonalis	Vdia_rna_14	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Asp
	Rmag_R0023	Bathy	MS2017_R019	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	R.phaseoliformis	Rpha_rna_1	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	R.southwardae	Rsou_rna_13	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	R.pacifica	Rpac_rna_33	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	V.okutanii	COSY_R0021	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	R.rectimargo	Rrec_rna_37	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	V.gigas2	Vgig2_rna_10	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	SUP05	SP60_07320	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
		R.pliocardia	Rple_rna_8	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	V.extenta	Vext_rna_17	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	V.diagonalis	Vdia_rna_16	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	V.soyoae2	Vsoy2_rna_34	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0023	R.magnifica	Rmag_R0023	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
		R.pacifica	Rpac_rna_34	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		R.magnifica	Rmag_R0022	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		R.phaseoliformis	Rpha_rna_2	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		V.soyoae2	Vsoy2_rna_33	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		V.diagonalis	Vdia_rna_17	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		R.rectimargo	Rrec_rna_36	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		Bathy	MS2017_R017	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		V.gigas2	Vgig2_rna_11	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		R.southwardae	Rsou_rna_14	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		SUP05	SP60_07495	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		V.extenta	Vext_rna_18	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		R.pliocardia	Rple_rna_9	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
		V.okutanii	COSY_R0020	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Lys
	Rmag_R0019	V.gigas2	Vgig2_rna_13	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	SUP05	SP60_00605	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	V.diagonalis	Vdia_rna_19	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	V.soyoae2	Vsoy2_rna_31	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	R.southwardae	Rsou_rna_39	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
		R.pliocardia	Rple_rna_25	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	Bathy	MS2017_R022	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	R.rectimargo	Rrec_rna_34	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	V.okutanii	COSY_R0018	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	R.magnifica	Rmag_R0019	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	R.phaseoliformis	Rpha_rna_4	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	V.extenta	Vext_rna_20	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
	Rmag_R0019	R.pacifica	Rpac_rna_27	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Val
		R.pliocardia	Rple_rna_26	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	V.diagonalis	Vdia_rna_20	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	V.gigas2	Vgig2_rna_14	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	V.extenta	Vext_rna_21	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	SUP05	SP60_00630	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	R.southwardae	Rsou_rna_38	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	Bathy	MS2017_R023	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	R.rectimargo	Rrec_rna_33	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	R.magnifica	Rmag_R0018	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
	Rmag_R0018	V.soyoae2	Vsoy2_rna_30	Protein Metabolism	Protein biosynthesis	tRNAs	tRNA-Arg
