,Gene,p0.01,p0.05,p0.1,AICctest
107,Rmag_0107,,,,0
108,Rmag_0321,,,,0
109,Rmag_0506,,,,0
110,Rmag_1022,0,2,2,1
111,Rmag_0475,0,0,0,0
112,Rmag_0187,,,,0
113,Rmag_0648,0,0,0,1
114,Rmag_0435,,,,0
115,Rmag_0608,0,0,0,1
116,Rmag_0993,0,0,0,0
117,Rmag_0693,0,0,0,1
118,Rmag_0546,0,0,0,0
119,Rmag_0361,0,0,1,0
120,Rmag_0289,1,1,1,1
121,Rmag_1062,1,1,1,0
122,Rmag_0225,,,,0
123,Rmag_0018,0,0,1,1
124,Rmag_1055,0,0,0,0
125,Rmag_0083,0,1,1,1
126,Rmag_0356,,,,0
127,Rmag_0571,0,0,0,0
128,Rmag_0499,0,0,0,1
129,Rmag_1015,0,0,0,0
130,Rmag_0531,0,1,1,1
131,Rmag_0265,0,1,1,1
132,Rmag_0396,0,0,0,0
133,Rmag_0043,0,0,1,0
134,Rmag_0964,0,0,1,0
135,Rmag_0717,0,0,1,0
136,Rmag_0098,,,,0
137,Rmag_0924,0,0,1,1
138,Rmag_0757,0,0,0,0
139,Rmag_0170,,,,0
140,Rmag_0482,,,,0
141,Rmag_0419,0,0,0,1
142,Rmag_0003,0,0,0,0
143,Rmag_0801,0,0,0,0
144,Rmag_0672,0,0,0,1
145,Rmag_0055,,,,0
146,Rmag_0972,0,0,0,1
147,Rmag_0126,,,,0
148,Rmag_1058,,,,0
149,Rmag_0932,,,,0
150,Rmag_0741,,,,0
151,Rmag_0166,,,,0
152,Rmag_0841,,,,0
153,Rmag_0015,0,0,0,0
154,Rmag_0632,0,0,0,1
155,Rmag_0414,1,2,2,0
156,Rmag_0233,0,1,2,0
157,Rmag_0340,0,0,1,0
158,Rmag_0567,0,0,1,0
159,Rmag_0929,0,0,1,1
160,Rmag_1043,0,1,1,0
161,Rmag_0969,0,1,1,0
162,Rmag_0881,0,1,1,0
163,Rmag_1003,0,1,1,0
164,Rmag_0273,0,0,1,0
165,Rmag_0454,,,,0
166,Rmag_0781,0,0,1,1
167,Rmag_0669,0,0,1,0
168,Rmag_0915,0,0,1,0
169,Rmag_0294,,,,0
170,Rmag_0141,0,0,0,1
171,Rmag_0866,0,0,0,0
172,Rmag_0615,0,0,0,0
173,Rmag_0072,0,0,0,0
174,Rmag_0955,0,0,0,0
175,Rmag_0101,,,,0
176,Rmag_1024,0,2,2,0
177,Rmag_0327,0,1,1,0
178,Rmag_0181,,,,0
179,Rmag_0473,,,,0
180,Rmag_0433,0,0,0,1
181,Rmag_0214,,,,0
182,Rmag_0995,,,,0
183,Rmag_0367,,,,0
184,Rmag_0958,,,,0
185,Rmag_1032,1,1,1,0
186,Rmag_0197,1,2,2,0
187,Rmag_0242,1,1,1,0
188,Rmag_0425,,,,0
189,Rmag_0618,,,,0
190,Rmag_0918,,,,0
191,Rmag_0371,0,1,1,1
192,Rmag_0556,,,,0
193,Rmag_0683,,,,0
194,Rmag_1072,0,0,0,0
195,Rmag_1069,0,0,0,0
196,Rmag_0698,0,0,0,1
197,Rmag_0770,0,0,0,1
198,Rmag_0870,0,0,0,1
199,Rmag_0998,0,0,0,0
200,Rmag_0643,0,0,0,0
201,Rmag_0117,0,0,1,0
202,Rmag_0730,0,0,1,1
203,Rmag_0449,0,0,0,0
204,Rmag_0807,0,0,0,0
205,Rmag_0053,,,,0
206,Rmag_0674,0,0,0,1
207,Rmag_0386,0,0,0,0
208,Rmag_0120,0,0,0,1
209,Rmag_0934,0,0,1,1
210,Rmag_0088,0,1,1,0
211,Rmag_0492,0,0,0,0
212,Rmag_0160,,,,0
213,Rmag_0747,,,,0
214,Rmag_0409,0,0,0,0
215,Rmag_0847,0,0,0,1
216,Rmag_0013,0,0,0,0
217,Rmag_0412,0,0,0,1
218,Rmag_0008,,,,0
219,Rmag_0561,,,,0
220,Rmag_1005,,,,0
221,Rmag_0306,0,0,1,0
222,Rmag_0787,0,2,3,0
223,Rmag_0452,0,1,1,1
224,Rmag_0275,0,0,0,0
225,Rmag_0223,,,,0
226,Rmag_0404,0,0,0,0
227,Rmag_0577,0,0,1,0
228,Rmag_0085,0,0,0,0
229,Rmag_1013,0,0,0,0
230,Rmag_0444,0,0,0,1
231,Rmag_0679,0,0,0,0
232,Rmag_0278,,,,0
233,Rmag_0811,0,1,1,0
234,Rmag_0045,0,1,1,0
235,Rmag_0662,0,1,1,0
236,Rmag_1008,0,0,0,1
237,Rmag_0962,0,0,0,0
238,Rmag_0136,2,2,2,0
239,Rmag_1048,0,0,0,0
240,Rmag_0922,0,0,0,1
241,Rmag_0484,,,,0
242,Rmag_0176,,,,0
243,Rmag_0851,,,,0
244,Rmag_0622,,,,0
245,Rmag_0005,0,0,0,0
246,Rmag_0542,,,,0
247,Rmag_0365,0,0,0,0
248,Rmag_1066,0,0,0,1
249,Rmag_0216,0,0,0,0
250,Rmag_0599,0,0,0,0
251,Rmag_0325,0,0,0,0
252,Rmag_0502,0,0,0,1
253,Rmag_0118,1,2,3,0
254,Rmag_0957,0,0,0,1
255,Rmag_0103,0,1,1,0
256,Rmag_0824,0,0,0,0
257,Rmag_0070,0,0,0,1
258,Rmag_0864,0,0,0,0
259,Rmag_0617,0,0,0,0
260,Rmag_0917,0,0,0,0
261,Rmag_0559,0,0,0,1
262,Rmag_0143,,,,0
263,Rmag_0328,1,1,1,0
264,Rmag_0732,1,1,1,0
265,Rmag_0832,0,1,1,0
266,Rmag_0066,0,0,0,0
267,Rmag_0594,0,1,2,1
268,Rmag_0872,0,1,2,0
269,Rmag_0601,0,0,0,1
270,Rmag_0026,0,0,0,0
271,Rmag_0368,0,0,0,0
272,Rmag_0280,0,0,0,0
273,Rmag_0772,1,1,1,0
274,Rmag_0554,0,0,0,0
275,Rmag_0373,0,1,1,0
276,Rmag_0769,1,1,1,0
277,Rmag_0869,0,0,0,1
278,Rmag_0200,,,,0
279,Rmag_0981,0,0,0,0
280,Rmag_0240,,,,0
281,Rmag_0333,0,0,0,0
282,Rmag_0514,,,,0
283,Rmag_0450,,,,0
284,Rmag_0523,0,1,1,0
285,Rmag_0139,,,,0
286,Rmag_0885,0,0,0,1
287,Rmag_1007,0,0,0,0
288,Rmag_0344,0,0,0,1
289,Rmag_0563,0,0,0,1
290,Rmag_0091,,,,0
291,Rmag_0179,,,,0
292,Rmag_1047,,,,0
293,Rmag_0410,0,0,0,0
294,Rmag_0237,,,,0
295,Rmag_0845,0,0,0,1
296,Rmag_0011,0,0,0,1
297,Rmag_0578,0,0,0,0
298,Rmag_0936,0,0,0,0
299,Rmag_0490,0,0,1,0
300,Rmag_0745,0,0,1,0
301,Rmag_0122,0,0,0,0
302,Rmag_0805,0,0,0,0
303,Rmag_0676,0,0,0,0
304,Rmag_0051,0,0,1,1
305,Rmag_0384,0,0,0,0
306,Rmag_0853,0,0,1,1
307,Rmag_0007,0,0,0,1
308,Rmag_0620,0,1,1,0
309,Rmag_0349,0,0,0,1
310,Rmag_0486,1,1,1,0
311,Rmag_0174,,,,0
312,Rmag_0134,0,0,0,0
313,Rmag_0788,0,0,0,0
314,Rmag_0813,0,0,0,0
315,Rmag_0392,1,2,2,0
316,Rmag_0793,0,0,1,0
317,Rmag_0261,0,1,1,1
318,Rmag_0808,0,1,1,0
319,Rmag_0389,,,,0
320,Rmag_1011,,,,0
321,Rmag_0535,0,0,0,0
322,Rmag_0352,0,0,0,1
323,Rmag_0575,0,0,0,0
324,Rmag_0087,0,0,0,1
325,Rmag_0221,0,1,1,0
326,Rmag_0848,0,0,0,0
327,Rmag_1012,0,0,0,0
328,Rmag_0311,,,,0
329,Rmag_0678,,,,0
330,Rmag_0262,,,,0
331,Rmag_0445,0,0,0,0
332,Rmag_0790,0,1,1,0
333,Rmag_0222,,,,0
334,Rmag_0351,0,0,0,0
335,Rmag_0576,0,0,0,0
336,Rmag_0177,,,,0
337,Rmag_0485,,,,0
338,Rmag_0923,,,,0
339,Rmag_1049,,,,0
340,Rmag_0239,0,0,0,0
341,Rmag_0850,0,0,0,0
342,Rmag_0044,,,,0
343,Rmag_0279,0,0,0,0
344,Rmag_0810,1,1,1,0
345,Rmag_0137,,,,0
346,Rmag_0963,0,0,0,1
347,Rmag_1009,0,0,0,0
348,Rmag_0161,,,,0
349,Rmag_0493,0,0,0,1
350,Rmag_0089,,,,0
351,Rmag_0935,,,,0
352,Rmag_0012,,,,0
353,Rmag_0635,0,0,1,1
354,Rmag_0052,,,,0
355,Rmag_0448,0,0,0,0
356,Rmag_0806,1,1,1,1
357,Rmag_0121,,,,0
358,Rmag_0975,0,0,0,0
359,Rmag_0520,0,0,0,0
360,Rmag_0307,0,1,1,0
361,Rmag_1004,0,0,1,1
362,Rmag_0274,0,0,0,1
363,Rmag_0453,0,1,2,1
364,Rmag_0009,0,0,1,1
365,Rmag_0413,0,0,0,1
366,Rmag_0347,0,0,0,1
367,Rmag_0560,0,0,0,1
368,Rmag_1044,0,0,0,0
369,Rmag_0619,0,0,0,0
370,Rmag_0203,,,,0
371,Rmag_1073,0,0,0,0
372,Rmag_0298,,,,0
373,Rmag_0919,,,,0
374,Rmag_0659,,,,0
375,Rmag_0464,0,0,0,0
376,Rmag_0243,0,0,0,0
377,Rmag_0597,0,0,0,0
378,Rmag_0065,0,0,0,0
379,Rmag_0642,0,0,0,0
380,Rmag_0831,0,1,2,0
381,Rmag_0258,0,0,1,1
382,Rmag_0731,0,0,0,0
383,Rmag_0116,,,,0
384,Rmag_0942,0,0,0,0
385,Rmag_0156,0,0,1,0
386,Rmag_0602,0,0,2,0
387,Rmag_0025,0,0,0,0
388,Rmag_0999,1,1,1,0
389,Rmag_0871,1,1,1,0
390,Rmag_0581,0,0,0,0
391,Rmag_0073,0,0,0,0
392,Rmag_0654,0,1,1,1
393,Rmag_0469,,,,0
394,Rmag_0954,0,0,0,0
395,Rmag_0767,0,0,0,0
396,Rmag_0295,0,0,0,0
397,Rmag_0914,0,0,0,0
398,Rmag_0614,0,0,1,1
399,Rmag_0867,0,0,1,0
400,Rmag_0028,,,,0
401,Rmag_0994,,,,0
402,Rmag_0215,,,,0
403,Rmag_0432,0,0,1,1
404,Rmag_0694,0,0,1,0
405,Rmag_0366,0,0,1,1
406,Rmag_1025,0,0,0,0
407,Rmag_0068,0,0,0,0
408,Rmag_0472,,,,0
409,Rmag_0180,0,0,0,1
410,Rmag_0308,0,0,0,1
411,Rmag_0046,,,,0
412,Rmag_0661,0,0,0,0
413,Rmag_0812,0,0,1,1
414,Rmag_0621,0,0,0,0
415,Rmag_0006,0,0,0,0
416,Rmag_0852,0,0,0,0
417,Rmag_0175,,,,0
418,Rmag_0487,0,0,0,0
419,Rmag_0348,0,0,0,0
420,Rmag_0921,0,0,0,0
421,Rmag_0749,0,0,0,0
422,Rmag_0086,0,0,0,1
423,Rmag_0574,0,0,0,0
424,Rmag_0353,0,0,0,0
425,Rmag_1050,0,0,0,0
426,Rmag_0388,,,,0
427,Rmag_0447,,,,0
428,Rmag_0809,0,0,0,1
429,Rmag_0534,0,1,1,0
430,Rmag_1046,0,1,1,0
431,Rmag_0178,,,,0
432,Rmag_0090,,,,0
433,Rmag_0345,0,1,1,0
434,Rmag_0236,,,,0
435,Rmag_0411,0,0,0,1
436,Rmag_0276,,,,0
437,Rmag_0784,0,0,0,0
438,Rmag_1006,0,0,0,0
439,Rmag_0884,0,0,0,0
440,Rmag_0138,0,0,0,0
441,Rmag_0305,0,0,0,0
442,Rmag_0522,0,0,0,1
443,Rmag_0704,0,0,0,0
444,Rmag_0123,0,1,1,0
445,Rmag_0977,1,1,2,0
446,Rmag_0385,0,0,0,1
447,Rmag_0050,,,,0
448,Rmag_0677,0,0,0,1
449,Rmag_0804,0,0,0,0
450,Rmag_0010,,,,0
451,Rmag_0844,0,0,0,1
452,Rmag_0744,0,0,0,0
453,Rmag_0491,0,0,0,0
454,Rmag_0579,0,0,0,0
455,Rmag_0027,,,,0
456,Rmag_0281,,,,0
457,Rmag_0733,,,,0
458,Rmag_0329,0,0,0,0
459,Rmag_0595,0,0,0,1
460,Rmag_0640,0,0,0,0
461,Rmag_0067,0,2,2,1
462,Rmag_0833,0,1,1,1
463,Rmag_0828,1,1,1,0
464,Rmag_0241,,,,0
465,Rmag_0466,0,0,0,0
466,Rmag_0680,0,0,0,0
467,Rmag_0372,0,0,0,0
468,Rmag_0555,,,,0
469,Rmag_0980,0,0,0,0
470,Rmag_0868,0,0,0,0
471,Rmag_0201,,,,0
472,Rmag_0257,,,,0
473,Rmag_0470,0,0,0,0
474,Rmag_0182,,,,0
475,Rmag_1027,,,,0
476,Rmag_1067,0,0,0,1
477,Rmag_0364,0,0,0,1
478,Rmag_0543,,,,0
479,Rmag_0996,0,0,0,1
480,Rmag_0430,0,0,0,1
481,Rmag_0217,,,,0
482,Rmag_0865,,,,0
483,Rmag_0765,0,0,0,0
484,Rmag_0142,0,0,0,0
485,Rmag_0916,0,1,1,0
486,Rmag_0558,0,1,1,0
487,Rmag_0956,0,1,1,1
488,Rmag_0518,0,0,0,1
489,Rmag_0583,0,0,0,0
490,Rmag_0656,0,0,1,0
491,Rmag_0071,0,0,0,1
492,Rmag_0825,0,1,1,1
493,Rmag_0199,0,0,1,0
494,Rmag_0759,0,0,1,0
495,Rmag_0343,,,,0
496,Rmag_0417,0,0,0,1
497,Rmag_0859,0,0,1,0
498,Rmag_0398,0,0,0,1
499,Rmag_0270,0,1,1,0
500,Rmag_0457,0,0,0,0
501,Rmag_0819,0,0,0,1
502,Rmag_0882,0,0,0,0
503,Rmag_0524,0,1,1,0
504,Rmag_1000,1,1,1,0
505,Rmag_0971,1,1,1,0
506,Rmag_0671,0,0,0,1
507,Rmag_0016,0,0,1,0
508,Rmag_0165,0,0,0,0
509,Rmag_0133,0,0,0,1
510,Rmag_0714,0,0,0,0
511,Rmag_0529,0,1,1,1
512,Rmag_0967,0,1,1,0
513,Rmag_0667,0,0,1,1
514,Rmag_0395,0,1,1,0
515,Rmag_0814,0,1,1,0
516,Rmag_0854,0,0,0,0
517,Rmag_0173,,,,0
518,Rmag_0927,,,,0
519,Rmag_0168,0,0,0,1
520,Rmag_0572,0,0,0,0
521,Rmag_0080,0,0,1,0
522,Rmag_0266,0,1,1,0
523,Rmag_0532,0,0,0,0
524,Rmag_0184,,,,0
525,Rmag_0838,1,1,1,0
526,Rmag_0476,,,,0
527,Rmag_0738,1,1,1,0
528,Rmag_0505,0,0,0,0
529,Rmag_1021,1,1,1,0
530,Rmag_0545,0,1,1,0
531,Rmag_0362,,,,0
532,Rmag_0690,0,1,1,1
533,Rmag_1061,0,1,1,0
534,Rmag_0878,0,1,1,0
535,Rmag_0211,0,0,1,0
536,Rmag_0863,0,0,0,1
537,Rmag_0144,1,1,1,0
538,Rmag_0763,1,1,1,0
539,Rmag_0910,0,0,1,1
540,Rmag_0379,,,,0
541,Rmag_0950,0,1,1,1
542,Rmag_0339,0,1,1,0
543,Rmag_0077,0,1,2,1
544,Rmag_0585,0,1,2,0
545,Rmag_0606,0,0,0,0
546,Rmag_0875,0,0,0,0
547,Rmag_0287,,,,0
548,Rmag_0548,,,,0
549,Rmag_0112,0,0,0,1
550,Rmag_0946,1,1,1,0
551,Rmag_0061,0,1,1,1
552,Rmag_0593,0,0,0,1
553,Rmag_0189,,,,0
554,Rmag_0835,0,0,0,0
555,Rmag_0588,0,0,0,0
556,Rmag_0192,,,,0
557,Rmag_0247,,,,0
558,Rmag_1037,,,,0
559,Rmag_0109,,,,0
560,Rmag_0513,0,0,0,0
561,Rmag_0553,0,0,0,1
562,Rmag_0374,0,0,0,0
563,Rmag_0495,,,,0
564,Rmag_0167,,,,0
565,Rmag_0740,0,0,0,0
566,Rmag_1059,0,0,1,0
567,Rmag_0840,0,1,1,0
568,Rmag_0054,0,0,0,0
569,Rmag_0673,0,0,0,0
570,Rmag_0800,0,0,0,1
571,Rmag_0700,0,0,0,0
572,Rmag_0127,0,0,0,0
573,Rmag_0973,0,0,0,0
574,Rmag_1019,0,0,0,1
575,Rmag_1002,0,0,0,1
576,Rmag_0880,0,0,0,0
577,Rmag_0526,0,0,0,0
578,Rmag_0668,0,0,0,0
579,Rmag_0272,0,0,0,0
580,Rmag_0628,0,0,1,1
581,Rmag_0232,0,0,0,1
582,Rmag_0415,,,,0
583,Rmag_0566,0,0,0,1
584,Rmag_0341,0,0,0,1
585,Rmag_0928,0,0,0,0
586,Rmag_0094,0,1,1,0
587,Rmag_1014,0,1,2,1
588,Rmag_0224,,,,0
589,Rmag_0498,,,,0
590,Rmag_1054,0,0,0,1
591,Rmag_0171,0,0,0,1
592,Rmag_0756,0,0,0,0
593,Rmag_0925,0,0,0,0
594,Rmag_0099,,,,0
595,Rmag_0002,,,,0
596,Rmag_0856,,,,0
597,Rmag_0665,,,,0
598,Rmag_0397,0,0,0,0
599,Rmag_0458,0,0,0,0
600,Rmag_0816,0,0,0,0
601,Rmag_0965,0,0,0,0
602,Rmag_0652,1,1,1,0
603,Rmag_0587,0,0,1,1
604,Rmag_0248,1,1,1,0
605,Rmag_0106,0,0,0,0
606,Rmag_0721,0,1,2,0
607,Rmag_0952,0,0,0,0
608,Rmag_0293,,,,0
609,Rmag_0146,0,0,0,0
610,Rmag_0861,0,0,0,0
611,Rmag_0208,0,1,1,0
612,Rmag_0992,0,0,0,0
613,Rmag_0434,,,,0
614,Rmag_0213,0,1,1,1
615,Rmag_0288,,,,0
616,Rmag_0547,,,,0
617,Rmag_0692,0,1,1,0
618,Rmag_1023,0,0,0,0
619,Rmag_0949,0,0,0,0
620,Rmag_0507,0,0,0,0
621,Rmag_0649,1,3,3,0
622,Rmag_0474,0,0,0,0
623,Rmag_0984,0,1,1,0
624,Rmag_0205,,,,0
625,Rmag_0684,0,0,0,1
626,Rmag_0511,0,0,0,0
627,Rmag_0336,0,0,0,1
628,Rmag_0078,0,0,0,0
629,Rmag_0190,0,0,0,0
630,Rmag_0245,0,0,1,1
631,Rmag_0462,0,0,0,0
632,Rmag_0063,0,0,0,1
633,Rmag_0837,1,1,1,0
634,Rmag_0944,1,1,1,0
635,Rmag_0285,0,0,0,0
636,Rmag_0604,0,0,0,0
637,Rmag_0877,0,1,1,0
