	dnds_mito	ds_mito	dn_mito	dnds_symb	ds_symb	dn_symb	Groups
marissinica-soyoae2	0.05212868551866872	0.3994373096095217	0.020822141897057868	0.1096281335572214	0.18375679242488377	0.020144914182001768	V-V
okutanii-pacifica	0.03539744173571657	1.5477794530983868	0.054787433010789414	0.06936056972423776	1.2806625107545424	0.08882748137040783	R-V
okutanii-phaseoliformis	0.025602176481416525	1.862729877581409	0.04768993906304663	0.08405500124936117	0.988179086385296	0.08306139434070864	R-V
okutanii-phaseoliformis_ref	0.595716265261989	0.3929527656472463	0.23408835397574715				R-V
okutanii-pliocardia	0.018485389436629574	3.0750235948954883	0.05684300867846776	0.06874493933330529	1.2799970192510823	0.08799331743522726	R-V
okutanii-rectimargo	0.0416822678482051	1.4208388675317367	0.05922378624559825	0.09697527526126412	0.8390866745223836	0.08137066122986689	R-V
okutanii-southwardae	0.018697874344995626	2.5519973644244796	0.047716926048768926	0.12503593876399471	0.7375173298315436	0.09221617169020177	R-V
okutanii-soyoae1	0.05443112796983272	0.10448458869709744	0.0056872140182470474	0.10580311391956611	0.08861043976955003	0.009375260453400553	V-V
okutanii-soyoae2	0.05426737995208001	0.1040485620397679	0.005646442849679654	0.10492274890659284	0.08876852995052058	0.009313838178805836	V-V
pacifica-phaseoliformis	0.03953037060327164	1.291164121816444	0.0510401962450518	0.14767681242898384	0.24469732485540516	0.03613612094454579	R-R
pacifica-phaseoliformis_ref	0.03944039923976896	1.267850760534292	0.05000454017191719				R-R
pacifica-pliocardia	0.031065303790523784	1.964620489572996	0.06103153234167268	0.1254078542870418	0.36335632184428895	0.045567736664124045	R-R
pacifica-rectimargo	0.07681458308257692	0.6634909022872835	0.050965777038280466	0.24349266145693477	0.08774469449416097	0.021365189191108906	R-R
pacifica-southwardae	0.0391418510861405	1.273449395879986	0.04984516661927	0.1174409244767393	0.34193024622199936	0.0401566042228707	R-R
pacifica-soyoae1	0.024894031535016445	2.2472652982305497	0.05594349320169944	0.06921852441840312	1.2800876041983282	0.08860577508889714	R-V
pacifica-soyoae2	0.024986967433497247	2.239934743376889	0.05596917648591734	0.06892798610087889	1.2835070800112984	0.08846955817139843	R-V
phaseoliformis-phaseoliformis_ref	0.04082203671483775	0.0510258781677563	0.0020829802719709856				R-R
phaseoliformis-pliocardia	0.028681758656251475	1.7670588249946166	0.05068235474989491	0.12705496058179835	0.274709908808808	0.034903256635132524	R-R
phaseoliformis-rectimargo	0.043500655912151534	1.257916189388741	0.05472017932092446	0.14594644157061792	0.23403770443973498	0.03415697015633533	R-R
phaseoliformis-southwardae	0.040305187911920795	0.19978041187435125	0.00805218704171666	0.11150437640214016	0.23844494803875452	0.026587655237302034	R-R
phaseoliformis-soyoae1	0.02030534724147349	2.3427390780369004	0.04757013047570872	0.08393595501779154	0.988553941200011	0.08297521914122467	R-V
phaseoliformis-soyoae2	0.020280071102870837	2.3498651490984606	0.04765543230587496	0.08347591660539024	0.9925289260678183	0.08285226186087473	R-V
phaseoliformis_ref-pliocardia	0.028178539296426313	1.8050150611059494	0.05086268783001534				R-R
phaseoliformis_ref-rectimargo	0.043269752982575564	1.261372437607173	0.05457927379429159				R-R
phaseoliformis_ref-southwardae	0.03856347803391619	0.209330806083349	0.008072523942217198				R-R
phaseoliformis_ref-soyoae1	0.020136775690274493	2.3314740844096016	0.046948370665444245				R-V
phaseoliformis_ref-soyoae2	0.020190674045317415	2.321633586141195	0.04687534699043822				R-V
pliocardia-rectimargo	0.037265374866276214	1.7227013934961057	0.06419711321128879	0.1241791294174138	0.35126660569366847	0.04361998128844972	R-R
pliocardia-southwardae	0.029309383787527402	1.7538545677942776	0.05140439663499048	0.14340232509440828	0.1935372458726027	0.0277536910504994	R-R
pliocardia-soyoae1	0.018125222401530798	3.106682490020804	0.05630931106256856	0.06867845951409624	1.2807648055704046	0.08796095384644637	R-V
pliocardia-soyoae2	0.018315939109421135	3.083754188183169	0.056481853939185325	0.09524886165758827	0.8701366168381427	0.08287952224041814	R-V
rectimargo-southwardae	0.044160532544925635	1.2458967178526548	0.055019462556348195	0.11708109842230426	0.3276871877034473	0.0383659758752354	R-R
rectimargo-soyoae1	0.027005580225015313	2.2405158271845544	0.06050642991644903	0.09704977483955554	0.8437764714458789	0.08188831656873721	R-V
rectimargo-soyoae2	0.02708718725451619	2.2344926028930376	0.060526119553395	0.09597876588476868	0.8471322358447225	0.08130670653758128	R-V
southwardae-soyoae1	0.029564431164942426	1.5688543080708237	0.04638228519878325	0.0804885482942474	1.0213545009621383	0.08220734107623802	R-V
southwardae-soyoae2	0.029174572820735357	1.6056060485063655	0.0468428705835621	0.08029021796070056	1.0223547958584334	0.08208508939264114	R-V
soyoae1-soyoae2	5.40687633148644	1.788473646674505e-05	9.670055829691623e-05	3.396377403897923e-05	3.7913659749464994e-05	1.2876909727215707e-09	V-V
