R.magnifica	Branch	p_Holm	KH_pval
Rmag_0077	R.kilmeri	1	0.1
Rmag_0077	V.okutanii	1	0.1
Rmag_0077	Node9	1	0.1
Rmag_0077	R.pleocardia	1	0.1
Rmag_0077	Node1	1	0.1
Rmag_0077	Node3	1	0.1
Rmag_0077	Node2	1	0.1
Rmag_0077	Node7	1	0.1
Rmag_0077	Node6	1	0.1
Rmag_0077	Node10	1	0.1
Rmag_0077	V.diagonalis	1	0.1
Rmag_0077	Node14	1	0.1
Rmag_0077	Node18	1	0.1
Rmag_0077	Bathy	1	0.1
Rmag_0116	R.phaseoliformis	1	
Rmag_0116	SUP05	1	
Rmag_0116	R.southwardae	1	
Rmag_0116	R.rectimargo	1	
Rmag_0116	Node21	1	
Rmag_0116	V.extenta	1	
Rmag_0116	R.magnifica	1	
Rmag_0116	V.gigas	1	
Rmag_0116	R.pacifica	1	
Rmag_0116	R.kilmeri	1	
Rmag_0116	V.okutanii	0.05462374513029999	
Rmag_0116	R.pleocardia	1	
Rmag_0116	Node1	1	
Rmag_0116	Node3	1	
Rmag_0116	Node2	1	
Rmag_0116	Node7	1	
Rmag_0116	Node6	1	
Rmag_0116	Node11	1	
Rmag_0116	Node10	1	
Rmag_0116	V.diagonalis	1	
Rmag_0116	Node16	1	
Rmag_0116	Node19	1	
Rmag_0116	Bathy	1	
Rmag_0117	R.phaseoliformis	1	
Rmag_0117	SUP05	1	
Rmag_0117	R.southwardae	1	
Rmag_0117	R.rectimargo	1	
Rmag_0117	V.extenta	1	
Rmag_0117	R.magnifica	1	
Rmag_0117	V.gigas	1	
Rmag_0117	R.pacifica	1	
Rmag_0117	R.kilmeri	1	
Rmag_0117	V.okutanii	0.1612799650514268	
Rmag_0117	R.pleocardia	1	
Rmag_0117	Node1	1	
Rmag_0117	Node3	1	
Rmag_0117	Node2	1	
Rmag_0117	Node4	0.2743131234386532	
Rmag_0117	Node7	0.04818089467012188	
Rmag_0117	Node6	1	
Rmag_0117	Node11	1	
Rmag_0117	Node13	1	
Rmag_0117	Node12	1	
Rmag_0117	V.diagonalis	1	
Rmag_0117	Node8	1	
Rmag_0117	Bathy	1	
Rmag_0126	R.phaseoliformis	1	
Rmag_0126	SUP05	1	
Rmag_0126	R.southwardae	1	
Rmag_0126	R.rectimargo	1	
Rmag_0126	Node20	1	
Rmag_0126	V.extenta	1	
Rmag_0126	R.magnifica	1	
Rmag_0126	V.gigas	1	
Rmag_0126	R.pacifica	1	
Rmag_0126	R.kilmeri	1	
Rmag_0126	V.okutanii	1	
Rmag_0126	Node8	1	
Rmag_0126	Node1	1	
Rmag_0126	Node15	1	
Rmag_0126	Node3	1	
Rmag_0126	Node2	1	
Rmag_0126	Node7	1	
Rmag_0126	Node6	1	
Rmag_0126	Node11	1	
Rmag_0126	V.diagonalis	1	
Rmag_0126	Node17	1	
Rmag_0126	R.pleocardia	1	
Rmag_0126	Bathy	1	
Rmag_0142	R.phaseoliformis	1	
Rmag_0142	SUP05	1	
Rmag_0142	R.southwardae	1	
Rmag_0142	R.rectimargo	1	
Rmag_0142	Node21	1	
Rmag_0142	V.extenta	1	
Rmag_0142	R.magnifica	1	
Rmag_0142	V.gigas	1	
Rmag_0142	R.pacifica	1	
Rmag_0142	R.kilmeri	1	
Rmag_0142	V.okutanii	1	
Rmag_0142	R.pleocardia	1	
Rmag_0142	Node3	1	
Rmag_0142	Node2	1	
Rmag_0142	Node5	1	
Rmag_0142	Node4	1	
Rmag_0142	Node6	1	
Rmag_0142	Node10	1	
Rmag_0142	Node13	1	
Rmag_0142	V.diagonalis	1	
Rmag_0142	Node16	1	
Rmag_0142	Node18	1	
Rmag_0142	Bathy	1	
Rmag_0146	R.phaseoliformis	1	0.05
Rmag_0146	SUP05	1	0.05
Rmag_0146	R.southwardae	1	0.05
Rmag_0146	R.rectimargo	1	0.05
Rmag_0146	V.extenta	1	0.05
Rmag_0146	R.magnifica	1	0.05
Rmag_0146	V.gigas	1	0.05
Rmag_0146	R.pacifica	1	0.05
Rmag_0146	R.kilmeri	1	0.05
Rmag_0146	V.okutanii	1	0.05
Rmag_0146	Node9	1	0.05
Rmag_0146	R.pleocardia	1	0.05
Rmag_0146	Node1	1	0.05
Rmag_0146	Node3	1	0.05
Rmag_0146	Node2	1	0.05
Rmag_0146	Node5	0.001141556575217528	0.05
Rmag_0146	Node4	1	0.05
Rmag_0146	Node13	1	0.05
Rmag_0146	Node12	1	0.05
Rmag_0146	V.diagonalis	1	0.05
Rmag_0146	Node17	1	0.05
Rmag_0146	Node8	0.1534722982863643	0.05
Rmag_0146	Bathy	1	0.05
Rmag_0160	R.phaseoliformis	1	
Rmag_0160	SUP05	1	
Rmag_0160	R.southwardae	1	
Rmag_0160	R.rectimargo	1	
Rmag_0160	V.extenta	1	
Rmag_0160	R.magnifica	1	
Rmag_0160	V.gigas	1	
Rmag_0160	R.pacifica	1	
Rmag_0160	R.kilmeri	1	
Rmag_0160	V.okutanii	1	
Rmag_0160	Node9	1	
Rmag_0160	R.pleocardia	1	
Rmag_0160	Node1	1	
Rmag_0160	Node3	1	
Rmag_0160	Node2	1	
Rmag_0160	Node4	1	
Rmag_0160	Node7	1	
Rmag_0160	Node11	1	
Rmag_0160	Node10	1	
Rmag_0160	V.diagonalis	1	
Rmag_0160	Node17	1	
Rmag_0160	Node16	1	
Rmag_0160	Bathy	1	
Rmag_0169	R.phaseoliformis	1	
Rmag_0169	SUP05	0.006556715295904958	
Rmag_0169	R.southwardae	1	
Rmag_0169	R.rectimargo	1	
Rmag_0169	Node21	1	
Rmag_0169	V.extenta	1	
Rmag_0169	R.magnifica	1	
Rmag_0169	V.gigas	1	
Rmag_0169	R.pacifica	1	
Rmag_0169	R.kilmeri	1	
Rmag_0169	V.okutanii	1	
Rmag_0169	R.pleocardia	1	
Rmag_0169	Node1	1	
Rmag_0169	Node3	0.1159986693889842	
Rmag_0169	Node2	1	
Rmag_0169	Node7	1	
Rmag_0169	Node6	1	
Rmag_0169	Node11	1	
Rmag_0169	Node10	1	
Rmag_0169	V.diagonalis	1	
Rmag_0169	Node16	1	
Rmag_0169	Node19	1	
Rmag_0169	Bathy	1	
Rmag_0178	R.phaseoliformis	1	
Rmag_0178	SUP05	1	
Rmag_0178	R.southwardae	1	
Rmag_0178	R.rectimargo	1	
Rmag_0178	V.extenta	1	
Rmag_0178	R.magnifica	1	
Rmag_0178	V.gigas	1	
Rmag_0178	R.pacifica	1	
Rmag_0178	R.kilmeri	1	
Rmag_0178	V.okutanii	1	
Rmag_0178	R.pleocardia	1	
Rmag_0178	Node1	1	
Rmag_0178	Node15	1	
Rmag_0178	Node2	0.7106659794099746	
Rmag_0178	Node5	1	
Rmag_0178	Node7	1	
Rmag_0178	Node6	1	
Rmag_0178	Node10	1	
Rmag_0178	V.diagonalis	1	
Rmag_0178	Node14	1	
Rmag_0178	Node19	1	
Rmag_0178	Node18	1	
Rmag_0178	Bathy	1	
Rmag_0224	R.phaseoliformis	1	
Rmag_0224	SUP05	0.08379662493998863	
Rmag_0224	R.southwardae	1	
Rmag_0224	R.rectimargo	1	
Rmag_0224	Node21	1	
Rmag_0224	V.extenta	1	
Rmag_0224	R.magnifica	1	
Rmag_0224	V.gigas	1	
Rmag_0224	R.pacifica	1	
Rmag_0224	R.kilmeri	1	
Rmag_0224	V.okutanii	1	
Rmag_0224	Node9	1	
Rmag_0224	R.pleocardia	1	
Rmag_0224	Node1	1	
Rmag_0224	Node3	0.5330639989650672	
Rmag_0224	Node2	1	
Rmag_0224	Node4	1	
Rmag_0224	Node7	1	
Rmag_0224	Node13	1	
Rmag_0224	V.diagonalis	1	
Rmag_0224	Node8	1	
Rmag_0224	Node16	1	
Rmag_0224	Bathy	1	
Rmag_0241	R.phaseoliformis	1	
Rmag_0241	SUP05	1	
Rmag_0241	R.southwardae	1	
Rmag_0241	R.rectimargo	1	
Rmag_0241	Node20	1	
Rmag_0241	V.extenta	1	
Rmag_0241	R.magnifica	1	
Rmag_0241	V.gigas	1	
Rmag_0241	R.pacifica	1	
Rmag_0241	R.kilmeri	1	
Rmag_0241	V.okutanii	1	
Rmag_0241	Node8	1	
Rmag_0241	Node1	1	
Rmag_0241	Node2	1	
Rmag_0241	Node5	1	
Rmag_0241	Node6	1	
Rmag_0241	Node11	1	
Rmag_0241	Node12	0.2196665667672675	
Rmag_0241	V.diagonalis	1	
Rmag_0241	Node17	1	
Rmag_0241	Node16	1	
Rmag_0241	R.pleocardia	1	
Rmag_0241	Bathy	1	
Rmag_0267	R.phaseoliformis	1	
Rmag_0267	SUP05	0.1183395212605984	
Rmag_0267	R.southwardae	1	
Rmag_0267	R.rectimargo	1	
Rmag_0267	Node21	1	
Rmag_0267	V.extenta	1	
Rmag_0267	R.magnifica	1	
Rmag_0267	V.gigas	1	
Rmag_0267	R.pacifica	1	
Rmag_0267	R.kilmeri	1	
Rmag_0267	V.okutanii	1	
Rmag_0267	R.pleocardia	1	
Rmag_0267	Node1	1	
Rmag_0267	Node2	1	
Rmag_0267	Node5	1	
Rmag_0267	Node7	1	
Rmag_0267	Node6	1	
Rmag_0267	Node11	1	
Rmag_0267	V.diagonalis	1	
Rmag_0267	Node14	1	
Rmag_0267	Node17	1	
Rmag_0267	Node16	1	
Rmag_0267	Bathy	1	
Rmag_0286	R.phaseoliformis	1	
Rmag_0286	SUP05	1	
Rmag_0286	R.southwardae	1.750792618482322e-05	
Rmag_0286	R.rectimargo	1	
Rmag_0286	V.extenta	1	
Rmag_0286	R.magnifica	1	
Rmag_0286	V.gigas	1	
Rmag_0286	R.pacifica	1	
Rmag_0286	R.kilmeri	1	
Rmag_0286	V.okutanii	1	
Rmag_0286	Node9	1	
Rmag_0286	Node8	1	
Rmag_0286	Node1	1	
Rmag_0286	Node3	1	
Rmag_0286	Node2	1	
Rmag_0286	Node5	1	
Rmag_0286	Node4	1	
Rmag_0286	Node13	1	
Rmag_0286	Node12	1	
Rmag_0286	V.diagonalis	1	
Rmag_0286	Node17	1	
Rmag_0286	R.pleocardia	1	
Rmag_0286	Bathy	1	
Rmag_0289	R.phaseoliformis	1	
Rmag_0289	SUP05	1	
Rmag_0289	R.southwardae	1	
Rmag_0289	R.rectimargo	1	
Rmag_0289	Node20	1	
Rmag_0289	V.extenta	1	
Rmag_0289	R.magnifica	1	
Rmag_0289	V.gigas	1	
Rmag_0289	R.pacifica	1	
Rmag_0289	R.kilmeri	1	
Rmag_0289	V.okutanii	1	
Rmag_0289	R.pleocardia	1	
Rmag_0289	Node1	1	
Rmag_0289	Node3	1	
Rmag_0289	Node2	1	
Rmag_0289	Node7	1	
Rmag_0289	Node6	1	
Rmag_0289	Node11	1	
Rmag_0289	Node10	1	
Rmag_0289	V.diagonalis	1	
Rmag_0289	Node14	1	
Rmag_0289	Node17	1	
Rmag_0289	Bathy	1	
Rmag_0302	R.phaseoliformis	1	
Rmag_0302	SUP05	1	
Rmag_0302	R.southwardae	1	
Rmag_0302	R.rectimargo	1	
Rmag_0302	Node21	1	
Rmag_0302	V.extenta	1	
Rmag_0302	R.magnifica	1	
Rmag_0302	V.gigas	1	
Rmag_0302	R.pacifica	1	
Rmag_0302	R.kilmeri	1	
Rmag_0302	V.okutanii	1	
Rmag_0302	R.pleocardia	1	
Rmag_0302	Node1	1	
Rmag_0302	Node3	0.5627329492821014	
Rmag_0302	Node2	1	
Rmag_0302	Node7	1	
Rmag_0302	Node6	0.0004578127842558288	
Rmag_0302	Node11	1	
Rmag_0302	V.diagonalis	1	
Rmag_0302	Node17	1	
Rmag_0302	Node16	1	
Rmag_0302	Node8	1	
Rmag_0302	Bathy	0.2661155887480151	
Rmag_0319	R.phaseoliformis	1	
Rmag_0319	SUP05	1	
Rmag_0319	R.southwardae	1	
Rmag_0319	R.rectimargo	1	
Rmag_0319	V.extenta	1	
Rmag_0319	R.magnifica	1	
Rmag_0319	V.gigas	1	
Rmag_0319	R.pacifica	0.317675465534208	
Rmag_0319	R.kilmeri	1	
Rmag_0319	V.okutanii	1	
Rmag_0319	Node9	1	
Rmag_0319	R.pleocardia	1	
Rmag_0319	Node1	1	
Rmag_0319	Node3	1	
Rmag_0319	Node2	1	
Rmag_0319	Node5	0.7051063370065803	
Rmag_0319	Node4	1	
Rmag_0319	Node10	1	
Rmag_0319	V.diagonalis	1	
Rmag_0319	Node14	1	
Rmag_0319	Node17	1	
Rmag_0319	Node8	1	
Rmag_0319	Bathy	1	
Rmag_0321	R.phaseoliformis	1	
Rmag_0321	SUP05	0.2939725792919461	
Rmag_0321	R.southwardae	1	
Rmag_0321	R.rectimargo	1	
Rmag_0321	Node21	1	
Rmag_0321	V.extenta	1	
Rmag_0321	R.magnifica	1	
Rmag_0321	V.gigas	1	
Rmag_0321	R.pacifica	1	
Rmag_0321	R.kilmeri	1	
Rmag_0321	V.okutanii	1	
Rmag_0321	R.pleocardia	1	
Rmag_0321	Node1	1	
Rmag_0321	Node2	1	
Rmag_0321	Node5	1	
Rmag_0321	Node6	1	
Rmag_0321	Node11	1	
Rmag_0321	Node10	1	
Rmag_0321	Node13	1	
Rmag_0321	V.diagonalis	1	
Rmag_0321	Node16	1	
Rmag_0321	Node19	1	
Rmag_0321	Bathy	1	
Rmag_0329	R.phaseoliformis	1	
Rmag_0329	SUP05	0.482963386314939	
Rmag_0329	R.southwardae	1	
Rmag_0329	R.rectimargo	1	
Rmag_0329	Node20	1	
Rmag_0329	V.extenta	1	
Rmag_0329	R.magnifica	1	
Rmag_0329	V.gigas	1	
Rmag_0329	R.pacifica	1	
Rmag_0329	R.kilmeri	1	
Rmag_0329	V.okutanii	1	
Rmag_0329	R.pleocardia	1	
Rmag_0329	Node1	1	
Rmag_0329	Node3	1	
Rmag_0329	Node2	1	
Rmag_0329	Node7	1	
Rmag_0329	Node6	1	
Rmag_0329	Node12	1	
Rmag_0329	V.diagonalis	1	
Rmag_0329	Node8	1	
Rmag_0329	Node16	1	
Rmag_0329	Node19	0.5307545102118967	
Rmag_0329	Bathy	1	
Rmag_0419	R.phaseoliformis	1	
Rmag_0419	SUP05	1	
Rmag_0419	R.southwardae	1	
Rmag_0419	R.rectimargo	1	
Rmag_0419	Node21	1	
Rmag_0419	V.extenta	1	
Rmag_0419	R.magnifica	1	
Rmag_0419	V.gigas	1	
Rmag_0419	R.pacifica	1	
Rmag_0419	R.kilmeri	1	
Rmag_0419	V.okutanii	1	
Rmag_0419	Node9	1	
Rmag_0419	R.pleocardia	1	
Rmag_0419	Node1	1	
Rmag_0419	Node15	1	
Rmag_0419	Node2	0.1322440781259866	
Rmag_0419	Node5	1	
Rmag_0419	Node6	1	
Rmag_0419	Node10	1	
Rmag_0419	V.diagonalis	1	
Rmag_0419	Node17	1	
Rmag_0419	Node16	1	
Rmag_0419	Bathy	1	
Rmag_0420	R.phaseoliformis	1	
Rmag_0420	SUP05	1	
Rmag_0420	R.southwardae	1	
Rmag_0420	R.rectimargo	1	
Rmag_0420	Node21	1	
Rmag_0420	V.extenta	1	
Rmag_0420	R.magnifica	1	
Rmag_0420	V.gigas	1	
Rmag_0420	R.pacifica	1	
Rmag_0420	R.kilmeri	1	
Rmag_0420	V.okutanii	1	
Rmag_0420	R.pleocardia	1	
Rmag_0420	Node1	1	
Rmag_0420	Node3	1	
Rmag_0420	Node2	1	
Rmag_0420	Node7	1	
Rmag_0420	Node6	1	
Rmag_0420	Node12	1	
Rmag_0420	V.diagonalis	1	
Rmag_0420	Node17	1	
Rmag_0420	Node16	1	
Rmag_0420	Node8	1	
Rmag_0420	Bathy	1	
Rmag_0434	R.phaseoliformis	1	
Rmag_0434	SUP05	1	
Rmag_0434	R.southwardae	1	
Rmag_0434	R.rectimargo	1	
Rmag_0434	Node20	1	
Rmag_0434	V.extenta	1	
Rmag_0434	R.magnifica	1	
Rmag_0434	V.gigas	1	
Rmag_0434	R.pacifica	1	
Rmag_0434	R.kilmeri	1	
Rmag_0434	V.okutanii	1	
Rmag_0434	Node9	1	
Rmag_0434	R.pleocardia	1	
Rmag_0434	Node1	1	
Rmag_0434	Node3	1	
Rmag_0434	Node2	1	
Rmag_0434	Node4	1	
Rmag_0434	Node7	1	
Rmag_0434	Node12	1	
Rmag_0434	V.diagonalis	1	
Rmag_0434	Node8	1	
Rmag_0434	Node16	1	
Rmag_0434	Bathy	1	
Rmag_0497	R.phaseoliformis	1	
Rmag_0497	SUP05	1	
Rmag_0497	R.southwardae	1	
Rmag_0497	R.rectimargo	1	
Rmag_0497	Node21	1	
Rmag_0497	V.extenta	1	
Rmag_0497	R.magnifica	1	
Rmag_0497	V.gigas	1	
Rmag_0497	R.pacifica	1	
Rmag_0497	R.kilmeri	1	
Rmag_0497	V.okutanii	1	
Rmag_0497	R.pleocardia	1	
Rmag_0497	Node1	1	
Rmag_0497	Node3	1	
Rmag_0497	Node2	1	
Rmag_0497	Node4	0.06205836543957455	
Rmag_0497	Node7	1	
Rmag_0497	Node11	1	
Rmag_0497	Node12	1	
Rmag_0497	V.diagonalis	1	
Rmag_0497	Node17	1	
Rmag_0497	Node8	1	
Rmag_0497	Bathy	1	
Rmag_0498	R.phaseoliformis	1	0.1
Rmag_0498	SUP05	0.4484470465806059	0.1
Rmag_0498	R.southwardae	1	0.1
Rmag_0498	R.rectimargo	1	0.1
Rmag_0498	V.extenta	1	0.1
Rmag_0498	R.magnifica	1	0.1
Rmag_0498	V.gigas	1	0.1
Rmag_0498	R.pacifica	1	0.1
Rmag_0498	R.kilmeri	1	0.1
Rmag_0498	V.okutanii	1	0.1
Rmag_0498	Node9	1	0.1
Rmag_0498	R.pleocardia	1	0.1
Rmag_0498	Node1	1	0.1
Rmag_0498	Node3	1	0.1
Rmag_0498	Node2	1	0.1
Rmag_0498	Node4	0.4361396373974414	0.1
Rmag_0498	Node7	1	0.1
Rmag_0498	Node12	1	0.1
Rmag_0498	V.diagonalis	1	0.1
Rmag_0498	Node17	1	0.1
Rmag_0498	Node16	1	0.1
Rmag_0498	Node8	1	0.1
Rmag_0498	Bathy	1	0.1
Rmag_0534	R.phaseoliformis	1	
Rmag_0534	SUP05	0.1200610332503165	
Rmag_0534	R.southwardae	1	
Rmag_0534	R.rectimargo	1	
Rmag_0534	Node21	1	
Rmag_0534	V.extenta	1	
Rmag_0534	R.magnifica	1	
Rmag_0534	V.gigas	1	
Rmag_0534	R.pacifica	1	
Rmag_0534	R.kilmeri	1	
Rmag_0534	V.okutanii	1	
Rmag_0534	R.pleocardia	1	
Rmag_0534	Node1	1	
Rmag_0534	Node3	1	
Rmag_0534	Node2	1	
Rmag_0534	Node7	1	
Rmag_0534	Node6	1	
Rmag_0534	Node11	1	
Rmag_0534	Node10	1	
Rmag_0534	V.diagonalis	1	
Rmag_0534	Node17	1	
Rmag_0534	Node16	1	
Rmag_0534	Bathy	1	
Rmag_0537	R.phaseoliformis	1	
Rmag_0537	SUP05	1	
Rmag_0537	R.southwardae	1	
Rmag_0537	R.rectimargo	1	
Rmag_0537	Node20	1	
Rmag_0537	V.extenta	1	
Rmag_0537	R.magnifica	1	
Rmag_0537	V.gigas	1	
Rmag_0537	R.pacifica	1	
Rmag_0537	R.kilmeri	1	
Rmag_0537	V.okutanii	1	
Rmag_0537	Node9	1	
Rmag_0537	Node8	1	
Rmag_0537	Node1	1	
Rmag_0537	Node3	1	
Rmag_0537	Node2	1	
Rmag_0537	Node4	1	
Rmag_0537	Node7	1	
Rmag_0537	Node12	1	
Rmag_0537	V.diagonalis	1	
Rmag_0537	Node16	1	
Rmag_0537	R.pleocardia	1	
Rmag_0537	Bathy	1	
Rmag_0542	R.phaseoliformis	1	
Rmag_0542	SUP05	1	
Rmag_0542	R.southwardae	1	
Rmag_0542	R.rectimargo	1	
Rmag_0542	Node21	1	
Rmag_0542	V.extenta	1	
Rmag_0542	R.magnifica	1	
Rmag_0542	V.gigas	1	
Rmag_0542	R.pacifica	1	
Rmag_0542	R.kilmeri	1	
Rmag_0542	V.okutanii	1	
Rmag_0542	Node8	1	
Rmag_0542	Node1	1	
Rmag_0542	Node2	0.9914832723002567	
Rmag_0542	Node5	1	
Rmag_0542	Node6	1	
Rmag_0542	Node11	1	
Rmag_0542	Node12	1	
Rmag_0542	V.diagonalis	1	
Rmag_0542	Node17	1	
Rmag_0542	Node16	1	
Rmag_0542	R.pleocardia	1	
Rmag_0542	Bathy	1	
Rmag_0547	R.phaseoliformis	1	
Rmag_0547	SUP05	1	
Rmag_0547	R.southwardae	1	
Rmag_0547	R.rectimargo	1	
Rmag_0547	Node20	1	
Rmag_0547	V.extenta	1	
Rmag_0547	R.magnifica	1	
Rmag_0547	V.gigas	1	
Rmag_0547	R.pacifica	1	
Rmag_0547	R.kilmeri	1	
Rmag_0547	V.okutanii	1	
Rmag_0547	R.pleocardia	1	
Rmag_0547	Node1	1	
Rmag_0547	Node2	1	
Rmag_0547	Node5	1	
Rmag_0547	Node7	1	
Rmag_0547	Node6	1	
Rmag_0547	Node10	1	
Rmag_0547	V.diagonalis	1	
Rmag_0547	Node14	1	
Rmag_0547	Node16	1	
Rmag_0547	Node19	1	
Rmag_0547	Bathy	1	
Rmag_0548	R.phaseoliformis	1	
Rmag_0548	SUP05	1	
Rmag_0548	R.southwardae	1	
Rmag_0548	R.rectimargo	1	
Rmag_0548	Node20	1	
Rmag_0548	V.extenta	1	
Rmag_0548	R.magnifica	1	
Rmag_0548	V.gigas	1	
Rmag_0548	R.pacifica	1	
Rmag_0548	R.kilmeri	1	
Rmag_0548	V.okutanii	1	
Rmag_0548	R.pleocardia	1	
Rmag_0548	Node1	1	
Rmag_0548	Node15	1	
Rmag_0548	Node3	1	
Rmag_0548	Node2	1	
Rmag_0548	Node7	1	
Rmag_0548	Node6	0.4484136485262917	
Rmag_0548	Node11	1	
Rmag_0548	Node10	1	
Rmag_0548	V.diagonalis	1	
Rmag_0548	Node19	1	
Rmag_0548	Bathy	1	
Rmag_0560	R.phaseoliformis	1	
Rmag_0560	SUP05	1	
Rmag_0560	R.southwardae	1	
Rmag_0560	R.rectimargo	1	
Rmag_0560	Node20	1	
Rmag_0560	V.extenta	1	
Rmag_0560	R.magnifica	1	
Rmag_0560	V.gigas	1	
Rmag_0560	R.pacifica	1	
Rmag_0560	R.kilmeri	1	
Rmag_0560	V.okutanii	1	
Rmag_0560	Node9	1	
Rmag_0560	R.pleocardia	1	
Rmag_0560	Node1	1	
Rmag_0560	Node2	1	
Rmag_0560	Node5	1	
Rmag_0560	Node7	1	
Rmag_0560	Node6	1	
Rmag_0560	V.diagonalis	1	
Rmag_0560	Node14	1	
Rmag_0560	Node16	1	
Rmag_0560	Node19	1	
Rmag_0560	Bathy	1	
Rmag_0570	R.phaseoliformis	1	
Rmag_0570	SUP05	1	
Rmag_0570	R.southwardae	1	
Rmag_0570	R.rectimargo	1.441162352255887e-05	
Rmag_0570	Node21	1	
Rmag_0570	V.extenta	1	
Rmag_0570	R.magnifica	1	
Rmag_0570	V.gigas	1	
Rmag_0570	R.pacifica	1	
Rmag_0570	R.kilmeri	1	
Rmag_0570	V.okutanii	1	
Rmag_0570	Node9	1	
Rmag_0570	R.pleocardia	1	
Rmag_0570	Node1	1	
Rmag_0570	Node15	1	
Rmag_0570	Node3	1	
Rmag_0570	Node2	1	
Rmag_0570	Node7	1	
Rmag_0570	Node6	1	
Rmag_0570	Node10	1	
Rmag_0570	V.diagonalis	1	
Rmag_0570	Node16	0.1158587431142535	
Rmag_0570	Bathy	1	
Rmag_0574	R.phaseoliformis	1	0.01
Rmag_0574	SUP05	1	0.01
Rmag_0574	R.southwardae	1	0.01
Rmag_0574	R.rectimargo	1	0.01
Rmag_0574	Node20	1.272780740002588e-05	0.01
Rmag_0574	V.extenta	1	0.01
Rmag_0574	R.magnifica	1	0.01
Rmag_0574	V.gigas	1	0.01
Rmag_0574	R.pacifica	1	0.01
Rmag_0574	R.kilmeri	1	0.01
Rmag_0574	V.okutanii	1	0.01
Rmag_0574	Node9	1	0.01
Rmag_0574	R.pleocardia	1	0.01
Rmag_0574	Node1	1	0.01
Rmag_0574	Node3	1	0.01
Rmag_0574	Node2	1	0.01
Rmag_0574	Node4	1	0.01
Rmag_0574	Node7	0.003170374735488646	0.01
Rmag_0574	Node13	1	0.01
