gene	ncodons	SymvsFL_k	RuvsFL_k	GivsFL_k	GivsRu_k
Rmag_0127	438	0.56	0.57	0.63	
Rmag_0132	394	0.51	0.23	0.46	
Rmag_0133	419	0.06	0.63	0.68	
Rmag_0134	341			0.03	0.60
Rmag_0135	151			0.44	
Rmag_0136	642				
Rmag_0137	272				
Rmag_0138	442			4.37	
Rmag_0139	191	0.53	0.66	0.44	
Rmag_0140	186				
Rmag_0141	510	0.22	0.49	0.52	
Rmag_0142	317				
Rmag_0143	205	2.81			
Rmag_0144	276			0.39	0.13
Rmag_0145	289	0.42		0.32	0.63
Rmag_0146	398	0.30	0.1	0.13	
Rmag_0147	187	0.08	0.05	0.35	
Rmag_0151	403	0.68	0.05	0.74	1.30
Rmag_0152	194	0.32	0.34	0.29	
Rmag_0153	439	2.63		1.11	
Rmag_0156	632	0.00	0.66	0.29	
Rmag_0158	346	0.12	0.34	0.57	1.30
Rmag_0160	153				
Rmag_0161	157	0.00	0.10	0.35	
Rmag_0162	718	0.08	0.34	0.55	
Rmag_0164	103				
Rmag_0165	261		0.66		
Rmag_0166	204	0.66	0.63	0.64	
Rmag_0167	97	0.00	0.50	0.00	
Rmag_0168	276	0.00	0.00	0.00	
Rmag_0169	89	0.04	0.00	0.00	
Rmag_0170	113		0.24		1.83
Rmag_0171	234	0.49	0.49	0.47	
Rmag_0172	136	0.23		0.22	
Rmag_0173	62				
Rmag_0174	88		0.48	0.62	
Rmag_0175	122			0.13	
Rmag_0176	103	0.53	0.47		
Rmag_0177	183	0.00	0.00	0.00	
Rmag_0178	101				
Rmag_0179	131	0.37	0.34	0.07	
Rmag_0180	181	0.00	0.10	0.58	
Rmag_0181	115	0.00	0.00		
Rmag_0182	173				
Rmag_0183	118	0.20	0.17	0.00	
Rmag_0184	147	0.01	0.08	0.08	
Rmag_0185	433	0.40	0.63	0.46	
Rmag_0187	119	0.00	0.00	0.00	
Rmag_0188	128	0.69	0.62		
Rmag_0189	208				
Rmag_0190	326				
Rmag_0191	132	0.01	0.10	0.05	
Rmag_0192	71				
Rmag_0197	382				
Rmag_0199	831	4.51			0.81
Rmag_0200	199		0.58	0.00	
Rmag_0201	103				
Rmag_0203	234				
Rmag_0204	433				
Rmag_0205	198	0.04	0.02		
Rmag_0206	437	0.03	0.11		
Rmag_0208	778				
Rmag_0211	480	2.67			0.02
Rmag_0213	217	0.08		0.12	
Rmag_0214	138			0.57	
Rmag_0215	116	0.00	0.00	0.00	
Rmag_0216	249		0.63		
Rmag_0217	272				
Rmag_0221	547				
Rmag_0222	428	0.16	0.28	0.14	1.17
Rmag_0223	217			0.38	
Rmag_0224	173				
Rmag_0225	74	0.68	0.64		
Rmag_0227	227	0.58	0.20	0.62	1.80
Rmag_0232	312	5.97		3.77	1.51
Rmag_0233	285	0.22	0.23	0.00	
Rmag_0234	215		0.43		7.35
Rmag_0235	848	0.62	0.61	0.50	
Rmag_0236	475		0.61		
Rmag_0237	118	0.34		0.29	
Rmag_0238	159				
Rmag_0239	205	5.62			0.45
Rmag_0240	417				
Rmag_0241	157				
Rmag_0242	422				1.28
Rmag_0243	753	4.15			
Rmag_0244	359			0.63	
Rmag_0245	164			0.10	0.52
Rmag_0246	207				
Rmag_0247	101	0.45			
Rmag_0248	656	0.57			
Rmag_0249	516	0.01	0.35	0.43	
Rmag_0250	484	0.60	0.65	0.60	
Rmag_0257	262				
Rmag_0258	313				0.02
Rmag_0260	182				0.26
Rmag_0261	185	0.49	0.49	0.47	
Rmag_0262	239	0.41	0.44	0.49	
Rmag_0263	962		0.67	0.63	
Rmag_0265	210			0.48	
Rmag_0266	333	0.22	0.61	0.52	
Rmag_0267	188				
Rmag_0269	138	0.35		0.06	0.47
Rmag_0270	472	0.00	0.00	0.68	
Rmag_0271	275	0.10	0.30	0.38	
Rmag_0272	639		0.00	0.00	
Rmag_0273	403	4.68			
Rmag_0274	377				
Rmag_0275	230				0.07
Rmag_0276	112				
Rmag_0278	336		0.54		
Rmag_0279	378	0.47	0.44	0.46	
Rmag_0280	635		0.00	0.00	0.87
Rmag_0281	124	0.58	0.19		2.58
Rmag_0284	210	0.00	0.45	0.30	
Rmag_0285	318				
Rmag_0286	102	0.55	0.61	0.55	
Rmag_0287	71		0.03		
Rmag_0288	106				
Rmag_0289	126	0.22		0.02	
Rmag_0290	449	0.55	0.57	0.12	0.44
Rmag_0292	367	0.58	0.00	0.42	
Rmag_0293	86	0.23	0.22	0.44	
Rmag_0294	298	1.33			
Rmag_0295	615	0.34			
Rmag_0298	312				
Rmag_0302	746	0.45	0.37	0.47	
Rmag_0303	136				
Rmag_0304	264		0.54		
Rmag_0305	364	7.43	8.14	9.45	
Rmag_0306	869	0.55	0.06	0.49	1.09
Rmag_0307	523	0.53	0.65	0.43	0.79
Rmag_0308	150				
Rmag_0311	106				
Rmag_0314	177				
Rmag_0319	95				
Rmag_0320	736	0.35	0.33	0.10	
Rmag_0321	61	0.00	0.00		
Rmag_0323	191				
Rmag_0325	245	0.41	0.59	0.37	
Rmag_0327	233				
Rmag_0328	240	0.00	0.00	0.00	
Rmag_0329	322	0.15		0.33	
Rmag_0331	138				
Rmag_0333	203	0.00			
Rmag_0336	468			0.68	
Rmag_0337	239				3.37
Rmag_0338	399	0.32	0.59	0.67	1.44
Rmag_0339	244	0.47	0.47	0.48	
Rmag_0340	961	0.55	0.60	0.67	
Rmag_0341	361			0.43	
Rmag_0342	201				
Rmag_0343	95	0.33	0.26	0.35	
Rmag_0344	480			0.69	
Rmag_0345	477	0.00	0.48	0.04	0.30
Rmag_0347	216				0.12
Rmag_0348	561	0.00	0.00	0.05	
Rmag_0349	273				
Rmag_0350	419				
Rmag_0351	428	0.63		0.59	
Rmag_0352	372			0.66	
Rmag_0353	643	0.64	0.57	0.50	
Rmag_0354	161				
Rmag_0356	176	0.50	0.59		
Rmag_0361	725	3.53	2.77		
Rmag_0362	195	14.23	10.77		
Rmag_0363	457	1.61			
Rmag_0364	485			0.53	0.76
Rmag_0365	687	0.22	0.45	0.27	
Rmag_0366	323	0.00	0.43	0.46	
Rmag_0367	210	0.01		0.31	
Rmag_0368	605	0.62	0.09	0.58	
Rmag_0371	204				
Rmag_0372	477	0.09	0.00	0.00	
Rmag_0373	592			0.14	
Rmag_0374	160			0.44	6.65
Rmag_0378	161	0.46	0.44	0.45	
Rmag_0379	165	0.35	0.35		
Rmag_0382	360				
Rmag_0383	107				
Rmag_0384	366	0.52		0.34	
Rmag_0385	165	0.54	0.52	0.50	
Rmag_0386	607				
Rmag_0388	200		0.20		4.20
Rmag_0389	109				
Rmag_0392	1277	0.77		0.01	0.05
Rmag_0394	247	0.13	0.07	0.17	0.69
Rmag_0395	319				0.00
Rmag_0396	584	0.64		0.55	
Rmag_0397	204	9.03			1.55
Rmag_0398	260				
Rmag_0404	223		13.20		0.41
Rmag_0405	113			0.00	
Rmag_0409	334	0.09	0.29	0.22	
Rmag_0410	622	0.38	0.00	0.00	
Rmag_0411	424		0.46		
Rmag_0412	349	0.46	0.35	0.45	
Rmag_0413	256				
Rmag_0414	157	0.25	0.17	0.20	
Rmag_0415	260				
Rmag_0416	287				
Rmag_0417	194				
Rmag_0419	310				2.28
Rmag_0420	136				
Rmag_0421	253			0.41	0.22
Rmag_0423	427			0.51	
Rmag_0425	392	0.49	0.63	0.67	
Rmag_0430	366			0.00	
Rmag_0432	232	0.00	0.09	0.14	
Rmag_0433	408				
Rmag_0434	212				2.15
Rmag_0435	278	0.35		0.33	
Rmag_0437	239				
Rmag_0438	373	0.03	0.00	0.04	
Rmag_0444	308	0.56			1.46
Rmag_0445	579	0.14	0.13	0.14	0.12
Rmag_0446	165	1.91			
Rmag_0447	343	0.53	0.02	0.60	1.29
Rmag_0448	254				
Rmag_0449	512				1.43
Rmag_0450	140				
Rmag_0452	300				1.55
Rmag_0453	386				
Rmag_0454	102		0.37		
Rmag_0455	450	0.41	0.52	0.18	0.50
Rmag_0456	473	0.60		0.03	
Rmag_0457	125	0.02	0.05	0.07	0.10
Rmag_0458	883			0.66	
Rmag_0462	486	0.74	0.23	0.65	
Rmag_0463	225	0.49		0.28	0.40
Rmag_0464	915	0.24	0.07	0.10	
Rmag_0466	564			0.63	
Rmag_0469	278				37.83
Rmag_0470	375				0.45
Rmag_0472	132			0.05	0.50
Rmag_0473	178				
Rmag_0474	471	0.04	0.45	0.00	
Rmag_0475	846		0.60	0.61	0.40
Rmag_0476	108		0.45	0.48	
Rmag_0477	428				1.60
Rmag_0478	390			0.36	0.28
Rmag_0481	85				0.29
Rmag_0482	284				
Rmag_0483	314				
Rmag_0484	341				
Rmag_0485	65	0.50	0.43	0.53	
Rmag_0486	174	0.00	0.00	0.00	
Rmag_0487	237				
Rmag_0490	250	0.68			
Rmag_0491	268	0.62	0.61	0.42	
Rmag_0492	258	0.63	0.67	0.52	
Rmag_0493	618	0.49	0.00	0.00	1.41
Rmag_0495	178				
Rmag_0496	308		0.54		1.57
Rmag_0497	74	0.30		0.18	
Rmag_0498	471	0.66	0.62	0.69	
Rmag_0499	339	0.37	0.40	0.20	
Rmag_0502	554	0.56	0.54	0.63	
Rmag_0504	205	0.11	0.44	0.51	
Rmag_0505	362				
Rmag_0506	183		0.29	0.11	
Rmag_0507	143	0.54		0.49	
Rmag_0510	167	0.00	0.44	0.31	
Rmag_0511	393				
Rmag_0512	261	0.03		0.06	
Rmag_0513	712	33.92			
Rmag_0514	81			0.35	2.81
Rmag_0518	435			6.96	1.90
Rmag_0520	630				9.92
Rmag_0522	341			0.62	
Rmag_0523	758	0.60	0.62	0.56	
Rmag_0524	378	0.57	0.51		
Rmag_0525	89	0.49	0.37	0.39	
Rmag_0526	224				
Rmag_0528	145				
Rmag_0529	559	0.58	0.75	0.80	
Rmag_0531	439	0.28	0.20	0.46	
Rmag_0532	322				1.87
Rmag_0533	285		0.64		2.10
Rmag_0534	394	0.00	0.00		
Rmag_0535	769	0.51	0.54	0.55	
Rmag_0537	260			0.55	
Rmag_0542	204				
Rmag_0543	315	0.13	0.54	0.49	
Rmag_0544	1225			0.75	
Rmag_0545	394				
Rmag_0546	340	2.16			2.76
Rmag_0547	262	0.03	0.01	0.06	
Rmag_0548	123				
Rmag_0549	265				
Rmag_0550	278				2.62
Rmag_0553	768		0.58	0.60	
Rmag_0554	332	13.06		10.82	2.33
Rmag_0555	147	0.39	0.33	0.43	
Rmag_0556	265				
Rmag_0558	89				
Rmag_0559	205	0.21	0.38		
Rmag_0560	285				
Rmag_0561	95				
Rmag_0562	550			45.58	0.68
Rmag_0563	640	0.30	0.31	0.31	
Rmag_0565	75				
Rmag_0566	415		0.72		
Rmag_0567	71	0.34		0.31	
Rmag_0568	650			0.60	0.29
Rmag_0570	669	0.67	0.47	0.31	
Rmag_0571	365	0.00	0.15	0.40	0.05
Rmag_0572	112	0.55		0.46	
Rmag_0573	616	0.17	0.18	0.40	
Rmag_0574	171	5.19			
Rmag_0575	107				
Rmag_0576	126				
Rmag_0577	406			0.66	
Rmag_0578	141		0.06		
Rmag_0579	238	2.02			
Rmag_0581	263		0.31	0.57	
Rmag_0583	174	0.00	0.41	0.24	
Rmag_0584	311	0.14	0.12	0.00	
Rmag_0585	407		0.18		1.34
Rmag_0587	421		0.48	0.31	
Rmag_0588	92	0.46			
Rmag_0589	335				
Rmag_0591	101				
Rmag_0592	580		0.00		1.58
Rmag_0593	235	0.02	0.05	0.11	
Rmag_0594	533	0.53	0.54	0.57	
Rmag_0595	162	0.34	0.25	0.34	
Rmag_0597	223				
Rmag_0599	225				
Rmag_0600	419	2.42			
Rmag_0601	205		0.35		1.86
Rmag_0602	445	0.30	0.46	0.08	
Rmag_0604	476	0.58	0.49	0.56	
Rmag_0605	264	0.59	0.58	0.56	
Rmag_0606	611	0.62	0.63	0.55	0.74
Rmag_0607	149			0.00	
Rmag_0608	237	0.21	0.16	0.06	
Rmag_0609	102				2.33
Rmag_0611	242			0.11	0.08
Rmag_0613	316	0.60	0.00	0.66	
Rmag_0614	222				
Rmag_0615	237	0.38	0.34	0.35	
Rmag_0617	261				
Rmag_0618	104				
Rmag_0619	220				
Rmag_0620	455				
Rmag_0621	307				
Rmag_0622	113				
Rmag_0623	435			0.00	
Rmag_0624	285				
Rmag_0626	366		0.67	0.68	
Rmag_0628	359		0.60		1.32
Rmag_0632	419	0.22	0.07	0.18	
Rmag_0635	254				
Rmag_0640	156	0.64	0.40		
Rmag_0642	789	0.06	0.57	0.50	
Rmag_0643	341	0.12	0.13	0.06	
Rmag_0645	125				
Rmag_0647	177	0.00	0.00	0.00	
Rmag_0648	638	0.63	0.53	0.06	
Rmag_0649	573	0.66		0.02	0.64
Rmag_0651	332				
Rmag_0652	157				
Rmag_0654	261	0.56	0.52	0.56	
Rmag_0656	617	0.56	0.47	0.57	
Rmag_0659	142	0.30			
Rmag_0661	247	0.36	0.56	0.63	
Rmag_0662	228				
Rmag_0664	117		0.06		
Rmag_0665	84				
Rmag_0666	151	0.03	0.15	0.01	0.71
Rmag_0667	484				
Rmag_0668	352				3.55
Rmag_0669	243			0.00	
Rmag_0671	432	0.45	0.41	0.46	
Rmag_0672	205			0.27	0.52
Rmag_0673	470	0.45	0.43	0.42	
Rmag_0674	561	0.00	0.00	0.00	
Rmag_0676	578	1.38	0.71		
Rmag_0677	356	0.01	0.00	0.00	
Rmag_0678	105	0.19	0.00		
Rmag_0679	202			0.08	0.00
Rmag_0680	114				
Rmag_0683	225				
Rmag_0684	345	0.56	0.50	0.57	
Rmag_0689	150	0.18	0.06	0.00	
Rmag_0690	201				
Rmag_0691	424	0.06	0.25	0.31	
Rmag_0692	180	0.47	0.49	0.47	
Rmag_0693	331	0.19	0.41	0.05	
Rmag_0694	92	0.39		0.40	
Rmag_0698	182	0.03	0.28	0.20	
Rmag_0699	817	0.44	0.47	0.41	
Rmag_0700	271	0.47		0.56	0.59
Rmag_0701	494	0.86			0.00
Rmag_0704	410	2.58			
Rmag_0714	384	0.34	0.49	0.47	
Rmag_0717	110			0.00	
Rmag_0721	707			0.86	0.00
Rmag_0730	417				
Rmag_0731	363	0.00	0.29	0.33	
Rmag_0732	268		0.54		
Rmag_0733	135				
Rmag_0736	201				
Rmag_0737	221		0.42	0.59	
Rmag_0738	379				
Rmag_0739	465	0.52		0.41	
Rmag_0740	307	0.23	0.35	0.03	0.13
Rmag_0741	208			0.07	
Rmag_0743	449	0.50	0.41	0.12	
Rmag_0744	239		0.31	0.34	
Rmag_0745	168				
Rmag_0747	366	0.48	0.44	0.48	
Rmag_0749	97				
Rmag_0755	252				
Rmag_0756	157				
Rmag_0757	473				
Rmag_0758	281				
Rmag_0759	306			0.00	
Rmag_0763	102	0.11	0.12	0.17	
Rmag_0765	311				
Rmag_0767	228	0.58			1.76
Rmag_0769	428	0.47		0.43	
Rmag_0770	357	0.72		0.66	
Rmag_0772	297	0.20	0.61	0.55	
Rmag_0774	140	0.07	0.19		
Rmag_0781	319	0.53	0.59		
Rmag_0783	307		0.24	0.34	
Rmag_0784	480	0.00	0.00	0.00	
Rmag_0785	323		0.06	0.47	
Rmag_0787	859	0.00	0.02	0.02	
Rmag_0788	220	0.48		0.41	
Rmag_0790	277	0.00	0.00		
Rmag_0793	496				
Rmag_0794	359				
Rmag_0795	266		0.57		
Rmag_0800	350				2.44
Rmag_0801	397				
Rmag_0803	1171			0.62	
Rmag_0804	115	0.28			
Rmag_0805	288				
Rmag_0806	100	0.09		0.00	0.28
Rmag_0807	148	0.01	0.02		
Rmag_0808	115				
Rmag_0809	486				
Rmag_0810	1399	23.08		17.38	1.14
Rmag_0811	1360		0.43	0.59	1.31
Rmag_0812	126	0.45	0.48	0.06	0.00
Rmag_0813	174		0.19		11.52
Rmag_0814	231	0.58		0.57	
Rmag_0815	165				
Rmag_0816	177				1.71
Rmag_0819	410				
Rmag_0822	112	0.39		0.50	
Rmag_0824	377		0.01	0.00	
Rmag_0825	193	0.43	0.30	0.48	
Rmag_0828	249			0.48	
Rmag_0831	284	0.12	0.09	0.00	
Rmag_0832	285	0.48		0.09	0.22
Rmag_0833	137	0.37	0.41	0.41	
Rmag_0834	261	0.55	0.60	0.63	
Rmag_0835	379				
Rmag_0836	285		0.52		1.00
Rmag_0837	163	0.48	0.24	0.11	
Rmag_0838	366	0.57	0.54	0.60	
Rmag_0839	124	0.24	0.35	0.44	
Rmag_0840	279				
Rmag_0841	245				
Rmag_0843	317				2.10
Rmag_0844	412	0.32	0.57	0.60	
Rmag_0845	227	0.34	0.33		
Rmag_0847	377	0.50	0.47	0.41	
Rmag_0848	613	0.23	0.59	0.63	1.13
Rmag_0850	72	0.41	0.37	0.45	
Rmag_0851	273				
Rmag_0852	154				
Rmag_0853	255				
Rmag_0854	198				
Rmag_0855	317	0.05	0.23	0.05	
Rmag_0856	157				
Rmag_0858	574				
Rmag_0859	400		0.60	0.48	
Rmag_0860	245	0.00		0.03	0.34
Rmag_0861	136				
Rmag_0862	654	0.00	0.00	0.68	
Rmag_0863	537				
Rmag_0864	285	0.05		0.03	
Rmag_0865	107	14.79	18.91	4.20	
Rmag_0866	98	0.43	0.09	0.22	
Rmag_0867	134			0.25	
Rmag_0868	133	0.00		0.00	
Rmag_0869	357	24.80	36.99		
Rmag_0870	434	6.27			
Rmag_0871	477			0.63	
Rmag_0872	117		0.51	0.39	
Rmag_0874	162	0.56	0.47	0.38	
Rmag_0875	1069	0.62	0.58	0.49	
Rmag_0876	229			0.46	
Rmag_0877	374	0.17	0.16	0.53	
Rmag_0878	89	0.28	0.25	0.32	
Rmag_0879	66				
Rmag_0880	360	0.63	0.69	0.52	0.15
Rmag_0881	96				
Rmag_0882	878	0.13	0.23	0.52	
Rmag_0883	617		0.53		
Rmag_0884	420			11.14	1.56
Rmag_0885	283				
Rmag_0909	557	0.41	0.00	0.33	
Rmag_0910	251				
Rmag_0911	740		0.68	0.65	
Rmag_0914	537	0.57	0.53	0.44	
Rmag_0915	163	0.28		0.53	
Rmag_0916	248				
Rmag_0917	320	0.08	0.23	0.56	
Rmag_0918	85				
Rmag_0919	135	0.04	0.04	0.06	
Rmag_0922	607		0.56	0.53	
Rmag_0923	126	0.40		0.34	
Rmag_0924	358	0.26	0.27	0.14	
Rmag_0925	217	0.14	0.32	0.31	
Rmag_0926	88	10.93			0.00
Rmag_0927	139		0.52		
Rmag_0928	691	0.36	0.12	0.13	0.52
Rmag_0929	158		0.00		14.14
Rmag_0931	195			0.54	
Rmag_0932	141				
Rmag_0934	327				
Rmag_0935	131				
Rmag_0936	154			0.00	0.00
Rmag_0942	623	0.63		0.50	
Rmag_0944	67				
Rmag_0946	474	0.50	0.44	0.59	
Rmag_0947	219				
Rmag_0949	206				
Rmag_0950	274	0.01	0.04	0.34	
Rmag_0951	341	0.53	0.30	0.44	
Rmag_0952	246	0.07	0.06	0.04	
Rmag_0953	362		0.41		7.07
Rmag_0954	260				
Rmag_0955	246				
Rmag_0956	173				
Rmag_0957	135				3.31
Rmag_0958	199		0.17		
Rmag_0962	520		0.60	0.63	
Rmag_0963	476	0.58		0.14	
Rmag_0964	219	0.29		0.12	0.00
Rmag_0965	793	0.62	0.62	0.63	
Rmag_0966	531	1.75			
Rmag_0967	225				
Rmag_0969	513	0.71	0.40	0.58	
Rmag_0971	193				
Rmag_0972	393	0.04	0.25	0.08	
Rmag_0973	440				
Rmag_0975	286				
Rmag_0976	101	0.34		0.30	
Rmag_0977	244	0.51	0.56	0.38	
Rmag_0980	359	0.49	0.47	0.49	
Rmag_0981	245				
Rmag_0982	254				
Rmag_0984	255	0.14	0.40	0.49	
Rmag_0987	655				1.94
Rmag_0989	203				
Rmag_0990	159				0.01
Rmag_0991	458	0.00	0.30	0.00	
Rmag_0992	873				0.55
Rmag_0993	51	0.52	0.51	0.53	
Rmag_0994	83	0.46	0.48	0.41	
Rmag_0995	214	0.51	0.46	0.42	
Rmag_0996	256	0.07	0.00	0.00	
Rmag_0997	238	0.51	0.45		
Rmag_0998	152	0.00		0.56	0.32
Rmag_0999	407				
Rmag_1000	283		0.44	0.59	
Rmag_1001	505				0.02
Rmag_1002	389		0.40		2.64
Rmag_1003	169		0.45		1.46
Rmag_1004	405	0.59	0.55	0.56	1.40
Rmag_1005	308	0.42	0.37	0.39	
Rmag_1006	617	0.05	0.52	0.21	0.00
Rmag_1007	114				
Rmag_1008	430		0.38	0.38	
Rmag_1009	124				
Rmag_1011	162			0.00	
Rmag_1012	209				
Rmag_1013	494	18.08			1.25
Rmag_1014	447	9.27			
Rmag_1015	520		0.44		1.73
Rmag_1016	307		0.48	0.05	
Rmag_1018	1518			0.80	
Rmag_1019	174	0.02	0.32	0.18	
Rmag_1020	212	3.86			
Rmag_1021	1150		0.62	0.58	
Rmag_1022	314	0.09	0.04	0.00	
Rmag_1023	313				
Rmag_1024	282				
Rmag_1025	275	0.04		0.00	0.17
Rmag_1026	352	0.70			
Rmag_1027	97				
Rmag_1030	453	0.05		0.01	1.05
Rmag_1031	413	0.10	0.00	0.27	
Rmag_1032	209				
Rmag_1037	46				
Rmag_1038	113		0.30		2.07
Rmag_1039	74			0.39	
Rmag_1040	543				0.69
Rmag_1041	288				
Rmag_1043	177				
Rmag_1044	139				
Rmag_1045	459				
Rmag_1046	288	0.33	0.61		
Rmag_1047	513	0.02	0.63	0.70	
Rmag_1048	186				
Rmag_1049	157		0.00	0.00	0.16
Rmag_1050	77	18.36	17.76	18.24	
Rmag_1051	291				
Rmag_1052	120		0.17		
Rmag_1053	435	0.55	0.62	0.66	
Rmag_1054	278			0.70	
Rmag_1055	203			0.03	
Rmag_1057	761	0.06	0.05	0.14	
Rmag_1058	149	0.00	0.22	0.34	
Rmag_1059	150			0.65	
Rmag_1060	454	0.23	0.37	0.38	
Rmag_1061	346				0.03
Rmag_1062	122				
Rmag_1063	378	0.30	0.56	0.57	
Rmag_1064	248	0.38	0.37	0.32	
Rmag_1066	537		0.55	0.66	1.37
Rmag_1067	226	0.60	0.47	0.56	
Rmag_1068	195	0.20	0.30	0.12	
Rmag_1069	363	0.19	0.04	0.15	
Rmag_1070	518				
Rmag_1071	224	0.22	0.24	0.22	
Rmag_1072	329		0.26	0.04	
Rmag_1073	296	0.25	0.26	0.22	
Rmag_1076	248	0.54	0.37	0.56	
